,Name,Team,Location,Opponent,Date,Result,Mins,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
0,Tim Frazier,MIL,H,OKC,2019-04-10,L,48,105.5,114.4,-9.0,39.4,4.33,31.0,1.7,9.3,5.3,7.1,52.2,55.6,23.2,110.5,11.6
1,Bam Adebayo,MIA,A,BKN,2019-04-10,L,18,84.1,109.3,-25.2,0.0,0.0,0.0,0.0,24.0,12.8,22.2,64.3,67.2,19.6,113.99,15.4
2,Harrison Barnes,SAC,A,POR,2019-04-10,L,16,178.1,128.1,50.0,15.8,0.0,30.0,0.0,23.1,13.6,0.0,75.0,75.3,19.4,97.83,11.9
3,Aaron Gordon,ORL,A,CHA,2019-04-10,W,33,123.8,124.2,-0.4,15.0,1.5,12.0,7.1,20.8,13.5,8.0,63.9,68.3,31.4,91.09,17.2
4,Ekpe Udoh,UTA,A,LAC,2019-04-10,L,29,119.0,112.5,6.5,23.8,0.0,33.3,10.3,27.8,20.0,0.0,71.4,72.6,14.1,105.89,17.7
5,Jalen Brunson,DAL,A,SAS,2019-04-10,L,30,100.0,116.9,-16.9,58.8,2.5,35.7,0.0,10.3,4.8,14.3,42.3,39.6,27.7,92.83,8.7
6,Greg Monroe,PHI,H,CHI,2019-04-10,W,23,112.8,116.3,-3.6,18.8,0.0,20.0,4.0,20.8,12.2,0.0,55.0,59.5,22.2,98.67,14.8
7,Jerome Robinson,LAC,H,UTA,2019-04-10,W,17,104.9,105.1,-0.3,23.1,3.0,27.3,0.0,21.7,13.2,9.1,50.0,50.9,18.2,116.72,8.8
8,Bruno Caboclo,MEM,H,GSW,2019-04-10,W,30,137.9,118.2,19.7,8.3,1.0,10.5,0.0,13.8,6.8,10.5,67.9,70.6,22.4,104.67,10.3
9,Anfernee Simons,POR,H,SAC,2019-04-10,W,48,137.4,131.0,6.4,22.5,4.5,25.7,7.3,6.4,6.8,5.7,78.6,78.3,22.6,99.5,15.7
10,Glenn Robinson III,DET,A,NYK,2019-04-10,W,32,117.5,103.2,14.3,9.1,0.0,22.2,0.0,28.1,15.0,0.0,64.3,64.3,10.0,94.13,12.0
11,LaMarcus Aldridge,SAS,H,DAL,2019-04-10,W,36,118.9,93.2,25.7,5.0,0.5,3.8,15.6,25.6,21.3,7.7,71.4,73.3,30.9,98.85,26.0
12,Jeremy Lamb,CHA,H,ORL,2019-04-10,L,32,117.5,132.8,-15.3,10.5,2.0,11.1,0.0,32.0,15.4,5.6,66.7,75.1,25.0,94.03,14.9
13,Georges Niang,UTA,A,LAC,2019-04-10,L,40,125.3,119.8,5.5,10.0,1.0,10.7,2.2,11.9,6.9,10.7,47.6,52.7,23.8,108.11,7.4
14,Wayne Selden,CHI,A,PHI,2019-04-10,L,28,105.6,136.4,-30.8,11.1,1.0,14.3,3.0,28.0,13.8,14.3,60.0,60.0,19.0,94.64,9.8
15,Raymond Felton,OKC,A,MIL,2019-04-10,W,24,98.3,101.8,-3.5,38.9,7.0,43.8,0.0,12.5,6.3,6.3,75.0,75.0,13.6,114.05,14.4
16,Jamal Murray,DEN,H,MIN,2019-04-10,W,35,109.9,89.9,20.0,29.2,3.5,30.4,5.9,14.6,10.7,8.7,62.5,61.8,19.5,97.16,17.5
17,Kevin Huerter,ATL,H,IND,2019-04-10,L,30,129.0,118.6,10.4,12.0,1.0,21.4,2.6,11.8,6.9,21.4,106.3,106.3,12.8,109.86,10.9
18,Timothe Luwawu-Cabarrot,CHI,A,PHI,2019-04-10,L,30,101.7,144.8,-43.1,10.5,0.0,11.8,0.0,16.7,6.9,0.0,42.3,47.4,22.4,94.13,5.6
19,Jonathon Simmons,PHI,H,CHI,2019-04-10,W,30,132.2,111.7,20.5,20.8,2.5,23.8,3.7,18.2,11.7,9.5,67.9,67.2,23.5,96.6,16.1
20,Justin Holiday,MEM,H,GSW,2019-04-10,W,28,130.0,119.7,10.3,5.3,0.5,5.3,0.0,17.4,7.8,10.5,65.6,65.2,26.9,103.59,9.3
21,DeAndre' Bembry,ATL,H,IND,2019-04-10,L,20,110.9,134.8,-23.9,10.0,0.0,10.0,3.7,4.0,3.8,0.0,50.0,59.0,15.5,109.76,6.8
22,Julian Washburn,MEM,H,GSW,2019-04-10,W,23,102.1,122.9,-20.8,0.0,0.0,0.0,3.2,20.8,10.9,12.5,57.1,57.1,14.0,98.95,10.6
23,Amir Johnson,PHI,H,CHI,2019-04-10,W,24,109.8,119.2,-9.4,5.6,0.0,10.0,18.5,15.4,17.0,0.0,56.3,64.4,15.3,101.31,13.4
24,Buddy Hield,SAC,A,POR,2019-04-10,L,16,172.7,120.6,52.1,10.5,2.0,22.2,11.1,14.3,13.0,11.1,75.0,75.0,18.9,99.77,9.7
25,Dirk Nowitzki,DAL,A,SAS,2019-04-10,L,32,90.5,106.3,-15.8,7.1,0.0,4.3,0.0,31.3,15.2,0.0,42.9,45.7,32.8,96.65,15.5
