,Name,Team,Season,GP,Win%,Mins,Points,PPM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,AST/TO,STL,BLK,EFG%,TS%,OFFRTG,DEFRTG,NETRTG,PF,Plusminus,PIE,S_Mins,S_GP,S_PPM,S_NETRTG,SIM
0,LeBron James,LAL,2021,17,76.47058823529412,32.294117647058826,23.941176470588236,0.7413479052823315,8.647058823529411,18.11764705882353,47.72727272727273,2.4705882352941178,6.352941176470588,38.88888888888889,4.176470588235294,5.823529411764706,71.71717171717171,0.7058823529411765,7.235294117647059,7.9411764705882355,7.470588235294118,3.7058823529411766,2.015873015873016,0.8823529411764706,0.35294117647058826,0.5454545454545454,0.5788485607008761,114.84127272727272,102.32709090909093,12.514181818181797,1.3529411764705883,157,17.886000000000003,0.7849378478181726,0.875,0.7158129460087794,0.7716982450152989,0.7768733158110931
1,Kawhi Leonard,LAC,2021,15,80.0,34.46666666666667,25.933333333333334,0.7524177949709865,9.533333333333333,18.866666666666667,50.53003533568905,2.066666666666667,4.933333333333334,41.891891891891895,4.8,5.333333333333333,90.0,1.0,4.4,5.4,5.733333333333333,1.8,3.185185185185185,2.0,0.6666666666666666,0.5600706713780919,0.6112507856693904,120.86872586872587,106.68590733590734,14.18281853281853,1.7333333333333334,152,17.366023166023165,0.8617742410845861,0.625,0.729460055103019,0.8078197819527886,0.7708617184157429
2,Kevin Durant,BKN,2021,13,61.53846153846154,36.23076923076923,31.23076923076923,0.861995753715499,10.461538461538462,19.46153846153846,53.75494071146245,2.923076923076923,6.153846153846154,47.5,7.384615384615385,8.538461538461538,86.48648648648648,0.46153846153846156,6.769230769230769,7.230769230769231,5.846153846153846,3.6923076923076925,1.5833333333333333,0.7692307692307693,1.3846153846153846,0.6126482213438735,0.6725417439703153,119.93177966101693,108.99173728813557,10.940042372881365,2.230769230769231,120,17.671610169491526,0.924165136366728,0.375,0.8645492384074414,0.7376223220660921,0.7650387139538728
3,Paul George,LAC,2021,16,81.25,34.375,23.875,0.6945454545454546,7.9375,15.75,50.39682539682539,3.75,7.75,48.38709677419355,4.25,4.6875,90.66666666666666,0.5,5.6875,6.1875,5.4375,4.0,1.359375,1.1875,0.5,0.623015873015873,0.6701754385964912,119.17078039927402,107.20798548094375,11.962794918330275,2.125,141,15.412704174228676,0.8585322723253759,0.75,0.6581142544185166,0.7597621884158428,0.7573504257194597
4,Giannis Antetokounmpo,MIL,2021,15,60.0,32.2,27.0,0.8385093167701864,9.933333333333334,18.2,54.57875457875458,1.4,4.666666666666667,30.0,5.733333333333333,9.8,58.50340136054422,1.7333333333333334,8.8,10.533333333333333,5.333333333333333,3.933333333333333,1.3559322033898304,1.0666666666666667,1.0666666666666667,0.5842490842490843,0.599680170575693,117.93484536082474,107.37010309278351,10.564742268041229,3.466666666666667,107,16.55876288659794,0.781609195402299,0.625,0.8355948426327346,0.7294980751999443,0.7562904215170688
5,Nikola Jokic,DEN,2021,16,56.25,35.75,25.75,0.7202797202797203,9.8125,17.5,56.07142857142857,1.125,3.1875,35.294117647058826,5.0,6.0,83.33333333333334,3.4375,8.5625,12.0,9.625,4.0625,2.3692307692307693,1.875,0.5,0.5928571428571429,0.6392750744786494,119.55061082024432,111.73001745200698,7.82059336823734,3.25,85,20.657591623036648,0.9071618037135278,0.75,0.6898398037973512,0.6700945663494171,0.7547584350577824
6,Joel Embiid,PHI,2021,14,85.71428571428571,31.714285714285715,27.714285714285715,0.8738738738738738,8.785714285714286,15.857142857142858,55.4054054054054,1.2142857142857142,3.0,40.476190476190474,8.928571428571429,10.714285714285714,83.33333333333334,1.8571428571428572,9.642857142857142,11.5,2.7142857142857144,3.142857142857143,0.8636363636363636,1.2857142857142858,1.3571428571428572,0.5923423423423423,0.6736111111111112,116.84166666666665,104.71148648648648,12.130180180180176,2.2857142857142856,111,21.030180180180185,0.764430971327523,0.5,0.8791927449097654,0.7633856331510971,0.7524509355797673
7,Damian Lillard,POR,2021,15,60.0,36.13333333333333,28.866666666666667,0.7988929889298892,8.666666666666666,19.133333333333333,45.29616724738676,3.8666666666666667,10.066666666666666,38.41059602649007,7.666666666666667,8.066666666666666,95.0413223140496,0.3333333333333333,4.4,4.733333333333333,6.8,3.066666666666667,2.217391304347826,1.0,0.26666666666666666,0.554006968641115,0.6363155419703739,117.51845018450184,113.33044280442806,4.188007380073785,1.4666666666666666,53,16.131918819188193,0.9207191276156794,0.625,0.7867553001299958,0.5914587627625212,0.7429947380247813
8,Donovan Mitchell,UTA,2021,16,75.0,33.0625,24.25,0.7334593572778828,8.5625,19.375,44.193548387096776,3.5,8.625,40.57971014492754,3.625,4.3125,84.05797101449275,1.0,3.125,4.125,5.0,3.1875,1.5686274509803921,0.75,0.4375,0.532258064516129,0.5699847220589963,116.1688679245283,108.49773584905661,7.671132075471689,1.9375,76,12.214716981132076,0.8121131741821397,0.75,0.7060878377882169,0.6668591277665289,0.7319250722267665
9,Julius Randle,NYK,2021,18,44.44444444444444,36.72222222222222,22.72222222222222,0.6187594553706506,7.888888888888889,16.666666666666668,47.333333333333336,1.3333333333333333,3.8333333333333335,34.78260869565217,5.611111111111111,6.944444444444445,80.80000000000001,1.5,9.833333333333334,11.333333333333334,6.111111111111111,3.5,1.746031746031746,0.7777777777777778,0.16666666666666666,0.5133333333333333,0.576056338028169,107.58069381598796,106.21146304675717,1.3692307692307821,3.4444444444444446,14,17.13273001508296,0.9415463208566657,1.0,0.5646842539719479,0.5304397628963559,0.7318732440001164
10,Anthony Davis,LAL,2021,15,73.33333333333333,32.4,22.2,0.6851851851851852,8.666666666666666,16.133333333333333,53.71900826446281,1.0,2.6666666666666665,37.5,3.8666666666666667,5.266666666666667,73.41772151898735,1.8,7.0,8.8,3.533333333333333,1.6666666666666667,2.12,1.2666666666666666,1.8666666666666667,0.5681818181818182,0.6016042780748664,116.77222222222223,104.02572016460903,12.746502057613199,1.7333333333333334,126,17.45679012345679,0.7886825817860301,0.625,0.6465747882897819,0.7767273589238797,0.7187940829049142
11,Khris Middleton,MIL,2021,16,62.5,32.8125,21.75,0.6628571428571428,8.1875,15.6875,52.191235059760956,2.5,5.875,42.5531914893617,2.875,3.125,92.0,1.0,5.3125,6.3125,5.75,2.3125,2.4864864864864864,1.0,0.1875,0.601593625498008,0.6373626373626373,116.52775665399238,107.10646387832699,9.421292775665393,2.6875,104,15.329847908745247,0.8032714412024757,0.75,0.6190484770001687,0.7047454416801913,0.7157831918340558
