,Date,Home,Away,Favorite,Spread,O/U,Attendance,Capacity
0,10/18/2022,PHI,BOS,BOS,-2.5,216.5,19156,19156
1,10/18/2022,LAL,GSW,GSW,-7.5,224.5,18064,18064
2,10/19/2022,ORL,DET,DET,-3.5,216.5,20190,20332
3,10/19/2022,WAS,IND,WAS,-2.5,228.5,15027,17923
4,10/19/2022,HOU,ATL,ATL,-8.5,233.5,17878,16888
5,10/19/2022,NOP,BKN,BKN,-2.5,232.5,18003,17732
6,10/19/2022,CHI,MIA,MIA,-6.5,217.5,19600,19600
7,10/19/2022,CLE,TOR,TOR,-1.5,215.5,19800,19800
8,10/19/2022,NYK,MEM,MEM,-4.5,227,18202,18400
9,10/19/2022,OKC,MIN,MIN,-10.5,227.5,17136,18024
10,10/19/2022,CHA,SAS,CHA,-1.0,221,16236,18354
11,10/19/2022,DEN,UTA,DEN,-6.5,221.5,18206,18206
12,10/19/2022,DAL,PHX,PHX,-4.5,218.5,17071,17071
13,10/19/2022,POR,SAC,SAC,-2.5,229.5,17611,17611
14,10/20/2022,MIL,PHI,PHI,-3.5,224.5,20060,19746
15,10/20/2022,LAC,LAL,LAC,-4.5,226.5,18997,19068
16,10/21/2022,NOP,CHA,NOP,-6.5,226.5,19287,19077
17,10/21/2022,SAS,IND,IND,-1.5,231.5,12073,17923
18,10/21/2022,CHI,WAS,WAS,-2.5,221.5,20476,20600
19,10/21/2022,ORL,ATL,ATL,-8.5,225.5,17822,16888
20,10/21/2022,TOR,BKN,BKN,-2.5,226.5,17732,17732
21,10/21/2022,BOS,MIA,BOS,-2.5,219.5,19600,19600
22,10/21/2022,DET,NYK,NYK,-6.5,220.5,19812,19763
23,10/21/2022,MEM,HOU,MEM,-6.5,232.5,18055,18055
24,10/21/2022,UTA,MIN,MIN,-7.5,226.5,17136,18024
25,10/21/2022,DEN,GSW,GSW,-4.5,229.5,18064,18064
26,10/21/2022,PHX,POR,PHX,-5.5,224.5,19393,19441
27,10/22/2022,SAS,PHI,PHI,-13.5,224.5,19822,19746
28,10/22/2022,DET,IND,IND,-1.5,232.5,16056,17923
29,10/22/2022,BOS,ORL,BOS,-9.0,216,19299,18500
30,10/22/2022,TOR,MIA,MIA,-3.5,216,19600,19600
31,10/22/2022,CLE,CHI,CLE,-1.5,219.5,21089,20917
32,10/22/2022,HOU,MIL,MIL,-13.5,227.5,17341,17341
33,10/22/2022,MEM,DAL,DAL,-5.5,220.5,20377,19200
34,10/22/2022,OKC,DEN,DEN,-8.5,226.5,19983,19520
35,10/22/2022,LAC,SAC,LAC,-2.5,226.5,16296,17611
36,10/23/2022,POR,LAL,LAL,-4.5,225.5,18997,19068
37,10/23/2022,CHA,ATL,ATL,-9.5,228.5,17383,16888
38,10/23/2022,WAS,CLE,CLE,-3.5,216.5,19432,19432
39,10/23/2022,UTA,NOP,NOP,-7.5,231,18665,16867
40,10/23/2022,MIN,OKC,MIN,-9.5,225.5,15044,18203
41,10/23/2022,SAC,GSW,GSW,-9.5,232.5,18064,18064
42,10/23/2022,PHX,LAC,PHX,-1.0,219,19068,19068
43,10/24/2022,IND,PHI,PHI,-11.5,228.5,19786,19746
44,10/24/2022,TOR,MIA,MIA,-3.5,215.5,19600,19600
45,10/24/2022,ORL,NYK,NYK,-7.5,222.5,18800,19763
46,10/24/2022,BOS,CHI,BOS,-5.5,225.5,17673,20917
47,10/24/2022,UTA,HOU,UTA,-2.5,234.5,16260,18055
48,10/24/2022,BKN,MEM,MEM,-0.5,234.5,17392,18400
49,10/24/2022,SAS,MIN,MIN,-8.5,234.5,15347,18024
50,10/24/2022,DEN,POR,DEN,-4.5,227.5,18111,19441
51,10/25/2022,DET,WAS,WAS,-5.5,220.5,13196,20600
52,10/25/2022,DAL,NOP,DAL,-5.5,218.5,14020,16867
53,10/25/2022,LAC,OKC,LAC,-5.5,217.5,13105,18203
54,10/25/2022,GSW,PHX,PHX,-1.5,226.5,[],[]
55,10/26/2022,ORL,CLE,CLE,-7.5,217.5,[],[]
56,10/26/2022,ATL,DET,ATL,-6.5,228.5,17987,20332
57,10/26/2022,CHA,NYK,NYK,-6.5,224.5,19812,19763
58,10/26/2022,PHI,TOR,TOR,-0.5,211.5,19800,19800
59,10/26/2022,BKN,MIL,MIL,-3.5,232.5,17341,17341
60,10/26/2022,IND,CHI,CHI,-6.5,233.5,18306,20917
61,10/26/2022,SAS,MIN,MIN,-9.5,234.5,16165,18024
62,10/26/2022,HOU,UTA,UTA,-8.5,232.5,18206,18206
63,10/26/2022,LAL,DEN,DEN,-5.5,228.5,19520,19520
64,10/26/2022,MIA,POR,MIA,-2.5,221.5,18588,19441
65,10/27/2022,DAL,BKN,DAL,-2.5,226.5,18039,17732
66,10/27/2022,LAC,OKC,LAC,-6.5,218.5,14510,18203
67,10/27/2022,MIA,GSW,GSW,-5.5,225.5,18064,18064
68,10/27/2022,MEM,SAC,MEM,-2.5,236.5,15511,17611
69,10/28/2022,ATL,DET,ATL,-5.5,229.5,18923,20332
70,10/28/2022,CHA,ORL,CHA,-1.5,220.5,18846,18500
71,10/28/2022,CLE,BOS,BOS,-6.5,218.5,19156,19156
72,10/28/2022,PHI,TOR,TOR,-3.5,214.5,19800,19800
73,10/28/2022,IND,WAS,WAS,-5.5,229.5,13463,20600
74,10/28/2022,NYK,MIL,MIL,-5.5,223.5,17341,17341
75,10/28/2022,LAL,MIN,MIN,-7.5,231.5,17136,18024
76,10/28/2022,CHI,SAS,CHI,-4.5,230.5,16562,18354
77,10/28/2022,UTA,DEN,DEN,-7.5,231.5,19560,19520
78,10/28/2022,NOP,PHX,PHX,-6.5,225.5,17071,17071
79,10/28/2022,HOU,POR,POR,-4.5,222.5,19082,19441
80,10/29/2022,MIA,SAC,MIA,-4.5,228.5,14618,17611
81,10/29/2022,GSW,CHA,GSW,-10.5,233.5,19079,19077
82,10/29/2022,IND,BKN,BKN,-11.5,239.5,17732,17732
83,10/29/2022,PHI,CHI,PHI,-2.5,221.5,19010,20917
84,10/29/2022,ATL,MIL,MIL,-5.5,228.5,17341,17341
85,10/29/2022,OKC,DAL,DAL,-10.5,219.5,20307,19200
86,10/29/2022,MEM,UTA,MEM,-3.5,225.5,18206,18206
87,10/30/2022,NOP,LAC,LAC,-1.5,226.5,18142,19068
88,10/30/2022,WAS,BOS,BOS,-9.5,222.5,19156,19156
89,10/30/2022,NYK,CLE,CLE,-3.5,221.5,19432,19432
90,10/30/2022,GSW,DET,GSW,-7.5,231.5,20190,20332
91,10/30/2022,MIN,SAS,MIN,-5.5,237.5,15053,18354
92,10/30/2022,ORL,DAL,DAL,-8.5,211.5,20042,19200
93,10/30/2022,HOU,PHX,PHX,-12.5,227.5,17071,17071
94,10/30/2022,DEN,LAL,DEN,-2.5,229.5,18997,19068
95,10/31/2022,SAC,CHA,SAC,-3.5,231.5,12020,19077
96,10/31/2022,PHI,WAS,PHI,-2.5,216.5,13746,20600
97,10/31/2022,IND,BKN,BKN,-7.5,236.5,15770,17732
98,10/31/2022,ATL,TOR,TOR,-1.5,222.5,19800,19800
99,10/31/2022,DET,MIL,MIL,-12.5,225.5,17341,17341
100,10/31/2022,MEM,UTA,MEM,-2.5,232.5,18206,18206
101,10/31/2022,HOU,LAC,LAC,-8.5,225.5,14887,19068
102,11/1/2022,CHI,BKN,BKN,-2.5,232.5,17732,17732
103,11/1/2022,GSW,MIA,MIA,-1.5,226.5,19600,19600
104,11/1/2022,ORL,OKC,OKC,-3.5,216.5,13109,18203
105,11/1/2022,MIN,PHX,PHX,-3.5,227.5,17071,17071
106,11/2/2022,BOS,CLE,BOS,-1.5,220.5,19432,19432
107,11/2/2022,WAS,PHI,PHI,-6.5,217.5,19855,19746
108,11/2/2022,SAC,MIA,MIA,-4.5,220.5,19600,19600
109,11/2/2022,ATL,NYK,NYK,-2.5,233.5,19812,19763
110,11/2/2022,CHA,CHI,CHI,-6.5,225.5,17886,20917
111,11/2/2022,LAC,HOU,LAC,-5.5,222.5,15860,18055
112,11/2/2022,DET,MIL,MIL,-11.5,222.5,17341,17341
113,11/2/2022,TOR,SAS,TOR,-6.5,223.5,12155,18354
114,11/2/2022,UTA,DAL,DAL,-6.5,222.5,19877,19200
115,11/2/2022,MEM,POR,MEM,-5.5,228.5,19462,19441
116,11/2/2022,NOP,LAL,NOP,-2.5,230.5,18997,19068
117,11/3/2022,GSW,ORL,GSW,-9.5,226.5,18846,18500
118,11/3/2022,DEN,OKC,DEN,-6.5,228.5,13791,18203
119,11/4/2022,CLE,DET,CLE,-3.5,215.5,18744,20332
120,11/4/2022,MIA,IND,MIA,-2.5,225.5,13141,17923
121,11/4/2022,NYK,PHI,PHI,-0.5,220.5,20679,19746
122,11/4/2022,BKN,WAS,WAS,-2.5,222.5,17258,20600
123,11/4/2022,CHI,BOS,BOS,-7.5,223.5,19156,19156
124,11/4/2022,CHA,MEM,MEM,-11.5,226.5,17187,18400
125,11/4/2022,LAC,SAS,LAC,-3.5,225.5,12603,18354
126,11/4/2022,TOR,DAL,DAL,-4.5,216.5,20177,19200
127,11/4/2022,GSW,NOP,NOP,-10.5,226.5,18451,16867
128,11/4/2022,MIL,MIN,MIL,-1.5,225.5,17136,18024
129,11/4/2022,POR,PHX,PHX,-12.5,217.5,17071,17071
130,11/4/2022,UTA,LAL,LAL,-3.5,228.5,18997,19068
131,11/5/2022,SAC,ORL,SAC,-4.5,228.5,18846,18500
132,11/5/2022,BKN,CHA,BKN,-3.5,223.5,19398,19077
133,11/5/2022,NOP,ATL,ATL,-1.5,235.5,17654,16888
134,11/5/2022,BOS,NYK,BOS,-3.5,226.5,19812,19763
135,11/5/2022,OKC,MIL,MIL,-5.5,219.5,17713,17341
136,11/5/2022,HOU,MIN,MIN,-7.5,234.5,16412,18024
137,11/5/2022,SAS,DEN,DEN,-11.5,235.5,19641,19520
138,11/5/2022,POR,PHX,PHX,-11.5,215.5,17071,17071
139,11/6/2022,CLE,LAL,CLE,-5.5,222.5,18997,19068
140,11/6/2022,CHI,TOR,TOR,-4.5,219.5,19800,19800
141,11/6/2022,WAS,MEM,MEM,-9.5,224.5,16877,18400
142,11/6/2022,UTA,LAC,LAC,-3.5,218.5,16111,19068
143,11/7/2022,WAS,CHA,CHA,-1.5,213.5,13712,19077
144,11/7/2022,HOU,ORL,ORL,-4.5,224.5,15441,18500
145,11/7/2022,OKC,DET,OKC,-1.5,223.5,16223,20332
146,11/7/2022,NOP,IND,NOP,-4.5,233.5,14052,17923
147,11/7/2022,PHX,PHI,PHX,-1.5,215.5,20347,19746
148,11/7/2022,MIL,ATL,MIL,-5.5,220.5,17494,16888
149,11/7/2022,POR,MIA,MIA,-4.5,215.5,19600,19600
150,11/7/2022,TOR,CHI,CHI,-1.5,220.5,21142,20917
151,11/7/2022,BOS,MEM,BOS,-3.5,232.5,17371,18400
152,11/7/2022,NYK,MIN,MIN,-2.5,234.5,14524,18024
153,11/7/2022,DEN,SAS,DEN,-7.5,234.5,11574,18354
154,11/7/2022,BKN,DAL,DAL,-5.5,216.5,20011,19200
155,11/7/2022,SAC,GSW,GSW,-7.5,236.5,18064,18064
156,11/7/2022,LAL,UTA,UTA,-6.5,224.5,18206,18206
157,11/7/2022,CLE,LAC,CLE,-3.5,212.5,16516,19068
158,11/9/2022,POR,CHA,POR,-1.5,221.5,14774,19077
159,11/9/2022,DEN,IND,DEN,-5.5,235.5,14069,17923
160,11/9/2022,DAL,ORL,DAL,-8.5,213.5,18165,18500
161,11/9/2022,UTA,ATL,ATL,-4.5,231.5,15845,16888
162,11/9/2022,DET,BOS,BOS,-12.5,225.5,19156,19156
163,11/9/2022,NYK,BKN,BKN,-3.5,220.5,18156,17732
164,11/9/2022,HOU,TOR,TOR,-10.5,224.5,19800,19800
165,11/9/2022,NOP,CHI,NOP,-1.5,231.5,19621,20917
166,11/9/2022,PHX,MIN,MIN,-2.5,223.5,16062,18024
167,11/9/2022,MIL,OKC,OKC,-0.5,213.5,15180,18203
168,11/9/2022,MEM,SAS,MEM,-5.5,234.5,13507,18354
169,11/9/2022,LAL,LAC,LAC,-2.5,219.5,19068,19068
170,11/9/2022,CLE,SAC,CLE,-4.5,228.5,13816,17611
171,11/10/2022,DAL,WAS,DAL,-5.5,209.5,18320,20600
172,11/10/2022,PHI,ATL,ATL,-0.5,222.5,16066,16888
173,11/10/2022,CHA,MIA,MIA,-10.5,212.5,19600,19600
174,11/10/2022,POR,NOP,NOP,-9.5,223.5,14289,16867
175,11/11/2022,DEN,BOS,BOS,-4.5,230.5,19156,19156
176,11/11/2022,PHX,ORL,PHX,-7.5,215.5,15879,18500
177,11/11/2022,DET,NYK,NYK,-8.5,224.5,19812,19763
178,11/11/2022,TOR,OKC,TOR,-5.5,219.5,16104,18203
179,11/11/2022,MIL,SAS,SAS,-1.5,219.5,15642,18354
180,11/11/2022,MIN,MEM,MEM,-4.5,233.5,16939,18400
181,11/11/2022,CLE,GSW,GSW,-3.5,232.5,18064,18064
182,11/11/2022,SAC,LAL,SAC,-4.5,232.5,17849,19068
183,11/12/2022,BKN,LAC,LAC,-1.5,212.5,17777,19068
184,11/12/2022,UTA,WAS,UTA,-3.5,222.5,13673,20600
185,11/12/2022,BOS,DET,BOS,-8.0,224.5,20190,20332
186,11/12/2022,TOR,IND,IND,-2.5,229.5,13089,17923
187,11/12/2022,ATL,PHI,PHI,-2.5,223.5,20245,19746
188,11/12/2022,CHA,MIA,MIA,-8.5,215.5,19600,19600
189,11/12/2022,POR,DAL,DAL,-5.5,218.5,20277,19200
190,11/12/2022,HOU,NOP,NOP,-10.5,233.5,15367,16867
191,11/13/2022,OKC,NYK,NYK,-4.5,226.5,18325,19763
192,11/13/2022,MIN,CLE,CLE,-0.5,221.5,19432,19432
193,11/13/2022,MEM,WAS,WAS,-0.5,217.5,17667,20600
194,11/13/2022,UTA,PHI,PHI,-3.5,218.5,19761,19746
195,11/13/2022,DEN,CHI,DEN,-1.5,231.5,21602,20917
196,11/13/2022,GSW,SAC,GSW,-4.5,236.5,16410,17611
197,11/13/2022,BKN,LAL,BKN,-5.5,217.5,18040,19068
198,11/14/2022,TOR,DET,TOR,-4.5,219.5,16988,20332
199,11/14/2022,CHA,ORL,CHA,-1.5,225.5,15018,18500
200,11/14/2022,OKC,BOS,BOS,-11.5,229.5,[],[]
201,11/14/2022,PHX,MIA,MIA,-2.5,216.5,19600,19600
202,11/14/2022,LAC,HOU,LAC,-5.5,220.5,16098,18055
203,11/14/2022,ATL,MIL,MIL,-3.5,225.5,17341,17341
204,11/14/2022,SAS,GSW,GSW,-8.5,234.5,18064,18064
205,11/15/2022,MEM,NOP,NOP,-1.5,225.5,14032,16867
206,11/15/2022,LAC,DAL,DAL,-6.5,211.5,19810,19200
207,11/15/2022,NYK,UTA,UTA,-4.5,232.5,18206,18206
208,11/15/2022,SAS,POR,POR,-8.5,226.5,19012,19441
209,11/15/2022,BKN,SAC,SAC,-1.5,226.5,17611,17611
210,11/16/2022,IND,CHA,CHA,-0.5,236.5,14756,19077
211,11/16/2022,MIN,ORL,MIN,-7.5,223.5,16527,18500
212,11/16/2022,OKC,WAS,WAS,-4.5,230.5,12630,20600
213,11/16/2022,BOS,ATL,ATL,-0.5,235.5,18165,16888
214,11/16/2022,MIA,TOR,TOR,-3.5,216.5,19800,19800
215,11/16/2022,CLE,MIL,MIL,-2.5,217.5,17341,17341
216,11/16/2022,CHI,NOP,NOP,-1.5,226.5,14658,16867
217,11/16/2022,HOU,DAL,DAL,-6.5,217.5,19602,19200
218,11/16/2022,NYK,DEN,DEN,-1.5,226,18210,19520
219,11/16/2022,GSW,PHX,GSW,-2.5,226.5,17071,17071
220,11/17/2022,BKN,POR,POR,-2.5,220.5,19393,19441
221,11/17/2022,SAS,SAC,SAC,-7.5,236.5,16522,17611
222,11/17/2022,DET,LAC,LAC,-10.5,219.5,17822,19068
223,11/18/2022,MIA,WAS,WAS,-7.5,216.5,18772,20600
224,11/18/2022,CHA,CLE,CLE,-9.5,219.5,19432,19432
225,11/18/2022,MIL,PHI,PHI,-0.5,212.5,19769,19746
226,11/18/2022,ORL,CHI,CHI,-8.5,221.5,21031,20917
227,11/18/2022,IND,HOU,IND,-5.5,236.5,15882,18055
228,11/18/2022,OKC,MEM,MEM,-6.5,229.5,17324,18400
229,11/18/2022,DEN,DAL,DAL,-9.5,216.5,20135,19200
230,11/18/2022,BOS,NOP,BOS,-3.5,227.5,17828,16867
231,11/18/2022,PHX,UTA,UTA,-0.5,227.5,18206,18206
232,11/18/2022,NYK,GSW,GSW,-7.5,234.5,18064,18064
233,11/18/2022,DET,LAL,LAL,-6.5,226.5,18095,19068
234,11/19/2022,TOR,ATL,ATL,-5.5,225.5,18051,16888
235,11/19/2022,ORL,IND,IND,-7.5,225.5,14478,17923
236,11/19/2022,MIN,PHI,MIN,-3.5,218.5,20515,19746
237,11/19/2022,UTA,POR,POR,-4.5,228.5,19595,19441
238,11/19/2022,SAS,LAC,LAC,-8.5,221.5,18581,19068
239,11/20/2022,NYK,PHX,PHX,-5.5,226.5,17071,17071
240,11/20/2022,CHA,WAS,WAS,-4.5,221.5,14289,20600
241,11/20/2022,DET,SAC,SAC,-10.5,233.5,17866,17611
242,11/20/2022,MEM,BKN,BKN,-7.5,223.5,18241,17732
243,11/20/2022,MIA,CLE,CLE,-7.5,213.5,19432,19432
244,11/20/2022,GSW,HOU,GSW,-10.5,232.5,18055,18055
245,11/20/2022,DEN,DAL,DAL,-10.5,218.5,20244,19200
246,11/20/2022,SAS,LAL,LAL,-5.5,228.5,18211,19068
247,11/21/2022,ATL,CLE,CLE,-3.5,227.5,19432,19432
248,11/21/2022,ORL,IND,IND,-7.5,225.5,14029,17923
249,11/21/2022,BOS,CHI,BOS,-5.5,229.5,20786,20917
250,11/21/2022,POR,MIL,MIL,-9.5,214.5,17341,17341
251,11/21/2022,MIA,MIN,MIN,-8.5,221.5,16583,18024
252,11/21/2022,GSW,NOP,NOP,-10.5,226.5,18589,16867
253,11/21/2022,NYK,OKC,OKC,-1.5,227.5,15079,18203
254,11/21/2022,UTA,LAC,LAC,-2.5,222.5,19068,19068
255,11/22/2022,BKN,PHI,BKN,-7.5,217.5,20184,19746
256,11/22/2022,SAC,MEM,MEM,-2.5,237.5,16826,18400
257,11/22/2022,DET,DEN,DEN,-11.5,227.5,19635,19520
258,11/22/2022,LAL,PHX,PHX,-9.5,226.5,17071,17071
259,11/23/2022,PHI,CHA,CHA,-4.5,215.5,16910,19077
260,11/23/2022,POR,CLE,CLE,-6.5,213.5,19432,19432
261,11/23/2022,MIN,IND,MIN,-1.5,236.5,15751,17923
262,11/23/2022,SAC,ATL,ATL,-4.5,241.5,18173,16888
263,11/23/2022,DAL,BOS,BOS,-5.5,221.5,19156,19156
264,11/23/2022,WAS,MIA,MIA,-4.5,210.5,19600,19600
265,11/23/2022,BKN,TOR,BKN,-2.5,221.5,19800,19800
266,11/23/2022,CHI,MIL,MIL,-6.5,224.5,17341,17341
267,11/23/2022,DEN,OKC,DEN,-1.5,229.5,13656,18203
268,11/23/2022,NOP,SAS,NOP,-5.5,227.5,14947,18354
269,11/23/2022,DET,UTA,UTA,-11.5,233.5,18206,18206
270,11/23/2022,LAC,GSW,GSW,-9.5,222.5,18064,18064
271,11/25/2022,MIN,CHA,MIN,-5.5,226.5,17924,19077
272,11/25/2022,PHI,ORL,ORL,-1.5,214.5,15384,18500
273,11/25/2022,POR,NYK,NYK,-4.5,216.5,19812,19763
274,11/25/2022,SAC,BOS,BOS,-7.5,238.5,19156,19156
275,11/25/2022,BKN,IND,BKN,-3.5,233.5,15404,17923
276,11/25/2022,WAS,MIA,MIA,-2.5,214.5,19600,19600
277,11/25/2022,ATL,HOU,ATL,-6.5,232.5,16669,18055
278,11/25/2022,NOP,MEM,MEM,-2.5,226.5,17794,18400
279,11/25/2022,CLE,MIL,MIL,-4.5,215.5,17447,17341
280,11/25/2022,CHI,OKC,CHI,-3.5,232.5,16082,18203
281,11/25/2022,LAL,SAS,LAL,-4.5,234.5,18354,18354
282,11/25/2022,DET,PHX,PHX,-12.5,224.5,17071,17071
283,11/25/2022,UTA,GSW,GSW,-7.5,239.5,18064,18064
284,11/25/2022,DEN,LAC,DEN,-3.5,218.5,16559,19068
285,11/26/2022,DAL,TOR,DAL,-2.5,215.5,19800,19800
286,11/26/2022,OKC,HOU,OKC,-1.5,232.5,15151,18055
287,11/26/2022,LAL,SAS,SAS,-1.5,230.5,18354,18354
288,11/26/2022,UTA,PHX,PHX,-6.5,231.5,17071,17071
289,11/27/2022,POR,BKN,BKN,-7.5,223.5,17732,17732
290,11/27/2022,GSW,MIN,GSW,-2.5,236.5,17136,18024
291,11/27/2022,IND,LAC,IND,-1.5,222.5,16805,19068
292,11/27/2022,MIA,ATL,ATL,-4.5,224.5,17268,16888
293,11/27/2022,WAS,BOS,BOS,-7.5,219.5,19156,19156
294,11/27/2022,CLE,DET,CLE,-7.5,218.5,18240,20332
295,11/27/2022,MEM,NYK,MEM,-1.5,227.5,19524,19763
296,11/27/2022,PHI,ORL,ORL,-0.5,212.5,16218,18500
297,11/27/2022,DAL,MIL,MIL,-5.5,216.5,17341,17341
298,11/28/2022,ATL,PHI,PHI,-2.5,220.5,19778,19746
299,11/28/2022,MIN,WAS,WAS,-1.5,228.5,13515,20600
300,11/28/2022,CHA,BOS,BOS,-11.5,225.5,19156,19156
301,11/28/2022,ORL,BKN,BKN,-11.5,223.5,15704,17732
302,11/28/2022,CLE,TOR,TOR,-5.5,217.5,19800,19800
303,11/28/2022,OKC,NOP,NOP,-5.5,234.5,13109,16867
304,11/28/2022,HOU,DEN,DEN,-11.5,228.5,16027,19520
305,11/28/2022,CHI,UTA,UTA,-1.5,235.5,18206,18206
306,11/28/2022,PHX,SAC,PHX,-1.5,233.5,16407,17611
307,11/28/2022,IND,LAL,LAL,-3.5,237.5,16034,19068
308,11/29/2022,NYK,DET,NYK,-4.5,226.5,14864,20332
309,11/29/2022,GSW,DAL,GSW,-1.5,227.5,20277,19200
310,11/29/2022,LAC,POR,POR,-4.5,211.5,17251,19441
311,11/30/2022,PHI,CLE,CLE,-3.5,209.5,19432,19432
312,11/30/2022,ATL,ORL,ATL,-6.5,228.5,15344,18500
313,11/30/2022,MIA,BOS,BOS,-9.5,225.5,19156,19156
314,11/30/2022,WAS,BKN,BKN,-5.5,228.5,15963,17732
315,11/30/2022,MIL,NYK,MIL,-5.5,227.5,17277,19763
316,11/30/2022,MEM,MIN,MEM,-3.5,232.5,15980,18024
317,11/30/2022,TOR,NOP,TOR,-2.5,220.5,14845,16867
318,11/30/2022,SAS,OKC,OKC,-2.5,229.5,15605,18203
319,11/30/2022,HOU,DEN,DEN,-11.5,230.5,16286,19520
320,11/30/2022,CHI,PHX,PHX,-5.5,226.5,17071,17071
321,11/30/2022,LAC,UTA,UTA,-7.5,223.5,18206,18206
322,11/30/2022,IND,SAC,SAC,-4.5,243.5,17611,17611
323,11/30/2022,POR,LAL,LAL,-6.5,223.5,18560,19068
324,12/1/2022,DAL,DET,DAL,-7.5,221.5,18106,20332
325,12/2/2022,WAS,CHA,WAS,-3.5,225.5,15231,19077
326,12/2/2022,DEN,ATL,DEN,-4.5,224.5,16974,16888
327,12/2/2022,MIA,BOS,BOS,-6.5,226.5,19156,19156
328,12/2/2022,TOR,BKN,BKN,-1.5,223.5,17732,17732
329,12/2/2022,ORL,CLE,CLE,-10.5,217.5,19432,19432
330,12/2/2022,LAL,MIL,MIL,-8.5,230.5,17938,17341
331,12/2/2022,PHI,MEM,MEM,-4.5,218.5,17022,18400
332,12/2/2022,NOP,SAS,NOP,-7.5,233.5,17202,18354
333,12/2/2022,HOU,PHX,PHX,-11.5,229.5,17071,17071
334,12/2/2022,IND,UTA,UTA,-4.5,241.5,18206,18206
335,12/2/2022,CHI,GSW,GSW,-6.5,236.5,18064,18064
336,12/3/2022,DAL,NYK,DAL,-1.5,225.5,18319,19763
337,12/3/2022,SAC,LAC,SAC,-3.5,227.5,16587,19068
338,12/3/2022,MIL,CHA,MIL,-1.5,220.5,18128,19077
339,12/3/2022,ORL,TOR,TOR,-11.5,220.5,19800,19800
340,12/3/2022,OKC,MIN,MIN,-4.5,232.5,17136,18024
341,12/3/2022,HOU,GSW,GSW,-10.5,235.5,18064,18064
342,12/3/2022,POR,UTA,UTA,-4.5,228.5,18206,18206
343,12/4/2022,DEN,NOP,NOP,-1.5,230.5,15658,16867
344,12/4/2022,PHX,SAS,PHX,-9.5,230.5,16409,18354
345,12/4/2022,BOS,BKN,BOS,-1.5,229.5,18043,17732
346,12/4/2022,MEM,DET,MEM,-6.5,229.5,20088,20332
347,12/4/2022,CLE,NYK,CLE,-2.5,221.5,19007,19763
348,12/4/2022,LAL,WAS,WAS,-1.5,234.5,19647,20600
349,12/4/2022,CHI,SAC,SAC,-2.5,239.5,17611,17611
350,12/4/2022,IND,POR,POR,-4.5,234.5,17479,19441
351,12/5/2022,LAC,CHA,LAC,-6.5,218.5,13945,19077
352,12/5/2022,MIL,ORL,MIL,-10.5,226.5,16174,18500
353,12/5/2022,OKC,ATL,ATL,-5.5,237.5,16301,16888
354,12/5/2022,BOS,TOR,TOR,-1.5,228.5,19800,19800
355,12/5/2022,PHI,HOU,PHI,-7.5,220.5,15331,18055
356,12/5/2022,MIA,MEM,MIA,-4.5,218.5,16122,18400
357,12/5/2022,PHX,DAL,DAL,-3.5,223.5,20227,19200
358,12/5/2022,IND,GSW,GSW,-12.5,241.5,18064,18064
359,12/6/2022,LAL,CLE,CLE,-5.5,224.5,19432,19432
360,12/6/2022,DET,MIA,MIA,-7.5,219.5,19600,19600
361,12/6/2022,DAL,DEN,DEN,-4.5,222.5,19520,19520
362,12/7/2022,LAC,ORL,LAC,-6.5,216.5,14429,18500
363,12/7/2022,CHA,BKN,BKN,-10.5,223.5,16903,17732
364,12/7/2022,ATL,NYK,NYK,-1.5,232.5,18091,19763
365,12/7/2022,LAL,TOR,TOR,-12.5,228.5,19800,19800
366,12/7/2022,WAS,CHI,CHI,-5.5,226.5,19265,20917
367,12/7/2022,OKC,MEM,MEM,-8.5,233.5,15942,18400
368,12/7/2022,SAC,MIL,MIL,-6.5,236.5,17341,17341
369,12/7/2022,IND,MIN,MIN,-3.5,238.5,15472,18024
370,12/7/2022,DET,NOP,NOP,-11.5,229.5,14073,16867
371,12/7/2022,GSW,UTA,UTA,-5.5,231.5,18206,18206
372,12/7/2022,BOS,PHX,PHX,-2.5,230.5,17071,17071
373,12/8/2022,LAC,MIA,MIA,-6.5,211.5,19600,19600
374,12/8/2022,HOU,SAS,HOU,-2.5,230.5,13140,18354
375,12/8/2022,DEN,POR,DEN,-1.5,227.5,18189,19441
376,12/9/2022,NYK,CHA,NYK,-3.5,224.5,17696,19077
377,12/9/2022,WAS,IND,IND,-4.5,233.5,15039,17923
