,Name,Team,Location,Opponent,Date,Result,Mins,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
0,Norman Powell,LAC,A,PHX,2023-04-09,W,32,120.9,105.8,15.1,0.0,0.0,0.0,5.4,7.7,6.6,4.0,54.5,57.8,30.5,103.44,15.0
1,Kendrick Nunn,WAS,H,HOU,2023-04-09,L,22,82.4,100.0,-17.6,23.1,0.75,17.6,3.6,14.8,9.1,23.5,55.6,60.7,24.6,111.19,12.3
2,Nick Richards,CHA,A,CLE,2023-04-09,W,18,141.0,123.7,17.3,7.7,0.33,10.0,18.2,37.5,29.6,30.0,75.0,88.7,22.0,105.2,18.0
3,TyTy Washington Jr.,HOU,A,WAS,2023-04-09,W,21,104.7,100.0,4.7,0.0,0.0,0.0,0.0,14.3,6.8,0.0,80.0,68.0,12.0,98.99,8.6
4,Nikola Vucevic,CHI,H,DET,2023-04-09,W,18,102.9,77.1,25.7,0.0,0.0,0.0,0.0,38.9,20.0,0.0,44.4,44.4,25.7,96.28,19.5
5,Omer Yurtseven,MIA,H,ORL,2023-04-09,W,24,142.0,120.0,22.0,0.0,0.0,0.0,12.5,20.0,17.1,9.1,61.1,67.8,20.0,100.0,9.8
6,Scottie Barnes,TOR,H,MIL,2023-04-09,W,22,119.1,102.1,17.0,27.8,5.0,33.3,0.0,8.3,4.5,6.7,44.4,44.4,20.4,103.88,8.5
7,Louis King,PHI,A,BKN,2023-04-09,W,29,125.8,120.6,5.2,9.1,1.0,11.8,6.7,7.4,7.0,11.8,76.9,74.4,20.5,104.17,10.7
8,Mark Williams,CHA,A,CLE,2023-04-09,W,30,82.3,76.2,6.1,0.0,0.0,0.0,2.9,23.7,13.7,14.3,90.0,87.0,19.4,98.58,30.9
9,Jamal Cain,MIA,H,ORL,2023-04-09,W,19,146.2,112.8,33.3,8.3,0.5,9.1,0.0,22.7,15.6,18.2,114.3,108.2,23.3,101.1,21.2
10,RJ Barrett,NYK,H,IND,2023-04-09,L,37,127.4,117.6,9.7,8.8,1.0,12.5,2.1,2.6,2.3,12.5,46.9,49.5,20.6,108.81,1.9
11,Kevin Huerter,SAC,A,DEN,2023-04-09,L,21,125.6,111.4,14.2,17.6,1.5,21.4,0.0,4.8,2.4,14.3,66.7,66.7,22.0,98.1,7.8
12,Olivier Sarr,OKC,H,MEM,2023-04-09,W,42,111.2,95.5,15.7,3.3,1.0,5.3,4.5,26.0,16.0,5.3,66.7,65.6,18.0,101.2,13.7
