,Date,Team,Location,Opponent,Result
0,2023-04-09,WAS,H,HOU,L
1,2023-04-09,CHI,H,DET,W
2,2023-04-09,MIA,H,ORL,W
3,2023-04-09,TOR,H,MIL,W
4,2023-04-09,NYK,H,IND,L
5,2023-04-09,OKC,H,MEM,W
6,2023-04-09,CLE,H,CHA,L
7,2023-04-09,PHX,H,LAC,L
8,2023-04-09,MIN,H,NOP,W
9,2023-04-09,DAL,H,SAS,L
10,2023-04-09,BKN,H,PHI,L
11,2023-04-09,DEN,H,SAC,W
12,2023-04-09,BOS,H,ATL,W
13,2023-04-09,POR,H,GSW,L
14,2023-04-09,LAL,H,UTA,W
15,2023-04-08,LAC,H,POR,W
16,2023-04-08,SAS,H,MIN,L
17,2023-04-08,UTA,H,DEN,W
18,2023-04-07,SAC,H,GSW,L
19,2023-04-07,CHA,H,HOU,L
20,2023-04-07,MIL,H,MEM,L
21,2023-04-07,NOP,H,NYK,W
22,2023-04-07,LAL,H,PHX,W
23,2023-04-07,DAL,H,CHI,L
24,2023-04-07,IND,H,DET,L
25,2023-04-07,WAS,H,MIA,W
26,2023-04-07,BOS,H,TOR,W
27,2023-04-07,ATL,H,PHI,L
28,2023-04-07,BKN,H,ORL,W
29,2023-04-06,PHI,H,MIA,L
30,2023-04-06,PHX,H,DEN,W
31,2023-04-06,SAS,H,POR,W
32,2023-04-06,ORL,H,CLE,L
33,2023-04-06,UTA,H,OKC,L
34,2023-04-05,DAL,H,SAC,W
35,2023-04-05,ATL,H,WAS,W
36,2023-04-05,DET,H,BKN,L
37,2023-04-05,NOP,H,MEM,W
38,2023-04-05,MIL,H,CHI,W
39,2023-04-05,LAC,H,LAL,W
40,2023-04-05,BOS,H,TOR,W
41,2023-04-05,IND,H,NYK,L
42,2023-04-04,UTA,H,LAL,L
43,2023-04-04,NOP,H,SAC,L
44,2023-04-04,PHX,H,SAS,W
45,2023-04-04,DET,H,MIA,L
46,2023-04-04,GSW,H,OKC,W
47,2023-04-04,WAS,H,MIL,L
48,2023-04-04,BKN,H,MIN,L
49,2023-04-04,MEM,H,POR,W
50,2023-04-04,ORL,H,CLE,L
51,2023-04-04,HOU,H,DEN,W
52,2023-04-04,PHI,H,BOS,W
53,2023-04-04,CHA,H,TOR,L
