,Date,Player,Injury,Status
1,"Apr, 9 3:30 PM",Desmond Bane,Left Knee Soreness,Out
2,"Apr, 9 3:30 PM",Tyus Jones,Left Foot Soreness,Out
3,"Apr, 9 3:30 PM",Dillon Brooks,Right Groin Soreness,Out
4,"Apr, 9 3:30 PM",Santi Aldama,Left Elbow Soreness,Out
5,"Apr, 9 3:30 PM",Ziaire Williams,Right Foot/ankle Soreness,Available
6,"Apr, 9 3:30 PM",Jaren Jackson Jr,Left Elbow Soreness,Out
7,"Apr, 9 3:30 PM",Anthony Davis,Right Foot Stress Injury,Available
8,"Apr, 9 3:30 PM",LeBron James,Right Foot Soreness,Available
9,"Apr, 9 3:30 PM",D'Angelo Russell,Left Foot Soreness,Available
10,"Apr, 9 3:30 PM",Rudy Gobert,Back Spasms,Available
11,"Apr, 9 3:30 PM",Jaylen Nowell,Left Knee Tendinopathy,Out
12,"Apr, 9 3:30 PM",Romeo Langford,Left Adductor Injury Management,Available
13,Apr 9 2:30 PM,Nikola Jokic,Right Calf Tightness,Out
14,Apr 9 2:30 PM,Jamal Murray,Right Thumb Sprain,Out
15,Apr 9 2:30 PM,Aaron Gordon,Right Shoulder Inflammation,Out
16,Apr 9 2:30 PM,Bruce Brown,Left Patellofemoral Inflammation,Available
17,Apr 9 2:30 PM,Kentavious Caldwell-Pope,Non-COVID Illness,Out
18,Apr 9 2:30 PM,Reggie Jackson,Low Back Pain,Available
19,Apr 9 2:30 PM,Jeff Green,Facial Contusion,Out
20,Apr 9 2:30 PM,Michael Porter Jr,Left Heel Injury Management,Out
21,Apr 9 2:30 PM,Collin Gillespie,Right Lower Leg Fracture,Out
22,Apr 9 2:30 PM,Stephen Curry,Right Hip Contusion,Available
23,Apr 9 2:30 PM,Jonathan Kuminga,Right Toe Contusion,Available
24,Apr 9 2:30 PM,Malik Monk,Left Lower Leg Soreness,Available
25,Apr 9 2:30 PM,Davion Mitchell,Left Knee Soreness,Out
26,Apr 9 2:30 PM,Drew Eubanks,Right Ankle Sprain,Out
27,Apr 9 2:30 PM,Shaedon Sharpe,Right Quad Contusion,Available
28,Apr 9 2:30 PM,Trendon Watford,Right Ankle Sprain,Available
29,Apr 9 2:30 PM,Cameron Reddish,Lumbar Soreness,Out
30,Apr 9 2:30 PM,Kevin Knox,Right Quad Contusion,Available
31,Apr 9 2:30 PM,Karl-Anthony Towns,Right Calf Strain,Available
32,Apr 9 2:30 PM,Austin Rivers,Illness,Available
33,Apr 9 2:30 PM,TJ Warren,Non-COVID Illness,Out
34,Apr 9 2:30 PM,Dennis Schroeder,Right Achilles Soreness,Out
35,"Apr 9, 1:30 PM",Ty Jerome,General Illness,Out
36,"Apr 9, 12:30 PM",Jayson Tatum,Left Hip Contusion,Out
37,"Apr 9, 12:30 PM",Marcus Smart,Left Neck Spasm,Out
38,"Apr 9, 12:30 PM",Malcolm Brogdon,Low Back Pain,Out
39,"Apr 9, 12:30 PM",Robert Williams,Left Knee Soreness,Out
40,"Apr 9, 12:30 PM",Zach LaVine,Left Knee Injury Management,Available
41,"Apr 9, 12:30 PM",Spencer Dinwiddie,Rest,Out
42,"Apr 9, 12:30 PM",Nic Claxton,Rest,Out
43,"Apr 9, 12:30 PM",Joe Harris,Rest,Out
44,"Apr 9, 12:30 PM",Edmond Sumner,Right Hip Contusion,Out
45,"Apr 9, 12:30 PM",Jarrett Allen,Right Groin Strain,Available
46,"Apr 9, 12:30 PM",Paolo Banchero,Back Tightness,Out
47,"Apr 9, 12:30 PM",Myles Turner,Left Ankle Soreness,Out
48,"Apr 9, 12:30 PM",Jalen Smith,Right Knee Soreness,Out
49,"Apr 9, 12:30 PM",Aaron Nesmith,Head Contusion,Available
50,"Apr 9, 12:30 PM",Isaiah Jackson,Head Contusion,Available
51,"Apr 9, 12:30 PM",Oshae Brissett,Lower Back Soreness,Available
52,"Apr 9, 12:30 PM",TJ McConnell,Right Hip Soreness,Out
53,"Apr 9, 12:30 PM",De'Andre Hunter,Left Knee Soreness,Available
54,"Apr 9, 12:30 PM",Kelly Olynyk,Rest,Available
55,"Apr 9, 12:30 PM",Isaiah Roby,Not With Team,Out
56,"Apr 9, 12:30 PM",Trevor Keels,Illness,Out
57,"Apr 9, 12:30 PM",DaQuan Jeffries,Right Calf Strained,Available
58,"Apr 9, 12:30 PM",Dennis Smith,Right Great Toe Sprain,Out
59,"Apr 9, 11:30 AM",Jimmy Butler,Rest,Out
60,"Apr 9, 11:30 AM",Bam Adebayo,Left Quadriceps Tendon Strain,Available
61,"Apr 9, 11:30 AM",Tyler Herro,Right Quadriceps Contusion,Available
62,"Apr 9, 11:30 AM",Max Strus,Right 2nd Finger Hyperextension,Available
63,"Apr 9, 11:30 AM",Kyle Lowry,Left Knee Soreness,Available
64,"Apr 9, 11:30 AM",Victor Oladipo,Left Elbow Contusion,Available
65,"Apr 9, 11:30 AM",Franz Wagner,Left Ankle Sprain,Available
66,"Apr 9, 11:30 AM",Markelle Fultz,Left Knee Soreness,Available
67,"Apr 9, 11:30 AM",Gary Harris,Left Adductor Soreness,Available
68,"Apr 9, 11:30 AM",Wendell Carter Jr,Left Hip Soreness,Available
69,"Apr 9, 11:30 AM",Drew Eubanks,Right Ankle Sprain,Questionable
70,"Apr 9, 11:30 AM",Shaedon Sharpe,Right Quad Contusion,Probable
71,"Apr 9, 11:30 AM",Trendon Watford,Right Ankle Sprain,Probable
72,"Apr 9, 11:30 AM",Cameron Reddish,Lumbar Soreness,Questionable
73,"Apr 9, 11:30 AM",Kevin Knox,Right Quadriceps Contusion,Probable
74,"Apr 9, 11:30 AM",Georges Niang,Left Knee Soreness,Out
75,"Apr 9, 11:30 AM",Romeo Langford,Left Adductor Injury management,Questionable
76,"Apr 9, 11:30 AM",Eugene Omoruyi,Left Ankle Sprain,Out
77,Apr 9 10:30 AM,Nikola Jokic,Right Calf Tightness,Questionable
78,Apr 9 10:30 AM,Jamal Murray,Right Thumb Sprain,Questionable
79,Apr 9 10:30 AM,Aaron Gordon,Right Shoulder Inflammation,Questionable
80,Apr 9 10:30 AM,Bruce Brown,Left Patellofemoral Inflammation,Questionable
81,Apr 9 10:30 AM,Kentavious Caldwell-Pope,Non-COVID Illness,Questionable
82,Apr 9 10:30 AM,Reggie Jackson,Low Back Pain,Probable
83,Apr 9 10:30 AM,Jeff Green,Facial Contusion,Questionable
84,Apr 9 10:30 AM,Michael Porter Jr,Left Heel Injury Management,Questionable
85,Apr 9 10:30 AM,Collin Gillespie,Right Lower Leg Fracture,Doubtful
86,Apr 9 10:30 AM,Rudy Gobert,Back Spasms,Questionable
87,Apr 9 10:30 AM,Jaylen Nowell,Left Knee Tendinopathy,Questionable
88,Apr 9 10:30 AM,Karl-Anthony Towns,Right Calf Strain,Questionable
89,Apr 9 10:30 AM,Austin Rivers,Illness,Questionable
90,Apr 9 10:30 AM,Matt Ryan,G League - Two-Way,Out
91,Apr 9 10:30 AM,Edmond Sumner,Right Hip Contusion,Doubtful
92,Apr 8 6:30 PM,Anthony Davis,Right Foot Stress injury,Questionable
93,Apr 8 6:30 PM,LeBron James,Right Foot Soreness,Questionable
94,Apr 8 6:30 PM,D'Angelo Russell,Left Foot Soreness,Probable
95,Apr 8 6:30 PM,Dennis Schroeder,Right Achilles Soreness,Questionable
96,"Apr 8, 5:30 PM",Cameron Payne,Low Back Soreness,Out
97,"Apr 8, 5:30 PM",Bismack Biyombo,Right Knee Bone Contusion,Out
98,"Apr 8, 5:30 PM",TJ Warren,Non-COVID Illness,Doubtful
99,"Apr 8, 5:30 PM",AJ Green,Right Foot Soreness,Out
100,"Apr 8, 5:30 PM",Georges Niang,Left Knee Soreness,Questionable
101,"Apr 8, 5:30 PM",Jayson Tatum,Left Hip Contusion,Questionable
102,"Apr 8, 5:30 PM",Al Horford,Low Back Stiffness,Out
103,"Apr 8, 5:30 PM",Malcolm Brogdon,Low Back Pain,Available
104,"Apr 8, 5:30 PM",Robert Williams,Left Knee Soreness,Questionable
105,"Apr 8, 5:30 PM",Jimmy Butler,Rest,Questionable
106,"Apr 8, 5:30 PM",Bam Adebayo,Left Quadriceps Tendon Strain,Probable
107,"Apr 8, 5:30 PM",Tyler Herro,Right Quadriceps Contusion,Questionable
108,"Apr 8, 5:30 PM",Max Strus,Right 2nd Finger Hyperextension,Probable
109,"Apr 8, 5:30 PM",Kyle Lowry,Left Knee Soreness,Questionable
110,"Apr 8, 5:30 PM",Kevin Love,Right Rib Contusion,Available
111,"Apr 8, 5:30 PM",Victor Oladipo,Left Elbow Contusion,Probable
112,"Apr 8, 5:30 PM",Trae Young,Right Groin Soreness,Out
113,"Apr 8, 5:30 PM",Dejounte Murray,Left Ankle Soreness,Out
114,"Apr 8, 5:30 PM",Clint Capela,Right Calf Tightness,Out
115,"Apr 8, 5:30 PM",John Collins,Low Back Tightness,Out
116,"Apr 8, 5:30 PM",De'Andre Hunter,Left Knee Soreness,Probable
117,"Apr 8, 5:30 PM",Bogdan Bogdanovic,Right Knee Soreness,Out
118,"Apr 8, 5:30 PM",Pascal Siakam,Rest,Out
119,"Apr 8, 5:30 PM",Fred VanVleet,Left Thumb Soreness,Out
120,"Apr 8, 5:30 PM",Zach LaVine,Left Knee Injury Management,Questionable
121,"Apr 8, 5:30 PM",DeMar DeRozan,Rest,Available
122,"Apr 8, 5:30 PM",Patrick Beverley,Rest,Available
123,"Apr 8, 5:30 PM",Stephen Curry,Right Hip Contusion,Probable
124,"Apr 8, 5:30 PM",Jonathan Kuminga,Right Toe Contusion,Probable
125,"Apr 8, 5:30 PM",Ty Jerome,General Illness,Available
126,"Apr 8, 5:30 PM",Spencer Dinwiddie,Rest,Questionable
127,"Apr 8, 5:30 PM",Nic Claxton,Rest,Questionable
128,"Apr 8, 5:30 PM",Dorian Finney-Smith,Right Wrist Contusion,Out
129,"Apr 8, 5:30 PM",Royce O'Neale,Left Knee Soreness,Out
130,"Apr 8, 5:30 PM",Cameron Johnson,Right Knee Soreness,Out
131,"Apr 8, 5:30 PM",Joe Harris,Rest,Questionable
132,"Apr 8, 5:30 PM",Seth Curry,Left Ankle Soreness,Out
133,"Apr 8, 5:30 PM",Edmond Sumner,Right Hip Contusion,Questionable
134,Apr 8 4:30 PM,Evan Mobley,Rest,Available
135,Apr 8 4:30 PM,Jarrett Allen,Right Groin Strain,Questionable
136,Apr 8 4:30 PM,Myles Turner,Left Ankle Soreness,Questionable
137,Apr 8 4:30 PM,Jalen Smith,Right Knee Soreness,Questionable
138,Apr 8 4:30 PM,Aaron Nesmith,Head Contusion,Questionable
139,Apr 8 4:30 PM,Isaiah Jackson,Head Contusion,Questionable
140,Apr 8 4:30 PM,Oshae Brissett,Lower Back Soreness,Questionable
141,Apr 8 4:30 PM,TJ McConnell,Right Hip Soreness,Questionable
142,Apr 8 4:30 PM,Wendell Carter Jr,Left Hip Soreness,Questionable
143,Apr 8 3:30 PM,Keldon Johnson,Right Foot Sprain,Out
144,Apr 8 3:30 PM,Zach Collins,Left Fifth Finger Laceration,Out
145,Apr 8 3:30 PM,Romeo Langford,Left Adductor Injury Management,Available
146,Apr 8 3:30 PM,Daniel Gafford,Right Ankle Soreness,Out
147,Apr 8 3:30 PM,Delon Wright,Right Knee Soreness,Out
148,Apr 8 3:30 PM,Jay Huff,G League - Two-Way,Out
149,Apr 8 3:30 PM,Drew Eubanks,Right Ankle Sprain,Out
150,Apr 8 3:30 PM,Shaedon Sharpe,Left Knee Tendinopathy,Available
151,Apr 8 3:30 PM,Trendon Watford,Right Ankle Sprain,Available
152,Apr 8 3:30 PM,Cameron Reddish,Lumbar Soreness,Out
153,Apr 8 3:30 PM,Kevin Knox,Right Quadriceps Contusion,Available
154,Apr 8 3:30 PM,Jaylen Nowell,Left Knee Tendinopathy,Out
155,Apr 8 3:30 PM,Karl-Anthony Towns,Right Calf Strain,Available
156,Apr 8 3:30 PM,Austin Rivers,Illness,Out
157,"Apr 8, 2:30 PM",Nikola Jokic,Right Calf Tightness,Available
158,"Apr 8, 2:30 PM",Jamal Murray,Right Thumb Sprain,Available
159,"Apr 8, 2:30 PM",Aaron Gordon,Right Shoulder Inflammation,Available
160,"Apr 8, 2:30 PM",Bruce Brown,Left Patellofemoral Inflammation,Out
161,"Apr 8, 2:30 PM",Kentavious Caldwell-Pope,Non-COVID Illness,Available
162,"Apr 8, 2:30 PM",Reggie Jackson,Low Back Pain,Available
163,"Apr 8, 2:30 PM",Michael Porter Jr,Left Heel Injury Management,Available
164,"Apr 8, 1:30 PM",Mitchell Robinson,Rest,Available
165,"Apr 8, 1:30 PM",DaQuan Jeffries,Right Calf Strained,Questionable
166,Apr 8 1:30 AM,Franz Wagner,Left Ankle Sprain,Questionable
167,Apr 8 1:30 AM,Paolo Banchero,Back Tightness,Questionable
168,Apr 8 1:30 AM,Markelle Fultz,Left Knee Soreness,Questionable
169,Apr 8 1:30 AM,Gary Harris,Left Adductor Soreness,Questionable
170,"Apr 7, 10:30 PM",Anthony Davis,Right Foot Stress injury,Available
171,"Apr 7, 10:30 PM",LeBron James,Right Foot Soreness,Available
172,"Apr 7, 10:30 PM",D'Angelo Russell,Left Foot Soreness,Available
173,"Apr 7, 10:30 PM",Kelly Olynyk,Rest,Out
174,Apr 7 9:30 PM,Domantas Sabonis,Left Ankle Soreness,Out
175,Apr 7 9:30 PM,De'Aaron Fox,Left Ankle Soreness,Out
176,Apr 7 9:30 PM,Kevin Huerter,Right Popliteus Injury management,Out
177,Apr 7 9:30 PM,Malik Monk,Left Lower Leg Soreness,Out
178,Apr 7 9:30 PM,Keegan Murray,Right Foot Soreness,Available
179,Apr 7 9:30 PM,Trey Lyles,Right Shoulder Soreness,Available
180,Apr 7 9:30 PM,Davion Mitchell,Left Knee Soreness,Available
181,Apr 7 9:30 PM,Dennis Schroeder,Neck Spasms,Out
182,"Apr 7, 8:30 PM",Shaedon Sharpe,Left Knee Tendinopathy,Probable
183,"Apr 7, 8:30 PM",Drew Eubanks,Right Ankle Sprain,Questionable
184,"Apr 7, 8:30 PM",Trendon Watford,Right Ankle Sprain,Probable
185,"Apr 7, 8:30 PM",Cameron Reddish,Lumbar Soreness,Questionable
186,"Apr 7, 8:30 PM",Kevin Knox,Right Quadriceps Contusion,Probable
187,"Apr 7, 8:30 PM",Dennis Schroeder,Neck Spasms,Questionable
188,Apr 7 6:30 PM,Derrick White,Left Ankle Sprain,Available
189,Apr 7 6:30 PM,Marcus Smart,Left Neck Spasm,Out
190,Apr 7 6:30 PM,Malcolm Brogdon,Low Back Pain,Out
191,Apr 7 6:30 PM,Payton Pritchard,Left Heel Pain,Available
192,Apr 7 6:30 PM,RJ Barrett,Illness,Available
193,Apr 7 6:30 PM,Santi Aldama,Left Elbow Soreness,Out
194,Apr 7 6:30 PM,Alex Caruso,Left Midfoot Soreness Injury Management,Available
195,Apr 7 5:30 PM,Luka Doncic,Left Thigh Injury Recovery,Available
196,Apr 7 5:30 PM,JaVale McGee,Right Ankle Sprain,Available
197,Apr 7 5:30 PM,Nikola Jokic,Right Calf Tightness,Questionable
198,Apr 7 5:30 PM,Jamal Murray,Right Thumb Sprain,Questionable
199,Apr 7 5:30 PM,Aaron Gordon,Right Shoulder Inflammation,Questionable
200,Apr 7 5:30 PM,Bruce Brown,Left Patellofemoral Inflammation,Probable
201,Apr 7 5:30 PM,Kentavious Caldwell-Pope,Non-COVID Illness,Questionable
202,Apr 7 5:30 PM,Reggie Jackson,Low Back Pain,Probable
203,Apr 7 5:30 PM,Michael Porter Jr,Left Heel Injury Management,Questionable
204,Apr 7 5:30 PM,Tobias Harris,Left Hip Injury Recovery,Out
205,Apr 7 5:30 PM,De'Anthony Melton,Right Calf Tightness,Out
206,Apr 7 5:30 PM,Jaden Springer,Right Ankle Sprain,Available
207,Apr 7 5:30 PM,Paolo Banchero,Back Tightness,Out
208,Apr 7 5:30 PM,Franz Wagner,Left Ankle Sprain,Available
209,Apr 7 5:30 PM,Markelle Fultz,Left Knee Soreness,Available
210,Apr 7 5:30 PM,Gary Harris,Left Adductor Soreness,Available
211,Apr 7 5:30 PM,Keldon Johnson,Right Foot Sprain,Questionable
212,Apr 7 5:30 PM,Romeo Langford,Left Adductor Injury management,Questionable
213,Apr 7 5:30 PM,Max Strus,Right 2nd Finger Hyperextension,Available
214,Apr 7 5:30 PM,Kevin Love,Right Rib Contusion,Out
215,Apr 7 5:30 PM,De'Andre Hunter,Left Knee Bone Bruise Muscle Strain,Available
216,Apr 7 5:30 PM,Jaylen Nowell,Left Knee Tendinopathy,Questionable
217,Apr 7 5:30 PM,Karl-Anthony Towns,Right Calf Strain,Questionable
218,Apr 7 5:30 PM,Austin Rivers,Illness,Questionable
219,Apr 7 5:30 PM,Mark Williams,Left Ankle Sprain,Available
220,Apr 7 5:30 PM,Dennis Smith,Right Great Toe Sprain,Out
221,Apr 7 5:30 PM,Ty Jerome,General Illness,Out
222,Apr 7 4:30 PM,Myles Turner,Left Ankle Soreness,Out
223,Apr 7 4:30 PM,Jalen Smith,Right Knee Soreness,Out
224,Apr 7 4:30 PM,Gabe York,G League - Two-Way,Available
225,Apr 7 4:30 PM,TJ McConnell,Right Hip Soreness,Out
226,"Apr 7, 3:30 PM",Jaylen Brown,Right Finger Laceration,Out
227,"Apr 7, 3:30 PM",Kevin Durant,Left Ankle Injury management,Out
228,"Apr 7, 3:30 PM",Devin Booker,Rest,Out
229,"Apr 7, 3:30 PM",Deandre Ayton,Rest,Out
230,"Apr 7, 3:30 PM",Chris Paul,Rest,Out
231,"Apr 7, 3:30 PM",Marvin Bagley III,Concussion Protocol,Available
232,"Apr 7, 3:30 PM",Isaiah Livers,Right Ankle Sprain,Out
233,"Apr 7, 3:30 PM",Eugene Omoruyi,Left Ankle Sprain,Out
234,Apr 7 2:30 PM,Zach LaVine,Left Knee Injury Management,Out
235,Apr 7 2:30 PM,DeMar DeRozan,Rest,Out
236,Apr 7 2:30 PM,Patrick Beverley,Rest,Out
237,Apr 7 2:30 PM,Tyler Herro,Right Quadriceps Contusion,Out
238,Apr 7 2:30 PM,Mitchell Robinson,Rest,Out
239,Apr 7 1:30 PM,Joel Embiid,Right Calf Injury Recovery,Out
240,Apr 7 1:30 PM,James Harden,Left Achilles Injury Recovery,Out
241,Apr 7 1:30 PM,Tobias Harris,Left Hip Injury Recovery,Questionable
242,Apr 7 1:30 PM,De'Anthony Melton,Right Calf Tightness,Doubtful
243,Apr 7 1:30 PM,Jaden Springer,Right Ankle Sprain,Questionable
244,Apr 7 1:30 PM,PJ Tucker,Right Calf Tightness,Out
245,Apr 7 1:30 PM,Mac McClung,G League - Two-Way,Available
246,Apr 7 1:30 PM,Louis King,G League - Two-Way,Available
247,Apr 7 1:30 PM,Jimmy Butler,Right Hand Contusion,Out
248,Apr 7 1:30 PM,Bam Adebayo,Left Quadriceps Tendon Strain,Out
249,Apr 7 1:30 PM,Tyler Herro,Right Quadriceps Contusion,Questionable
250,Apr 7 1:30 PM,Max Strus,Right 2nd Finger Hyperextension,Questionable
251,Apr 7 1:30 PM,Kyle Lowry,Left Knee Soreness,Out
252,Apr 7 1:30 PM,Kevin Love,Right Rib Contusion,Questionable
253,Apr 7 1:30 PM,Kyrie Irving,Right Foot Injury Recovery,Out
254,Apr 7 1:30 PM,Christian Wood,Rest,Out
255,Apr 7 1:30 PM,Josh Green,Rest,Out
256,Apr 7 1:30 PM,Maxi Kleber,Right Hamstring Injury Recovery,Out
257,Apr 7 1:30 PM,Tim Hardaway Jr,Left Ankle Soreness,Out
258,Apr 7 1:30 PM,AJ Lawson,G League - Two-Way,Available
259,Apr 7 1:30 PM,McKinley Wright,G League - Two-Way,Available
260,Apr 7 1:30 PM,Dorian Finney-Smith,Right Wrist Contusion,Available
261,Apr 7 1:30 PM,Moritz Wagner,Right Ankle Sprain,Out
262,Apr 7 1:30 PM,Jay Scrubb,G League - Two-Way,Out
263,Apr 7 1:30 PM,Wendell Carter Jr,Left Hip Soreness,Out
264,Apr 7 11:30 AM,Paolo Banchero,Back Tightness,Questionable
265,Apr 7 11:30 AM,Franz Wagner,Left Ankle Sprain,Questionable
266,Apr 7 11:30 AM,Markelle Fultz,Left Knee Soreness,Questionable
267,Apr 7 11:30 AM,Moritz Wagner,Right Ankle Sprain,Questionable
268,Apr 7 11:30 AM,Gary Harris,Left Adductor Soreness,Questionable
269,Apr 7 11:30 AM,Wendell Carter Jr,Left Hip Soreness,Questionable
270,Apr 7 11:30 AM,JaVale McGee,Right Ankle Sprain,Probable
271,Apr 6 11:30 PM,Moritz Wagner,Right Ankle Sprain,Out
272,Apr 6 9:30 PM,Zeke Nnaji,Right Knee Sprain,Available
273,Apr 6 9:30 PM,TJ Warren,Non-COVID Illness,Out
274,"Apr 6, 8:30 PM",Domantas Sabonis,Left Ankle Soreness,Questionable
275,"Apr 6, 8:30 PM",De'Aaron Fox,Left Ankle Soreness,Questionable
276,"Apr 6, 8:30 PM",Kevin Huerter,Right Popliteus Injury management,Questionable
277,"Apr 6, 8:30 PM",Malik Monk,Left Lower Leg Soreness,Questionable
278,"Apr 6, 8:30 PM",Keegan Murray,Right Foot Soreness,Questionable
279,"Apr 6, 8:30 PM",Trey Lyles,Right Shoulder Soreness,Questionable
280,"Apr 6, 8:30 PM",Davion Mitchell,Left Knee Soreness,Questionable
281,"Apr 6, 8:30 PM",Aaron Gordon,Right Shoulder Inflammation,Out
282,"Apr 6, 8:30 PM",Kentavious Caldwell-Pope,Non-COVID Illness,Out
283,"Apr 6, 8:30 PM",Michael Porter Jr,Left Heel Injury Management,Out
284,"Apr 6, 8:30 PM",Talen Horton-Tucker,Left Ankle Soreness,Out
285,"Apr 6, 7:30 PM",Anthony Davis,Right Foot Stress injury,Questionable
286,"Apr 6, 7:30 PM",LeBron James,Right Foot Soreness,Questionable
287,"Apr 6, 7:30 PM",D'Angelo Russell,Left Foot Soreness,Probable
288,"Apr 6, 7:30 PM",Cole Swider,Coach's Decision,Available
289,"Apr 6, 7:30 PM",Scotty Pippen Jr,G League - Two-Way,Available
290,"Apr 6, 7:30 PM",Tyrese Maxey,Neck Stiffness,Out
291,"Apr 6, 7:30 PM",De'Anthony Melton,Right Calf Tightness,Available
292,"Apr 6, 7:30 PM",PJ Tucker,Right Calf Tightness,Available
293,"Apr 6, 7:30 PM",Keldon Johnson,Right Foot Sprain,Available
294,"Apr 6, 7:30 PM",Zach Collins,Left Fifth Finger Laceration,Available
295,"Apr 6, 7:30 PM",Romeo Langford,Left Adductor Injury Management,Available
296,"Apr 6, 7:30 PM",Drew Eubanks,Left Thoracic Spasm,Available
297,"Apr 6, 7:30 PM",Shaedon Sharpe,Left Knee Tendinopathy,Out
298,"Apr 6, 7:30 PM",Trendon Watford,Right Ankle Sprain,Available
299,"Apr 6, 7:30 PM",Matisse Thybulle,Right Knee Effusion,Out
300,"Apr 6, 7:30 PM",Cameron Reddish,Lumbar Soreness,Out
301,"Apr 6, 7:30 PM",Kevin Knox,Left Knee Soreness,Available
302,"Apr 6, 7:30 PM",Talen Horton-Tucker,Left Ankle Soreness,Questionable
303,Apr 6 6:30 PM,Bam Adebayo,Left Quadriceps Tendon Strain,Available
304,Apr 6 6:30 PM,Kyle Lowry,Left Knee Soreness,Available
305,Apr 6 6:30 PM,Ja Morant,Left Hip Soreness,Available
306,Apr 6 6:30 PM,Santi Aldama,Left Elbow Soreness,Doubtful
307,Apr 6 6:30 PM,Xavier Tillman,Right Ankle Soreness,Available
308,Apr 6 6:30 PM,Luke Kennard,Right Ankle Soreness,Available
309,Apr 6 6:30 PM,Jrue Holiday,Rest,Out
310,Apr 6 6:30 PM,Brook Lopez,Rest,Out
311,Apr 6 6:30 PM,Khris Middleton,Right Knee Soreness,Out
312,Apr 6 6:30 PM,Luguentz Dort,Right Shoulder Strain,Available
313,"Apr 6, 5:30 PM",Jayson Tatum,Left Hip Contusion,Available
314,"Apr 6, 5:30 PM",Derrick White,Left Ankle Sprain,Questionable
315,"Apr 6, 5:30 PM",Al Horford,Low Back Stiffness,Available
316,"Apr 6, 5:30 PM",Marcus Smart,Left Neck Spasm,Questionable
317,"Apr 6, 5:30 PM",Malcolm Brogdon,Low Back Pain,Questionable
318,"Apr 6, 5:30 PM",Payton Pritchard,Left Heel Pain,Questionable
319,"Apr 6, 5:30 PM",RJ Barrett,Illness,Questionable
320,"Apr 6, 5:30 PM",De'Andre Hunter,Left Knee Bone Bruise Muscle Strain,Questionable
321,"Apr 6, 5:30 PM",Bogdan Bogdanovic,Right Knee Injury Management,Available
322,"Apr 6, 5:30 PM",Delon Wright,Non-COVID Illness,Available
323,"Apr 6, 5:30 PM",Mark Williams,Left Ankle Sprain,Probable
324,"Apr 6, 5:30 PM",Dennis Smith,Right Great Toe Sprain,Questionable
325,"Apr 6, 5:30 PM",Marvin Bagley III,Concussion Protocol,Probable
326,"Apr 6, 5:30 PM",Isaiah Livers,Right Ankle Sprain,Questionable
327,"Apr 6, 5:30 PM",Eugene Omoruyi,Left Ankle Sprain,Questionable
328,"Apr 6, 4:30 PM",Nikola Jokic,Right Calf Tightness,Out
329,"Apr 6, 4:30 PM",Jamal Murray,Right Thumb Sprain,Out
330,"Apr 6, 4:30 PM",Klay Thompson,Low Back Soreness,Available
331,"Apr 6, 4:30 PM",Franz Wagner,Left Ankle Sprain,Out
332,"Apr 6, 4:30 PM",Paolo Banchero,Back Tightness,Out
333,"Apr 6, 4:30 PM",Markelle Fultz,Left Knee Soreness,Out
334,"Apr 6, 4:30 PM",Gary Harris,Left Adductor Soreness,Out
335,"Apr 6, 4:30 PM",Wendell Carter Jr,Left Hip Soreness,Out
336,"Apr 6, 4:30 PM",Myles Turner,Left Ankle Soreness,Questionable
337,"Apr 6, 4:30 PM",Jalen Smith,Right Knee Soreness,Questionable
338,"Apr 6, 4:30 PM",Gabe York,G League - Two-Way,Questionable
339,"Apr 6, 4:30 PM",TJ McConnell,Right Hip Soreness,Questionable
340,"Apr 6, 4:30 PM",Dorian Finney-Smith,Right Wrist Contusion,Probable
341,"Apr 6, 3:30 PM",Luka Doncic,Left Thigh Injury Recovery,Probable
342,"Apr 6, 3:30 PM",Kyrie Irving,Right Foot Injury Recovery,Probable
343,"Apr 6, 3:30 PM",Zach LaVine,Rest,Questionable
344,"Apr 6, 3:30 PM",DeMar DeRozan,Rest,Questionable
345,"Apr 6, 3:30 PM",Alex Caruso,Left Midfoot Soreness Injury Management,Questionable
346,"Apr 6, 3:30 PM",Jeff Dowtin,Ineligible To Play,Out
347,Apr 6 2:30 PM,McKinley Wright,G League - Two-Way,Out
348,Apr 6 2:30 PM,AJ Lawson,G League - Two-Way,Out
349,"Apr 6, 1:30 PM",Bam Adebayo,Left Quadriceps Tendon Strain,Probable
350,"Apr 6, 1:30 PM",Talen Horton-Tucker,Left Ankle Soreness,Probable
351,Apr 6 11:30 AM,Aaron Gordon,Right Shoulder Inflammation,Questionable
352,Apr 6 11:30 AM,Kentavious Caldwell-Pope,Non-COVID Illness,Questionable
353,Apr 6 11:30 AM,Michael Porter Jr,Left Heel Injury Management,Questionable
354,Apr 5 9:30 PM,Anthony Davis,Right Foot Stress Injury,Available
355,Apr 5 9:30 PM,LeBron James,Right Foot Soreness,Available
356,Apr 5 9:30 PM,D'Angelo Russell,Left Foot Soreness,Available
357,Apr 5 9:30 PM,Mo Bamba,Left Ankle Sprain,Available
358,Apr 5 9:30 PM,Cole Swider,Coach's Decision,Out
359,Apr 5 9:30 PM,Eric Gordon,Right Hip Tightness,Available
360,Apr 5 9:30 PM,Marcus Morris,Low Back Spasms,Out
361,Apr 5 7:30 PM,Jayson Tatum,Left Hip Contusion,Out
362,Apr 5 7:30 PM,Marcus Smart,Left Neck Spasm,Out
363,Apr 5 7:30 PM,Payton Pritchard,Left Heel Pain,Out
