,Name,S_Mins,S_GP,S_PPM,S_NETRTG,SIM
0,James Harden,0.984764542936288,0.9285714285714286,1.0000000000000002,0.6463657646310206,0.8855455546538533
1,Giannis Antetokounmpo,0.8342501918250037,0.8714285714285714,0.8425689830734819,0.8492903327757877,0.8468861939217204
2,Stephen Curry,0.8803198186854696,0.8,0.7991595621422519,0.8771635409452667,0.8435989465601483
3,Kevin Durant,0.9093875038473375,0.9285714285714286,0.7438480531872708,0.820904351576183,0.841849893610956
4,Paul George,0.9798357914701404,0.9142857142857144,0.7515217668145638,0.7298129335238293,0.8358829297438514
5,Damian Lillard,0.9255555155832164,0.9571428571428571,0.723011810601293,0.7343507930375128,0.8211741146120342
6,Joel Embiid,0.8678201351331544,0.7571428571428571,0.8158561729487048,0.7038753550022908,0.7894637843203265
7,Kawhi Leonard,0.8798253713693284,0.6714285714285715,0.7779103929489534,0.7247315073552104,0.7739057715681695
8,Donovan Mitchell,0.864010132015672,0.9142857142857144,0.6813864534983669,0.6794693922521429,0.7701115066687301
9,Klay Thompson,0.8850723299476763,0.9285714285714286,0.6126857092324018,0.6746091859071293,0.7578564966968917
10,Russell Westbrook,0.9504061450345925,0.8428571428571427,0.612352114826492,0.6437391631877878,0.7532132113200313
11,Bradley Beal,1.0,0.9857142857142858,0.6740185875525017,0.43820890783019995,0.7505461766910425
12,Kyrie Irving,0.8456069323105334,0.7857142857142856,0.7073084686523491,0.6771088794967473,0.7503329485374541
13,Kemba Walker,0.9085458247508108,0.9714285714285715,0.71214888444277,0.4912276780573836,0.748104112070566
14,Pascal Siakam,0.8028744109076519,0.9571428571428571,0.49203294170332723,0.8044832849648256,0.7422589655538371
15,Khris Middleton,0.7816999825310075,0.9142857142857144,0.5441803064734063,0.7939878946023184,0.7408871206276834
16,Blake Griffin,0.9178978147122191,0.8857142857142857,0.6843950998645905,0.5210792016685974,0.7371480961644954
17,CJ McCollum,0.8801735375590679,0.8285714285714285,0.5974985941460522,0.6745572541791969,0.7357514647854206
18,Karl-Anthony Towns,0.8427639273622655,0.9285714285714286,0.725828981228196,0.5205290844361654,0.7346865737733635
19,Nikola Jokic,0.7796644721852478,0.9571428571428571,0.6178844567063732,0.6646983018562138,0.731920717320052
20,LeBron James,0.9191135734072023,0.6428571428571428,0.7703808813861758,0.5536601421651222,0.7304161247248777
21,Jrue Holiday,0.9433924560025359,0.8142857142857143,0.5603998451610812,0.6206816643225349,0.7256690632507885
22,Anthony Davis,0.8408273974409709,0.657142857142857,0.7783373939674588,0.5937070845534894,0.7243445769046388
23,Eric Bledsoe,0.6987413131165864,0.9428571428571428,0.5047514534202261,0.8154334585217731,0.7175058945460683
24,Nikola Vucevic,0.7799559627814475,0.9714285714285715,0.6378770968614719,0.583206907575879,0.7172418384949465
25,Tobias Harris,0.9104512927054477,1.0,0.5479878429579002,0.5123226009948866,0.7135286833698752
26,LaMarcus Aldridge,0.848693088997798,0.9714285714285715,0.6114124314991367,0.5123112760500557,0.7092750559912933
27,JJ Redick,0.7814896891351183,0.9285714285714286,0.5394631355068352,0.6505957778597111,0.701961980077249
28,Jamal Murray,0.8241830819739407,0.8857142857142857,0.5210959417659461,0.6492322044839516,0.7012818156651588
29,Lou Williams,0.6012939878937109,0.8857142857142857,0.7523944166740444,0.6398776699771932,0.7010187478912011
30,Rudy Gobert,0.7944515472216304,0.9714285714285715,0.45186203721651486,0.6873868863254774,0.6984990119815893
31,Bojan Bogdanovic,0.7977839335180056,0.9857142857142858,0.5376086011883272,0.5875802150920705,0.6978702725034127
32,DeMar DeRozan,0.913297646677148,0.9142857142857144,0.5837336472821433,0.46744911931143796,0.6976375245508291
33,Buddy Hield,0.8084025854108959,0.9857142857142858,0.6292989772918935,0.48112316635727587,0.6967157400645754
34,Jayson Tatum,0.7777697833099496,0.9571428571428571,0.46499897024617176,0.6872367413477112,0.6951134341768048
35,Jusuf Nurkic,0.6357404842515647,0.8857142857142857,0.5364026795988822,0.7989657881826022,0.694768182125389
36,Kyle Lowry,0.8701358659807411,0.7571428571428571,0.37272361955906264,0.8035393476147636,0.694509579989926
37,Mike Conley,0.8545046827595305,0.8571428571428572,0.6062323093573094,0.5130499336067863,0.6907992657549806
38,Brook Lopez,0.6809787626962142,0.9857142857142858,0.3891292895845877,0.8229330249316718,0.689539290300329
39,Steven Adams,0.8676677844194974,0.9428571428571428,0.365897901747785,0.6841160795417591,0.6893261866937784
40,D'Angelo Russell,0.7430156024338851,0.9714285714285715,0.6773912426745902,0.4784991737462076,0.6888145562002678
41,Ben Simmons,0.8900300991713733,0.9571428571428571,0.45055503669603336,0.5636394641845162,0.6879377517763566
42,Andre Drummond,0.8563804247460757,0.9285714285714286,0.4828876320811806,0.5763422902044154,0.6863924989714343
43,Jimmy Butler,0.8713570521698984,0.7714285714285714,0.5236781717590847,0.6059895883483136,0.6842376203695619
44,Julius Randle,0.7471850312916796,0.8857142857142857,0.6819559284678876,0.4969804296717818,0.6822466438679158
45,Malcolm Brogdon,0.6821546052631579,0.7714285714285714,0.5085737615677736,0.8014378357960537,0.6817719740168917
46,Eric Gordon,0.8035229774841962,0.7857142857142856,0.4661090890377635,0.711955695129835,0.68118478413594
47,Devin Booker,0.912388908125577,0.7714285714285714,0.7492236261061563,0.29581004852887294,0.6721016664874163
48,Danny Green,0.6479835953520164,0.9571428571428571,0.30839467186228176,0.8890101967672921,0.6715616939034473
49,Danilo Gallinari,0.7416128039396735,0.8,0.6295717269743244,0.5613564814165595,0.6698905817653384
50,De'Aaron Fox,0.7995951417004049,0.9714285714285715,0.5072954154279455,0.5232248925522645,0.6696678477801521
51,Joe Ingles,0.7827615597698699,0.9714285714285715,0.3308711459689455,0.7152563585104862,0.6693265038351032
52,Clint Capela,0.8690775046168052,0.7714285714285714,0.4473311763294442,0.6249693877974025,0.667635943419364
53,Jerami Grant,0.8196773096175342,0.9428571428571428,0.3594282793786441,0.6601521624817633,0.6674981693994557
54,Josh Richardson,0.9058234989058803,0.9000000000000001,0.4303157764374831,0.5249245855436753,0.6664961079468924
55,Serge Ibaka,0.6311813891453782,0.8857142857142857,0.5135613051749878,0.6988017159970363,0.6592627180145342
56,Aaron Gordon,0.8641612803939674,0.9285714285714286,0.4274664789108794,0.5220628503838209,0.6580248387442982
57,Luka Doncic,0.8116473541154591,0.8714285714285714,0.6350424275506155,0.39828653937567315,0.657304123642334
58,Andrew Wiggins,0.9070617046047614,0.8428571428571427,0.47437817793179393,0.46510522663281295,0.6530264839569027
59,Kyle Kuzma,0.8399155784197337,0.8571428571428572,0.5320371129735317,0.4620857798932302,0.6519026126033127
60,Montrezl Harrell,0.5951061865189289,0.9857142857142858,0.6056114250107758,0.55355243384699,0.6509146864393704
61,Chris Paul,0.808369008646017,0.6428571428571428,0.4455806347411775,0.6876517750546939,0.6464838233710875
62,Evan Fournier,0.7869699552525039,0.9714285714285715,0.4266732049923281,0.5306699975033736,0.6457862098589648
63,Dennis Schroder,0.6949276700523238,0.9285714285714286,0.4877140413510309,0.585381173476865,0.6453139886726136
