,Name,Team,Season,GP,Win%,Mins,Points,PPM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,AST/TO,STL,BLK,EFG%,TS%,OFFRTG,DEFRTG,NETRTG,PF,Plusminus,PIE,S_Mins,S_GP,S_PPM,S_NETRTG,SIM
0,Stephen Curry,GSW,2022,39,76.92307692307693,34.51282051282051,26.256410256410255,0.7607726597325408,8.487179487179487,20.17948717948718,42.058449809402795,4.923076923076923,12.820512820512821,38.4,4.358974358974359,4.769230769230769,91.39784946236558,0.6153846153846154,4.82051282051282,5.435897435897436,5.9743589743589745,3.3846153846153846,1.7651515151515151,1.435897435897436,0.48717948717948717,0.542566709021601,0.589291469085217,113.90542347696878,99.47050520059436,14.434918276374418,2.0,402,15.300594353640417,0.8790179375659466,0.8285714285714286,0.8600320153225048,0.9628970381763796,0.8887561982273304
1,Giannis Antetokounmpo,MIL,2022,35,65.71428571428571,32.51428571428571,28.457142857142856,0.875219683655536,10.0,18.4,54.347826086956516,1.0857142857142856,3.8857142857142857,27.941176470588236,7.371428571428571,10.542857142857143,69.91869918699187,1.8857142857142857,9.571428571428571,11.457142857142857,6.142857142857143,3.4,1.8067226890756303,1.0285714285714285,1.4857142857142858,0.5729813664596274,0.6175901582419763,114.21783831282954,103.62820738137084,10.5896309314587,3.142857142857143,271,21.20492091388401,0.8068059073746592,0.7142857142857143,1.0,0.8493394896075208,0.8571509450171829
2,Kevin Durant,BKN,2022,35,65.71428571428571,37.142857142857146,29.742857142857144,0.8007692307692308,10.714285714285714,20.6,52.011095700416085,1.8857142857142857,5.085714285714285,37.07865168539326,6.428571428571429,7.2,89.28571428571429,0.5714285714285714,6.9714285714285715,7.542857142857143,5.857142857142857,3.0285714285714285,1.9339622641509433,0.7714285714285715,0.9428571428571428,0.565880721220527,0.6256912054623263,113.0532667179093,108.66195234435048,4.391314373558814,1.9142857142857144,99,18.203382013835512,0.9740476987047746,0.7142857142857143,0.9089475681269403,0.6662931863190197,0.827409095650764
3,Donovan Mitchell,UTA,2022,38,65.78947368421053,33.36842105263158,25.68421052631579,0.7697160883280757,9.342105263157896,20.63157894736842,45.28061224489796,3.263157894736842,9.421052631578947,34.63687150837989,3.736842105263158,4.2368421052631575,88.19875776397515,0.8421052631578947,2.973684210526316,3.8157894736842106,5.131578947368421,2.9473684210526314,1.7410714285714286,1.605263157894737,0.21052631578947367,0.5318877551020408,0.5708670628421693,118.78073899371068,110.28474842767295,8.495990566037733,2.5526315789473686,220,13.30487421383648,0.8376679403426599,0.7999999999999999,0.8709697717945853,0.787510906680846,0.8267613655710353
4,Nikola Jokic,DEN,2022,35,57.14285714285714,32.714285714285715,25.542857142857144,0.7807860262008733,10.0,17.65714285714286,56.63430420711975,1.4857142857142858,4.171428571428572,35.61643835616438,4.057142857142857,5.228571428571429,77.59562841530054,2.7142857142857144,11.257142857142858,13.971428571428572,7.0,3.6285714285714286,1.9291338582677164,1.3142857142857143,0.8285714285714286,0.6084142394822006,0.6399244116131249,112.98123909249563,103.71631762652704,9.264921465968584,2.4285714285714284,226,23.764223385689352,0.8140324045308989,0.7142857142857143,0.8845082356309459,0.8102186786059914,0.8161284865808572
5,DeMar DeRozan,CHI,2022,37,70.27027027027027,34.648648648648646,25.72972972972973,0.7425897035881436,9.27027027027027,18.83783783783784,49.21090387374462,0.6756756756756757,1.9189189189189189,35.2112676056338,6.513513513513513,7.648648648648648,85.15901060070671,0.7837837837837838,4.297297297297297,5.081081081081081,4.72972972972973,2.108108108108108,2.2435897435897436,0.8378378378378378,0.32432432432432434,0.5100430416068866,0.5794137695978187,112.15284489477786,105.14754481683553,7.005300077942323,2.2432432432432434,184,14.94380358534684,0.8839257457524432,0.7714285714285715,0.8377943752356558,0.7434884078871334,0.8134354214893207
6,Jayson Tatum,BOS,2022,39,48.717948717948715,36.64102564102564,25.53846153846154,0.6969909027291813,8.820512820512821,21.025641025641026,41.951219512195124,2.769230769230769,8.41025641025641,32.926829268292686,5.128205128205129,6.076923076923077,84.38818565400844,1.1025641025641026,7.410256410256411,8.512820512820513,3.769230769230769,3.0,1.2564102564102564,1.0,0.7948717948717948,0.4853658536585366,0.53879776691046,109.27747559274756,105.23242677824271,4.045048814504852,2.4615384615384617,127,14.102440725244078,0.9559152791002905,0.8285714285714286,0.7820273308760427,0.6560674048590245,0.8030470731767936
7,Joel Embiid,PHI,2022,30,70.0,32.93333333333333,27.033333333333335,0.8208502024291497,8.566666666666666,17.8,48.12734082397004,1.2666666666666666,3.3666666666666667,37.62376237623762,8.633333333333333,10.6,81.44654088050315,1.8666666666666667,8.7,10.566666666666666,4.366666666666666,2.933333333333333,1.4886363636363635,1.1,1.4,0.5168539325842697,0.6017034662867996,112.5434210526316,105.7658906882591,6.777530364372495,2.5,145,20.30323886639676,0.8219471395115419,0.5714285714285714,0.933506469156083,0.7367620002116655,0.7879523920904501
8,Devin Booker,PHX,2022,34,79.41176470588235,32.88235294117647,23.705882352941178,0.7209302325581395,8.411764705882353,19.235294117647058,43.730886850152906,2.7058823529411766,6.617647058823529,40.88888888888889,4.176470588235294,4.794117647058823,87.11656441717791,0.8823529411764706,4.470588235294118,5.352941176470588,4.382352941176471,2.6470588235294117,1.6555555555555554,0.9411764705882353,0.3235294117647059,0.5076452599388379,0.5553105881056054,113.20570918822482,105.6551293487957,7.550579839429119,2.5294117647058822,184,12.690811775200709,0.8201050912168144,0.6857142857142857,0.8113049794843947,0.759591400315131,0.7786382665757384
9,Karl-Anthony Towns,MIN,2022,35,51.42857142857142,34.628571428571426,24.6,0.7103960396039604,8.771428571428572,16.885714285714286,51.945854483925544,2.2857142857142856,5.457142857142857,41.8848167539267,4.771428571428571,5.857142857142857,81.46341463414633,2.914285714285714,6.3428571428571425,9.257142857142858,3.7142857142857144,3.5428571428571427,1.0483870967741935,1.0857142857142856,1.2,0.5871404399323181,0.6319729888432178,113.10617792421745,108.24522240527182,4.86095551894563,3.7142857142857144,130,15.728253706754531,0.8832003058834772,0.7142857142857143,0.7984217282869465,0.6801624481955639,0.7752204904490094
10,Trae Young,ATL,2022,37,40.54054054054054,34.513513513513516,27.56756756756757,0.7987470634299139,9.405405405405405,20.756756756756758,45.3125,2.675675675675676,7.297297297297297,36.666666666666664,6.081081081081081,6.756756756756757,90.0,0.7297297297297297,3.2432432432432434,3.972972972972973,9.432432432432432,4.108108108108108,2.2960526315789473,0.918918918918919,0.10810810810810811,0.517578125,0.5808656036446469,115.63974960876368,115.91251956181533,-0.2727699530516503,1.6756756756756757,15,15.196713615023475,0.879042977403633,0.7714285714285715,0.9064744702912528,0.5285552398561579,0.7713692789874216
11,Darius Garland,CLE,2022,37,62.16216216216216,34.37837837837838,19.486486486486488,0.5668238993710691,7.27027027027027,15.675675675675675,46.37931034482759,2.6216216216216215,6.972972972972973,37.5968992248062,2.324324324324324,2.5405405405405403,91.48936170212765,0.4594594594594595,2.7837837837837838,3.2432432432432434,7.54054054054054,3.5405405405405403,2.1297709923664123,1.2702702702702702,0.10810810810810811,0.5474137931034483,0.5801789622762972,111.62201257861634,102.33993710691826,9.282075471698079,1.7027027027027026,278,12.78435534591195,0.8741602090548224,0.7714285714285715,0.622833911012173,0.8107252641128855,0.7696009428824478
12,LeBron James,LAL,2022,30,53.333333333333336,36.8,29.066666666666666,0.7898550724637681,10.866666666666667,20.733333333333334,52.41157556270096,2.9,7.933333333333334,36.554621848739494,4.433333333333334,5.766666666666667,76.878612716763,1.1333333333333333,6.3,7.433333333333334,6.6,3.2333333333333334,2.0412371134020617,1.6666666666666667,1.1333333333333333,0.5940514469453376,0.624534463988999,112.85465221318879,112.18157181571816,0.6730803974706276,2.3333333333333335,14,17.91897018970189,0.9616594178655065,0.5714285714285714,0.8955996217138067,0.5564877290263944,0.7661118982143028
13,Fred VanVleet,TOR,2022,36,55.55555555555556,37.861111111111114,22.055555555555557,0.5825385179750551,7.583333333333333,17.416666666666668,43.54066985645933,3.888888888888889,9.5,40.93567251461988,3.0,3.4444444444444446,87.09677419354838,0.8333333333333334,4.083333333333333,4.916666666666667,6.722222222222222,2.611111111111111,2.574468085106383,1.6666666666666667,0.5277777777777778,0.5470494417862839,0.582487235166383,111.82126099706747,107.43357771260997,4.387683284457495,2.4166666666666665,138,13.566935483870967,0.9999999999999998,0.7428571428571428,0.6420527899360613,0.666185954390689,0.7650312124090406
14,Anthony Edwards,MIN,2022,36,47.22222222222222,35.55555555555556,22.61111111111111,0.6359375,8.25,18.63888888888889,44.26229508196721,3.3055555555555554,8.833333333333334,37.42138364779874,2.8055555555555554,3.5,80.15873015873017,1.0833333333333333,4.277777777777778,5.361111111111111,3.7222222222222223,3.1944444444444446,1.1652173913043478,1.5555555555555556,0.6944444444444444,0.5312965722801788,0.5602665051483948,111.56580796252923,106.63715846994533,4.928649492583901,2.388888888888889,116,11.797580015612803,0.9166945466711272,0.7428571428571428,0.7073594064094635,0.6821615606180493,0.7644680798842167
