,Name,Team,Season,GP,Win%,Mins,Points,PPM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,AST/TO,STL,BLK,EFG%,TS%,OFFRTG,DEFRTG,NETRTG,PF,Plusminus,PIE,S_Mins,S_GP,S_PPM,S_NETRTG,SIM
0,Stephen Curry,GSW,2022,15,86.66666666666667,33.6,29.466666666666665,0.876984126984127,9.6,20.733333333333334,46.30225080385852,5.666666666666667,13.533333333333333,41.87192118226601,4.6,4.8,95.83333333333334,0.6666666666666666,5.466666666666667,6.133333333333334,6.533333333333333,3.2,2.0416666666666665,1.7333333333333334,0.6666666666666666,0.5996784565916399,0.644916540212443,115.59563492063491,96.49523809523808,19.100396825396828,1.8666666666666667,205,19.894841269841265,0.8371814092953523,0.625,1.0,0.8323843424322457,0.8461541342308481
1,Giannis Antetokounmpo,MIL,2022,16,56.25,33.1875,27.8125,0.8380414312617702,9.6875,19.125,50.65359477124183,1.3125,4.5,29.166666666666668,7.125,10.375,68.67469879518072,1.75,10.4375,12.1875,5.8125,3.3125,1.7547169811320755,1.1875,1.875,0.5408496732026143,0.5870092866188265,109.91770244821093,100.97966101694914,8.938041431261794,3.1875,104,21.109039548022597,0.8223388305847078,0.75,0.946330943449817,0.6569006687928485,0.7988671065869521
2,DeMar DeRozan,CHI,2022,16,68.75,35.5,26.5625,0.7482394366197183,9.25,18.9375,48.84488448844885,0.875,2.625,33.33333333333333,7.1875,8.125,88.46153846153845,0.75,4.625,5.375,4.1875,2.0,2.09375,0.9375,0.5,0.5115511551155115,0.5899500277623543,109.06795774647888,98.69735915492959,10.370598591549296,2.25,121,16.321302816901408,0.9055472263868066,0.75,0.8225699084376308,0.6816380828504948,0.794465202252856
3,Kevin Durant,BKN,2022,16,68.75,34.625,28.5625,0.8249097472924187,10.5625,18.625,56.711409395973156,2.0,4.6875,42.66666666666667,5.4375,6.4375,84.46601941747572,0.4375,7.4375,7.875,4.875,3.0,1.625,0.5,0.5,0.6208053691275168,0.6655598275661191,109.94061371841157,105.10018050541517,4.840433212996402,1.125,50,20.142238267148016,0.8740629685157423,0.75,0.9282334523419877,0.586143121414493,0.7885323392657687
4,Jayson Tatum,BOS,2022,17,52.94117647058824,36.94117647058823,25.470588235294116,0.6894904458598726,9.176470588235293,22.41176470588235,40.94488188976378,3.0,8.647058823529411,34.69387755102041,4.117647058823529,5.235294117647059,78.65168539325843,1.0588235294117647,7.529411764705882,8.588235294117647,3.5294117647058822,2.588235294117647,1.3636363636363635,0.9411764705882353,0.9411764705882353,0.4763779527559055,0.5152798933739527,108.67333333333333,102.99349206349207,5.679841269841262,2.6470588235294117,78,13.449206349206348,0.9574036511156186,0.875,0.7416047146093514,0.6006380297093412,0.7844432467292166
5,Zach LaVine,CHI,2022,16,68.75,35.1875,26.8125,0.7619893428063943,9.8125,19.6875,49.84126984126984,3.0,7.4375,40.33613445378151,4.1875,4.75,88.1578947368421,0.4375,5.1875,5.625,3.6875,2.875,1.2826086956521738,0.5,0.3125,0.5746031746031746,0.615600964298014,108.31097345132744,104.59946902654866,3.7115044247787807,1.5,51,15.049026548672565,0.8943028485757122,0.75,0.8415194053587898,0.5666487656917996,0.7646044337959872
6,Donovan Mitchell,UTA,2022,15,66.66666666666666,31.866666666666667,24.4,0.7656903765690377,9.066666666666666,20.466666666666665,44.299674267100976,3.066666666666667,9.466666666666667,32.3943661971831,3.2,3.6666666666666665,87.27272727272727,0.9333333333333333,3.3333333333333335,4.266666666666667,4.666666666666667,2.8666666666666667,1.627906976744186,1.9333333333333333,0.2,0.5179153094462541,0.552536231884058,118.58666666666667,105.35791666666667,13.228750000000005,2.8,123,13.790416666666665,0.7748125937031486,0.625,0.846620002187463,0.7309926753165298,0.7578833671526544
7,Nikola Jokic,DEN,2022,14,57.14285714285714,32.357142857142854,26.357142857142858,0.8145695364238411,10.285714285714286,17.357142857142858,59.25925925925925,1.7857142857142858,4.357142857142857,40.98360655737705,4.0,5.357142857142857,74.66666666666667,2.7142857142857144,10.857142857142858,13.571428571428571,6.357142857142857,3.2142857142857144,1.9777777777777779,1.2142857142857142,0.9285714285714286,0.6440329218106996,0.6684782608695652,111.54251101321586,99.11343612334801,12.429074889867849,2.9285714285714284,120,25.066079295154182,0.7924609124009424,0.5,0.91398304282224,0.7171838760174059,0.7570764130286304
8,Miles Bridges,CHA,2022,18,55.55555555555556,36.55555555555556,21.61111111111111,0.5911854103343465,7.944444444444445,17.333333333333332,45.83333333333333,2.388888888888889,7.222222222222222,33.07692307692307,3.3333333333333335,4.444444444444445,75.0,1.5,6.055555555555555,7.555555555555555,3.388888888888889,1.7777777777777777,1.90625,1.4444444444444444,0.8333333333333334,0.5272435897435898,0.5601958525345623,110.67374810318667,107.39757207890744,3.2761760242792235,2.8333333333333335,48,12.135660091047042,0.943528235882059,1.0,0.6061251744048883,0.5591315097017843,0.7519451360635303
9,Paul George,LAC,2022,16,56.25,34.875,26.25,0.7526881720430108,9.625,21.9375,43.87464387464387,3.125,9.0,34.72222222222222,3.875,4.3125,89.85507246376811,0.5625,7.375,7.9375,5.1875,4.0,1.296875,2.0,0.4375,0.50997150997151,0.5506607929515418,106.14139784946235,104.63243727598565,1.508960573476699,2.4375,21,15.68225806451613,0.8830584707646177,0.75,0.8287009537743926,0.5286152123089469,0.7473209405893482
