,Name,S_Mins,S_GP,S_PPM,S_NETRTG,SIM
0,Stephen Curry,0.873423006636328,0.8055555555555555,0.8652933610395726,0.992851256550175,0.8932029887429244
1,Giannis Antetokounmpo,0.8086965944751723,0.7499999999999999,1.0,0.8263061890857326,0.8571591080911185
2,Donovan Mitchell,0.837206447917519,0.8333333333333334,0.8658118466320647,0.7927815212693093,0.8321642820695918
3,Kevin Durant,0.9424942494249424,0.7222222222222222,0.9167503729813905,0.694090142061195,0.8298448427767953
4,Nikola Jokic,0.8086965944751723,0.7499999999999999,0.8810201409058652,0.8464678191724655,0.8296547010173916
5,Jayson Tatum,0.9536383793590002,0.861111111111111,0.783247185388494,0.6950918297568822,0.8189837081370515
6,DeMar DeRozan,0.8789242560619699,0.8055555555555555,0.8383861426938226,0.7463349780479223,0.8186312965437006
7,Devin Booker,0.8143609815527009,0.7222222222222222,0.8486574404328106,0.7970395307616347,0.8038827968479556
8,Joel Embiid,0.8159750634154326,0.611111111111111,0.9516561329340405,0.7526252565468436,0.8023047127228081
9,Darius Garland,0.8725061317320544,0.8055555555555555,0.6336170367036426,0.8355804777725293,0.7846908481946229
10,Karl-Anthony Towns,0.8729645691841912,0.7222222222222222,0.8079507836155919,0.7044090654283739,0.7830819630735036
11,Trae Young,0.8780073811576963,0.8055555555555555,0.9119222212594534,0.5407627268866928,0.7816260316562361
12,Fred VanVleet,1.0,0.7777777777777778,0.6380236354066986,0.682501767405511,0.7742129037827317
13,LeBron James,0.9489505768758695,0.611111111111111,0.8971832984509015,0.558224085614826,0.7700462991287444
14,Rudy Gobert,0.7927380150602472,0.8055555555555555,0.5268128338375994,0.9558236342511428,0.7662292311431353
15,Anthony Edwards,0.903407294046358,0.7499999999999999,0.7034024519377281,0.6995333120425699,0.7656821511507524
16,Zach LaVine,0.8532035021683986,0.7777777777777778,0.8334376570065611,0.5953368796117896,0.7634838874623118
17,James Harden,0.959536862777187,0.7777777777777778,0.6860596195601398,0.6232675861828518,0.7598338324047831
18,Jaylen Brown,0.8781552642067727,0.5833333333333333,0.7884518448604165,0.7140205452894275,0.7588580304625916
19,Andrew Wiggins,0.7624811432192169,0.8055555555555555,0.6523995011394275,0.8166129978273423,0.754015730408433
20,Jrue Holiday,0.8204109667165065,0.6388888888888888,0.6132804720998212,0.8859323566740709,0.7510452897448275
21,Miles Bridges,0.9325614379619778,0.8888888888888887,0.6096285303714003,0.6194998371426342,0.74833699585749
22,Bojan Bogdanovic,0.7336742130872707,0.9166666666666666,0.6407252115481463,0.7413250454315465,0.7401266441686383
23,D'Angelo Russell,0.8074080135286255,0.6388888888888888,0.6300272199422396,0.826169737104963,0.7354533834769388
24,Jaren Jackson Jr.,0.6214657829419306,0.9722222222222222,0.6519362747900899,0.7798255212707104,0.7318983428224268
25,Tyler Herro,0.8165043777104983,0.7777777777777778,0.7022857574848621,0.6487301037538528,0.7316264665075309
26,Ja Morant,0.7998229575023619,0.6388888888888888,0.8551973516927799,0.5913295006861425,0.7306506970836241
27,Chris Paul,0.7893903555260389,0.9166666666666666,0.4603409594829818,0.8207670677660026,0.7275387165390481
28,Desmond Bane,0.7104637736500925,0.9722222222222222,0.6566953232556983,0.6633198099057609,0.7255666290625485
29,Mike Conley,0.6487886550892852,0.8055555555555555,0.5360370156132882,0.9428296126395597,0.7251140538635603
30,Domantas Sabonis,0.8850225403089993,0.9166666666666666,0.5978107936521828,0.5775526469594481,0.7247240980229088
31,Pascal Siakam,0.9355412814008675,0.4999999999999999,0.6420084345735274,0.7050127159703947,0.7178132102246331
32,Mikal Bridges,0.8534223401198473,0.9166666666666666,0.3640616382734637,0.816076960806184,0.7172577947438594
33,Jordan Clarkson,0.5690205384174782,0.9166666666666666,0.6434733766801719,0.818347483014209,0.7165008558078008
34,Jordan Poole,0.6965900521256057,0.7499999999999999,0.6445216669440367,0.7877444703991608,0.7162816394021502
35,Khris Middleton,0.7730521715273133,0.6666666666666666,0.6882408087716567,0.7072326975322121,0.7135729803296791
36,Bradley Beal,0.9225151086537227,0.6944444444444444,0.7413342627274485,0.487265146952736,0.7133102076029375
37,Jarrett Allen,0.8042713362245317,0.7777777777777778,0.5553521433406344,0.7390898516896183,0.7124752105325816
38,Brandon Ingram,0.8744970600956201,0.6944444444444444,0.7362673263954199,0.5358391801141046,0.7120546593717652
39,Dejounte Murray,0.8697555070192333,0.8055555555555555,0.6104355685425611,0.5966959396384129,0.7109835525640577
40,Paul George,0.9128486275200947,0.4444444444444444,0.780946682415048,0.578816109429219,0.705876845056414
41,Seth Curry,0.8871761302004326,0.8055555555555555,0.4969539298360085,0.6729355421644737,0.7054665926125878
42,Luka Doncic,0.8785132431738472,0.5277777777777777,0.8009211006720623,0.5359262549586159,0.7036920333339263
43,Jalen Brunson,0.7478111447508387,0.9166666666666666,0.5633422921855993,0.6721864109343177,0.7032795909906937
44,Jimmy Butler,0.8495842591252132,0.4444444444444444,0.7443712642753152,0.6678098489474272,0.7028580286368477
45,Russell Westbrook,0.8949070526887402,0.9444444444444443,0.5814527286882704,0.4777277707068047,0.6997210353299952
46,Patty Mills,0.7367431548349641,0.8888888888888887,0.4647101559256557,0.7655810792985068,0.6941579052331235
47,Gordon Hayward,0.8359590715942631,0.9166666666666666,0.5636585410209118,0.54507143386743,0.692521784604325
48,Damian Lillard,0.9401651763922474,0.5277777777777777,0.7397788499181911,0.4889944200770132,0.6907712009111739
49,Shai Gilgeous-Alexander,0.8908436298175273,0.7777777777777778,0.7285277361906527,0.3954692254751297,0.6891306312961879
50,LaMelo Ball,0.7806699588877808,0.7499999999999999,0.6751765548126117,0.5617721990094602,0.6853205417042423
51,De'Aaron Fox,0.8559368923905379,0.8888888888888887,0.6843436079332982,0.3898012755406939,0.6838727609489608
52,Evan Mobley,0.8628169942301356,0.7499999999999999,0.4656918978104645,0.6787977594552324,0.6824503513330067
53,Julius Randle,0.9053171550921326,0.8888888888888887,0.5919995923909214,0.42502968820480186,0.6817197579331199
54,Kyle Lowry,0.8596698830722234,0.8055555555555555,0.4126813948523402,0.6964395766295362,0.6808967878508911
55,Dennis Schroder,0.7751002372964568,0.7777777777777778,0.543909276358861,0.6661686478887793,0.6808745882964403
56,Jonas Valanciunas,0.7669984293329555,0.861111111111111,0.6476723560980467,0.5174878744792185,0.6798674936750113
57,Aaron Gordon,0.7670655177405854,0.8055555555555555,0.4783934882739933,0.7160987606416345,0.6788835783859793
58,Tobias Harris,0.8824299542253691,0.6666666666666666,0.5694032744936289,0.5831385320707055,0.6764004734198008
59,Gary Trent Jr.,0.8561690879831785,0.6388888888888888,0.5208613674906996,0.6695225440252136,0.6750405848605805
60,Bobby Portis,0.6579326237292034,0.7499999999999999,0.5911163622080997,0.7197600096984637,0.6717351704519551
61,John Collins,0.8005073234596187,0.7777777777777778,0.5823104659880287,0.5665988318776394,0.6709209596022048
62,OG Anunoby,0.9307276881534308,0.4444444444444444,0.5817657005180396,0.626759043332822,0.6687585935745279
63,Anthony Davis,0.9067361281582704,0.4722222222222222,0.7379263757982518,0.4778861950212617,0.6686927212154831
64,Monte Morris,0.6927986504944201,0.8055555555555555,0.45178529542216816,0.77270972634176,0.6665634054452403
65,Lauri Markkanen,0.7339052087026885,0.7222222222222222,0.4640249597498024,0.7681257208491117,0.6663855558556127
66,Kristaps Porzingis,0.7222696295603586,0.4999999999999999,0.7519166326979516,0.6223855701013734,0.6660458266734453
67,Tyrese Maxey,0.8858772240860451,0.7222222222222222,0.5184368498046122,0.560247897692234,0.665969748757238
68,Terry Rozier,0.8009374963470375,0.6944444444444444,0.6250438227161506,0.5418235352781362,0.6622890177916686
69,Ricky Rubio,0.6605192604821979,0.6666666666666666,0.49309638895728736,0.8251480925238989,0.6607559081798086
70,Dillon Brooks,0.6405367809508224,0.30555555555555547,0.7390350186326187,0.8130847444502425,0.6607060714227087
71,Reggie Jackson,0.7617655335378328,0.861111111111111,0.5707112118841107,0.5210327649986126,0.6579768137337214
72,Nikola Vucevic,0.8193273872841831,0.6944444444444444,0.5289714735821535,0.595711247106382,0.6556661467190733
73,Caris LeVert,0.7397367302712676,0.5833333333333333,0.6514729462171291,0.612009091310679,0.6538125570374094
74,Malcolm Brogdon,0.839193010210112,0.4722222222222222,0.6082516135420396,0.6162170144742263,0.6523024893063418
75,Kelly Oubre Jr.,0.645900499140823,0.8333333333333334,0.6547902462356433,0.5472426719579386,0.6518414678247426
76,Scottie Barnes,0.9118778187979226,0.6666666666666666,0.4315406732169116,0.601499572310225,0.6513355279038081
77,Cameron Johnson,0.5511414777841421,0.8333333333333334,0.5009904552220854,0.7909474821615834,0.6504904372217074
78,Marcus Smart,0.8560265117420833,0.7777777777777778,0.34790455119373315,0.6595732038245281,0.6470086875816292
79,Kevin Love,0.40279359631294825,0.7499999999999999,0.7375569222967413,0.7364628390102022,0.6461297178708698
80,Keldon Johnson,0.7388716144341707,0.8333333333333334,0.5244112699234933,0.5628717812632044,0.645779715264475
81,Deandre Ayton,0.7107759477246427,0.4999999999999999,0.6170155869626294,0.6953888084493586,0.6456185288396955
82,Lonzo Ball,0.8785837025260967,0.6944444444444444,0.3907363686965819,0.6366772381396061,0.6450859177725026
83,Will Barton,0.8009651087958918,0.7499999999999999,0.5044950882901189,0.563202146492939,0.6438610189628077
84,Kyle Kuzma,0.834652296398471,0.8888888888888887,0.5067334989163692,0.4393483600214121,0.6423043399019236
