,Date,Team,Location,Opponent,Result
21094,11/17/2022,LAC,H,DET,W
21141,11/16/2022,TOR,H,MIA,W
21142,11/16/2022,ATL,H,BOS,L
21143,11/16/2022,CHA,H,IND,L
21149,11/16/2022,DEN,H,NYK,L
21156,11/16/2022,DAL,H,HOU,L
21160,11/16/2022,MIL,H,CLE,W
21162,11/16/2022,WAS,H,OKC,L
21163,11/16/2022,ORL,H,MIN,L
21169,11/16/2022,NOP,H,CHI,W
21170,11/16/2022,PHX,H,GSW,W
21355,11/15/2022,POR,H,SAS,W
21356,11/15/2022,DAL,H,LAC,W
21357,11/15/2022,SAC,H,BKN,W
21360,11/15/2022,NOP,H,MEM,W
21364,11/15/2022,UTA,H,NYK,L
21457,11/14/2022,MIA,H,PHX,W
21458,11/14/2022,GSW,H,SAS,W
21460,11/14/2022,DET,H,TOR,L
21464,11/14/2022,BOS,H,OKC,W
21466,11/14/2022,ORL,H,CHA,L
21488,11/14/2022,MIL,H,ATL,L
21492,11/14/2022,HOU,H,LAC,L
21606,11/13/2022,NYK,H,OKC,L
21607,11/13/2022,CHI,H,DEN,L
21608,11/13/2022,WAS,H,MEM,W
21611,11/13/2022,LAL,H,BKN,W
21613,11/13/2022,SAC,H,GSW,W
21616,11/13/2022,PHI,H,UTA,W
21633,11/13/2022,CLE,H,MIN,L
21754,11/12/2022,PHI,H,ATL,W
21755,11/12/2022,IND,H,TOR,W
21756,11/12/2022,DAL,H,POR,W
21760,11/12/2022,DET,H,BOS,L
21762,11/12/2022,MIA,H,CHA,W
21786,11/12/2022,LAC,H,BKN,L
21805,11/12/2022,WAS,H,UTA,W
21816,11/12/2022,NOP,H,HOU,W
21922,11/11/2022,BOS,H,DEN,W
21923,11/11/2022,MEM,H,MIN,W
21924,11/11/2022,ORL,H,PHX,W
21926,11/11/2022,SAS,H,MIL,W
21930,11/11/2022,NYK,H,DET,W
21934,11/11/2022,GSW,H,CLE,W
21948,11/11/2022,LAL,H,SAC,L
21951,11/11/2022,OKC,H,TOR,W
22089,11/10/2022,WAS,H,DAL,W
22097,11/10/2022,MIA,H,CHA,W
22101,11/10/2022,NOP,H,POR,L
22119,11/10/2022,ATL,H,PHI,W
22168,11/09/2022,MIN,H,PHX,L
22170,11/09/2022,CHI,H,NOP,L
22172,11/09/2022,ORL,H,DAL,W
22173,11/09/2022,ATL,H,UTA,L
22174,11/09/2022,SAS,H,MEM,L
22176,11/09/2022,SAC,H,CLE,W
22178,11/09/2022,OKC,H,MIL,L
22183,11/09/2022,CHA,H,POR,L
22190,11/09/2022,BKN,H,NYK,W
22205,11/09/2022,TOR,H,HOU,W
22207,11/09/2022,LAC,H,LAL,W
22213,11/09/2022,BOS,H,DET,W
22227,11/09/2022,IND,H,DEN,L
22442,11/07/2022,GSW,H,SAC,W
22444,11/07/2022,MIA,H,POR,L
22445,11/07/2022,ATL,H,MIL,W
22450,11/07/2022,PHI,H,PHX,W
22452,11/07/2022,DAL,H,BKN,W
22455,11/07/2022,CHA,H,WAS,L
22459,11/07/2022,CHI,H,TOR,W
22460,11/07/2022,IND,H,NOP,W
22461,11/07/2022,LAC,H,CLE,W
22462,11/07/2022,ORL,H,HOU,L
22465,11/07/2022,MIN,H,NYK,L
22473,11/07/2022,DET,H,OKC,W
22475,11/07/2022,MEM,H,BOS,L
22486,11/07/2022,UTA,H,LAL,W
22488,11/07/2022,SAS,H,DEN,L
22764,11/06/2022,MEM,H,WAS,W
22768,11/06/2022,LAC,H,UTA,L
22773,11/06/2022,LAL,H,CLE,L
22778,11/06/2022,TOR,H,CHI,W
22844,11/05/2022,DEN,H,SAS,W
22846,11/05/2022,PHX,H,POR,W
22848,11/05/2022,NYK,H,BOS,L
22850,11/05/2022,MIN,H,HOU,W
22852,11/05/2022,MIL,H,OKC,W
22858,11/05/2022,CHA,H,BKN,L
22859,11/05/2022,ATL,H,NOP,W
22860,11/05/2022,ORL,H,SAC,L
23017,11/04/2022,LAL,H,UTA,L
23019,11/04/2022,DET,H,CLE,L
23023,11/04/2022,MEM,H,CHA,W
23025,11/04/2022,PHX,H,POR,L
23027,11/04/2022,SAS,H,LAC,L
23031,11/04/2022,WAS,H,BKN,L
23033,11/04/2022,NOP,H,GSW,W
23053,11/04/2022,IND,H,MIA,W
23054,11/04/2022,DAL,H,TOR,W
23067,11/04/2022,PHI,H,NYK,L
23071,11/04/2022,MIN,H,MIL,L
23079,11/04/2022,BOS,H,CHI,W
23277,11/03/2022,ORL,H,GSW,W
23282,11/03/2022,OKC,H,DEN,L
23316,11/02/2022,SAS,H,TOR,L
23317,11/02/2022,MIL,H,DET,W
23319,11/02/2022,DAL,H,UTA,W
23322,11/02/2022,NYK,H,ATL,L
23328,11/02/2022,PHI,H,WAS,L
23330,11/02/2022,CHI,H,CHA,W
23332,11/02/2022,HOU,H,LAC,L
23343,11/02/2022,CLE,H,BOS,W
23349,11/02/2022,LAL,H,NOP,W
23368,11/02/2022,POR,H,MEM,L
23393,11/02/2022,MIA,H,SAC,W
23547,11/01/2022,MIA,H,GSW,W
23548,11/01/2022,PHX,H,MIN,W
23556,11/01/2022,OKC,H,ORL,W
23564,11/01/2022,BKN,H,CHI,L
23629,10/31/2022,UTA,H,MEM,W
23630,10/31/2022,BKN,H,IND,W
23631,10/31/2022,TOR,H,ATL,W
23634,10/31/2022,LAC,H,HOU,W
23639,10/31/2022,WAS,H,PHI,L
23681,10/31/2022,CHA,H,SAC,L
23689,10/31/2022,MIL,H,DET,W
23789,10/30/2022,BOS,H,WAS,W
23790,10/30/2022,LAL,H,DEN,W
23803,10/30/2022,SAS,H,MIN,W
23807,10/30/2022,CLE,H,NYK,W
23815,10/30/2022,LAC,H,NOP,L
23818,10/30/2022,DET,H,GSW,W
23822,10/30/2022,PHX,H,HOU,W
23826,10/30/2022,DAL,H,ORL,W
23972,10/29/2022,CHA,H,GSW,W
23976,10/29/2022,BKN,H,IND,L
23980,10/29/2022,CHI,H,PHI,L
23982,10/29/2022,MIL,H,ATL,W
23987,10/29/2022,DAL,H,OKC,L
23997,10/29/2022,SAC,H,MIA,W
24007,10/29/2022,UTA,H,MEM,W
24117,10/28/2022,MIL,H,NYK,W
24120,10/28/2022,TOR,H,PHI,L
24122,10/28/2022,DET,H,ATL,L
24124,10/28/2022,BOS,H,CLE,L
24125,10/28/2022,MIN,H,LAL,W
24134,10/28/2022,POR,H,HOU,W
24135,10/28/2022,SAS,H,CHI,W
24140,10/28/2022,PHX,H,NOP,W
24155,10/28/2022,DEN,H,UTA,W
24156,10/28/2022,ORL,H,CHA,W
24165,10/28/2022,WAS,H,IND,L
24370,10/27/2022,OKC,H,LAC,W
24375,10/27/2022,GSW,H,MIA,W
24376,10/27/2022,SAC,H,MEM,L
24377,10/27/2022,BKN,H,DAL,L
24457,10/26/2022,POR,H,MIA,L
24458,10/26/2022,TOR,H,PHI,W
24459,10/26/2022,NYK,H,CHA,W
24462,10/26/2022,UTA,H,HOU,W
24466,10/26/2022,DEN,H,LAL,W
24476,10/26/2022,CHI,H,IND,W
24480,10/26/2022,DET,H,ATL,L
24485,10/26/2022,MIL,H,BKN,W
24491,10/26/2022,MIN,H,SAS,W
24494,10/26/2022,CLE,H,ORL,W
24675,10/25/2022,PHX,H,GSW,W
24679,10/25/2022,WAS,H,DET,W
24682,10/25/2022,OKC,H,LAC,W
24691,10/25/2022,NOP,H,DAL,W
24763,10/24/2022,POR,H,DEN,W
24767,10/24/2022,MIN,H,SAS,L
24769,10/24/2022,MIA,H,TOR,L
24770,10/24/2022,HOU,H,UTA,W
24773,10/24/2022,MEM,H,BKN,W
24785,10/24/2022,NYK,H,ORL,W
24796,10/24/2022,CHI,H,BOS,W
24809,10/24/2022,PHI,H,IND,W
24947,10/23/2022,GSW,H,SAC,W
24950,10/23/2022,LAC,H,PHX,L
24951,10/23/2022,CLE,H,WAS,W
24953,10/23/2022,LAL,H,POR,L
24956,10/23/2022,NOP,H,UTA,L
24958,10/23/2022,OKC,H,MIN,L
24968,10/23/2022,ATL,H,CHA,L
25113,10/22/2022,DEN,H,OKC,W
25114,10/22/2022,PHI,H,SAS,L
25115,10/22/2022,CHI,H,CLE,L
25117,10/22/2022,SAC,H,LAC,L
25120,10/22/2022,MIL,H,HOU,W
25122,10/22/2022,MIA,H,TOR,W
25127,10/22/2022,IND,H,DET,W
25128,10/22/2022,DAL,H,MEM,W
25189,10/22/2022,ORL,H,BOS,L
25315,10/21/2022,NYK,H,DET,W
25317,10/21/2022,BKN,H,TOR,W
25318,10/21/2022,HOU,H,MEM,L
25324,10/21/2022,WAS,H,CHI,W
25325,10/21/2022,POR,H,PHX,W
25326,10/21/2022,GSW,H,DEN,L
25327,10/21/2022,IND,H,SAS,L
25330,10/21/2022,MIN,H,UTA,L
25332,10/21/2022,CHA,H,NOP,L
25333,10/21/2022,ATL,H,ORL,W
25349,10/21/2022,MIA,H,BOS,L
25544,10/20/2022,PHI,H,MIL,L
25547,10/20/2022,LAL,H,LAC,L
25586,10/19/2022,BKN,H,NOP,L
25587,10/19/2022,PHX,H,DAL,W
25589,10/19/2022,IND,H,WAS,L
25590,10/19/2022,DET,H,ORL,W
25595,10/19/2022,MIN,H,OKC,W
25605,10/19/2022,SAS,H,CHA,L
25608,10/19/2022,SAC,H,POR,L
25614,10/19/2022,ATL,H,HOU,W
25616,10/19/2022,TOR,H,CLE,W
25624,10/19/2022,MIA,H,CHI,L
25630,10/19/2022,UTA,H,DEN,W
25635,10/19/2022,MEM,H,NYK,W
25849,10/18/2022,BOS,H,PHI,W
25850,10/18/2022,GSW,H,LAL,W
