,Name,Team,Season,GP,Win%,Mins,Points,PPM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Plusminus
180,Caris LeVert,CLE,2022-2023,67,59.70149253731343,30.01492537313433,11.925373134328359,0.39731476877175537,4.2835820895522385,10.149253731343284,42.205882352941174,1.6119402985074627,4.2835820895522385,37.63066202090592,1.7462686567164178,2.417910447761194,72.22222222222221,0.7611940298507462,3.1492537313432836,3.91044776119403,3.970149253731343,0.9552238805970149,0.29850746268656714,1.5970149253731343,2.2238805970149254,202
181,Al Horford,BOS,2022-2023,56,69.64285714285714,30.946428571428573,9.857142857142858,0.31852279284477786,3.6607142857142856,7.535714285714286,48.5781990521327,2.267857142857143,4.964285714285714,45.68345323741007,0.26785714285714285,0.375,71.42857142857143,1.1785714285714286,5.0,6.178571428571429,2.9642857142857144,0.48214285714285715,0.9285714285714286,0.5535714285714286,1.9285714285714286,225
182,Darius Garland,CLE,2022-2023,62,56.451612903225815,35.225806451612904,21.93548387096774,0.6227106227106227,7.629032258064516,16.241935483870968,46.971201588877854,2.564516129032258,6.161290322580645,41.62303664921466,4.112903225806452,4.82258064516129,85.28428093645485,0.41935483870967744,2.306451612903226,2.725806451612903,7.838709677419355,1.2741935483870968,0.11290322580645161,2.8870967741935485,2.129032258064516,392
183,Donovan Mitchell,CLE,2022-2023,61,63.934426229508205,35.557377049180324,27.360655737704917,0.7694790225910558,9.672131147540984,20.262295081967213,47.73462783171521,3.5081967213114753,9.327868852459016,37.609841827768015,4.508196721311475,5.147540983606557,87.57961783439491,0.9508196721311475,3.19672131147541,4.147540983606557,4.60655737704918,1.5245901639344261,0.3770491803278688,2.639344262295082,2.4262295081967213,272
184,Marcus Smart,BOS,2022-2023,54,70.37037037037037,32.55555555555556,11.333333333333334,0.34812286689419797,4.018518518518518,9.722222222222221,41.333333333333336,1.8148148148148149,5.425925925925926,33.44709897610921,1.4814814814814814,1.962962962962963,75.47169811320755,0.7407407407407407,2.5,3.240740740740741,6.425925925925926,1.5185185185185186,0.3888888888888889,2.462962962962963,2.8333333333333335,162
185,Anthony Edwards,MIN,2022-2023,71,49.29577464788733,36.08450704225352,24.718309859154928,0.6850117096018735,8.95774647887324,19.43661971830986,46.08695652173913,2.7183098591549295,7.323943661971831,37.11538461538461,4.084507042253521,5.323943661971831,76.71957671957672,0.5492957746478874,5.323943661971831,5.873239436619718,4.436619718309859,1.6056338028169015,0.7183098591549296,3.3380281690140845,2.4225352112676055,71
186,Ricky Rubio,CLE,2022-2023,24,70.83333333333334,17.083333333333332,5.666666666666667,0.33170731707317075,2.0,5.5,36.36363636363637,0.75,2.6666666666666665,28.125,0.9166666666666666,1.2083333333333333,75.86206896551724,0.2916666666666667,2.125,2.4166666666666665,3.4583333333333335,0.9166666666666666,0.20833333333333334,1.0,1.4583333333333333,71
187,Jeremy Sochan,SAS,2022-2023,55,27.27272727272727,26.036363636363635,10.927272727272728,0.4196927374301676,4.4363636363636365,9.781818181818181,45.353159851301115,0.6,2.3454545454545452,25.581395348837212,1.4545454545454546,2.0727272727272728,70.17543859649122,1.709090909090909,3.5454545454545454,5.254545454545455,2.5272727272727273,0.7636363636363637,0.41818181818181815,1.7454545454545454,2.4727272727272727,-212
188,Kevin Knox II,POR,2022-2023,52,19.230769230769234,12.48076923076923,5.0,0.40061633281972264,1.7884615384615385,3.75,47.69230769230769,0.8846153846153846,2.3846153846153846,37.096774193548384,0.5384615384615384,0.6730769230769231,80.0,0.4423076923076923,1.8653846153846154,2.3076923076923075,0.3269230769230769,0.3076923076923077,0.23076923076923078,0.6153846153846154,1.5576923076923077,-100
189,Mamadi Diakite,CLE,2022-2023,18,72.22222222222221,6.666666666666667,1.6666666666666667,0.25,0.7222222222222222,1.8333333333333333,39.39393939393939,0.2222222222222222,0.8333333333333334,26.666666666666668,0.0,0.0,,0.2777777777777778,0.7222222222222222,1.0,0.2222222222222222,0.1111111111111111,0.3888888888888889,0.4444444444444444,1.0,2
190,Raul Neto,CLE,2022-2023,45,66.66666666666666,9.955555555555556,3.022222222222222,0.30357142857142855,1.1111111111111112,2.088888888888889,53.191489361702125,0.26666666666666666,0.8222222222222222,32.432432432432435,0.5333333333333333,0.6,88.88888888888889,0.15555555555555556,0.7333333333333333,0.8888888888888888,1.4,0.35555555555555557,0.06666666666666667,0.35555555555555557,0.8888888888888888,27
