,Name,Team,Location,Opponent,Date,Result,Mins,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
0,Hilton Armstrong,GSW,A,DEN,2014-04-16,W,32,108.7,91.3,17.4,7.7,1.0,15.4,5.6,21.6,13.7,15.4,50.0,55.1,13.9,104.84,7.8
1,Alec Burks,UTA,A,MIN,2014-04-16,W,38,106.5,106.5,0.0,14.3,2.0,21.1,2.6,7.1,4.9,10.5,42.3,42.3,16.5,98.08,1.9
2,Avery Bradley,BOS,H,WAS,2014-04-16,L,37,97.3,118.7,-21.4,14.3,0.6,11.5,4.8,10.0,6.9,19.2,47.2,48.8,26.7,97.0,3.5
3,Dante Cunningham,MIN,H,UTA,2014-04-16,L,26,122.2,105.4,16.9,7.7,0.5,6.3,11.5,0.0,5.8,12.5,50.0,50.5,22.7,101.8,7.3
4,Kyle Lowry,TOR,A,NYK,2014-04-16,L,26,88.7,111.8,-23.1,50.0,1.25,20.0,0.0,11.5,6.1,16.0,63.3,64.0,32.8,94.55,18.1
5,Andrew Nicholson,ORL,H,IND,2014-04-16,L,33,95.2,106.5,-11.2,5.6,1.0,9.1,0.0,10.0,5.1,9.1,50.0,56.3,13.9,90.59,7.9
6,Lavoy Allen,IND,A,ORL,2014-04-16,W,28,111.5,105.8,5.8,16.7,3.0,18.8,16.7,19.4,18.0,6.3,50.0,50.0,20.3,89.3,16.3
7,Jordan Crawford,GSW,A,DEN,2014-04-16,W,41,106.5,109.8,-3.3,14.3,1.0,8.1,2.0,9.3,5.4,8.1,60.7,65.0,32.4,107.1,20.8
8,Jonas Jerebko,DET,A,OKC,2014-04-16,L,25,108.2,123.4,-15.2,0.0,0.0,0.0,3.8,11.5,7.7,40.0,83.3,83.3,8.6,92.1,4.8
9,Victor Claver,POR,H,LAC,2014-04-16,W,23,100.0,97.9,2.1,28.6,4.0,26.7,12.5,7.1,10.0,6.7,50.0,58.1,18.0,100.34,21.8
10,Willie Green,LAC,A,POR,2014-04-16,L,23,86.7,114.9,-28.2,0.0,0.0,0.0,3.6,9.7,6.8,0.0,43.8,45.0,18.0,95.24,2.0
11,Anthony Bennett,CLE,H,BKN,2014-04-16,W,15,133.3,100.0,33.3,0.0,0.0,0.0,7.1,31.6,21.2,12.5,50.0,50.9,22.9,97.68,12.0
12,Patty Mills,SAS,H,LAL,2014-04-16,L,14,120.0,106.5,13.5,9.1,1.0,9.1,0.0,13.3,7.1,9.1,50.0,50.0,30.3,103.22,8.3
13,Gerald Green,PHX,A,SAC,2014-04-16,W,17,80.6,105.6,-25.0,0.0,0.0,0.0,0.0,21.4,8.8,0.0,54.5,54.5,29.7,103.58,14.2
14,Kentavious Caldwell-Pope,DET,A,OKC,2014-04-16,L,44,119.1,113.6,5.5,0.0,0.0,0.0,7.0,6.0,6.5,0.0,71.1,70.8,20.2,97.45,14.7
15,Mike Conley,MEM,H,DAL,2014-04-16,W,42,110.4,104.1,6.3,18.5,1.67,18.5,0.0,10.8,5.1,11.1,53.1,57.7,23.2,87.01,11.9
16,Tyler Hansbrough,TOR,A,NYK,2014-04-16,L,28,112.5,105.5,7.0,0.0,0.0,0.0,10.7,23.1,16.7,9.1,50.0,53.9,15.9,94.8,12.4
17,DeMar DeRozan,TOR,A,NYK,2014-04-16,L,22,73.8,97.7,-23.9,10.0,0.33,8.3,9.1,13.0,11.1,25.0,40.0,58.9,22.4,93.51,13.6
18,Quincy Acy,SAC,H,PHX,2014-04-16,L,25,100.0,124.5,-24.5,7.7,0.5,9.1,16.1,14.3,15.4,18.2,50.0,54.9,15.6,94.27,8.7
19,Jose Calderon,DAL,A,MEM,2014-04-16,L,27,114.6,133.3,-18.8,26.3,5.0,35.7,4.0,3.7,3.8,7.1,56.3,56.3,16.1,83.98,7.0
20,Corey Brewer,MIN,H,UTA,2014-04-16,L,31,87.3,122.2,-34.9,7.1,1.0,8.3,2.7,3.1,2.9,8.3,50.0,53.9,15.7,98.66,7.0
21,Jeff Teague,ATL,A,MIL,2014-04-16,W,20,125.6,102.6,23.1,13.3,1.0,15.4,0.0,0.0,0.0,15.4,62.5,61.9,26.8,95.59,7.2
22,Carlos Boozer,CHI,A,CHA,2014-04-16,L,24,95.5,74.4,21.0,0.0,0.0,0.0,0.0,36.7,21.2,0.0,58.3,58.3,26.1,87.0,25.9
23,Dion Waiters,CLE,H,BKN,2014-04-16,W,27,120.8,94.3,26.4,11.1,1.0,11.1,3.7,3.7,3.7,11.1,66.7,69.0,25.4,94.63,14.0
24,Melvin Ely,NOP,H,HOU,2014-04-16,W,17,125.8,156.3,-30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,66.7,8.3,86.73,-0.6
25,Thaddeus Young,PHI,A,MIA,2014-04-16,W,30,93.2,93.2,0.0,16.7,0.67,8.7,10.3,22.2,16.1,13.0,52.9,55.9,31.3,93.38,19.1
26,Shawn Marion,DAL,A,MEM,2014-04-16,L,32,101.8,134.5,-32.7,5.0,0.0,11.1,10.0,6.7,8.3,0.0,56.3,56.3,11.9,84.63,8.0
27,Nick Collison,OKC,H,DET,2014-04-16,W,15,103.3,136.7,-33.3,22.2,2.0,33.3,25.0,0.0,11.5,16.7,66.7,66.7,11.8,94.32,3.8
28,Jorge Gutierrez,BKN,A,CLE,2014-04-16,L,33,85.5,122.1,-36.6,11.8,2.0,13.3,0.0,0.0,0.0,6.7,54.5,54.7,17.3,99.14,0.7
29,Nicolas Batum,POR,H,LAC,2014-04-16,W,12,137.0,107.4,29.6,33.3,2.0,30.8,7.1,20.0,13.8,15.4,50.0,50.9,26.5,108.0,11.9
30,Harrison Barnes,GSW,A,DEN,2014-04-16,W,48,108.4,104.7,3.7,9.1,1.0,9.4,1.8,7.8,4.7,9.4,59.5,57.1,24.0,107.0,9.3
31,Brandon Davies,PHI,A,MIA,2014-04-16,W,19,126.3,82.1,44.3,7.1,1.0,11.1,0.0,4.8,3.4,11.1,75.0,79.9,20.5,96.31,15.4
32,Jonas Valanciunas,TOR,A,NYK,2014-04-16,L,16,71.0,96.7,-25.7,16.7,1.0,12.5,6.3,26.3,17.1,12.5,66.7,66.7,18.4,93.25,28.2
33,Giannis Antetokounmpo,MIL,H,ATL,2014-04-16,L,26,111.3,105.8,5.6,14.3,3.0,30.0,3.8,19.0,10.6,10.0,83.3,83.3,11.1,96.0,9.5
34,Shane Battier,MIA,H,PHI,2014-04-16,L,40,91.1,100.0,-8.9,4.8,0.33,10.0,2.4,0.0,1.3,30.0,75.0,75.0,10.0,94.03,4.7
35,Andray Blatche,BKN,A,CLE,2014-04-16,L,39,86.8,134.2,-47.4,20.0,1.5,12.5,2.5,37.9,17.4,8.3,47.2,51.8,25.3,92.9,12.9
