,Name,S_Mins,S_GP,S_PPM,S_NETRTG,SIM
0,James Harden,0.9615949079036326,0.7391304347826088,0.9999999999999999,0.8384139828559949,0.9012923296672267
1,Stephen Curry,0.853771468395276,0.6086956521739131,0.9530571482997704,0.9444635975406469,0.8662111155709635
2,Russell Westbrook,0.9660801741338649,0.9565217391304347,0.778425568556609,0.7638331624153669,0.8559804155443141
3,Kevin Durant,0.9187979926234957,0.7608695652173914,0.8330427894382973,0.8402583543928055,0.8470110712407328
4,Giannis Antetokounmpo,1.0,0.8260869565217391,0.8507995848462439,0.6959921553646944,0.8451613821847981
5,DeMar DeRozan,0.8994265302990132,0.9130434782608695,0.7895174992209777,0.7841281760466422,0.838990604462423
6,Kyrie Irving,0.8512153092690005,0.8260869565217391,0.8462664597641015,0.7796610943084528,0.8257757781228197
7,Jimmy Butler,0.9946961726827497,0.8695652173913043,0.635459222036561,0.8205930931614849,0.8256032566630533
8,Anthony Davis,0.9768058107713782,0.782608695652174,0.8319056247629942,0.6761610639210305,0.8207532804643625
9,Victor Oladipo,0.9032750049049185,0.8478260869565218,0.7722290692528408,0.7596763782695818,0.8176831969401027
10,Bradley Beal,0.9627593520210969,0.9130434782608695,0.7195702955406406,0.6876984704909177,0.8103100001043658
11,Klay Thompson,0.895156901868311,0.9130434782608695,0.6273518159907477,0.8431576825259555,0.8090959886868724
12,Karl-Anthony Towns,0.9314995724391695,1.0,0.5917349622867596,0.7816977971147444,0.8065394990289874
13,Damian Lillard,0.9768058107713782,0.782608695652174,0.7652092328274448,0.6761094917474932,0.8021750971206667
14,Kemba Walker,0.9243896245238525,0.8695652173913043,0.7045420899874726,0.7349157477677588,0.8014158045372435
15,LeBron James,0.9918374750589514,0.891304347826087,0.7938403117656834,0.5611086884580215,0.8002541196783104
16,DeMarcus Cousins,0.9683928895338285,0.8260869565217391,0.7699757998916055,0.6336705302703668,0.7965219306414182
17,Joel Embiid,0.7998730273898058,0.6521739130434783,0.8382508144552862,0.823947790188997,0.792885299901662
18,LaMarcus Aldridge,0.8901756686991584,0.9130434782608695,0.7174193524123282,0.6862434186986044,0.7891038729935188
19,Eric Gordon,0.8213468359120222,0.8043478260869564,0.6279625958828452,0.8943472546402611,0.7850351690287919
20,Paul George,0.9795029929258119,0.891304347826087,0.6321242462169575,0.675989190554523,0.7837851236570508
21,Andrew Wiggins,0.9618952605529785,1.0,0.4971546618682662,0.7528917849721963,0.7806571085578411
22,Lou Williams,0.8311409395973155,0.8695652173913043,0.8032170520730497,0.6301664633342188,0.773770900845841
23,CJ McCollum,0.9627593520210969,0.9130434782608695,0.6504966588381857,0.5837797621911849,0.7621604640787569
24,Jrue Holiday,0.9940699605129133,0.9130434782608695,0.5007659183310023,0.6967337369257526,0.7606390503022677
25,Khris Middleton,0.9940699605129133,0.9130434782608695,0.5632836186376629,0.6265575476900814,0.7585074375503599
26,Chris Paul,0.810777830912059,0.5,0.6392994587832614,0.928093004998173,0.7444240653563556
27,Kristaps Porzingis,0.8410295201670326,0.8043478260869564,0.7750821060896159,0.5800776215832779,0.7439900652864607
28,Carmelo Anthony,0.8391280985937184,0.9347826086956522,0.541026940617172,0.7261343967012894,0.7404896900970059
