,Name,S_Mins,S_GP,S_PPM,S_NETRTG,SIM
0,Damian Lillard,0.9292549555707451,1.0,0.911865402241068,0.3918756104536479,0.78651721116722
1,DeMarcus Cousins,0.8472317156527681,1.0,0.8281483893194216,0.39222615890087914,0.7404837434446708
2,Rodney Hood,0.8028024606971974,1.0,0.5021964148221739,0.6582297834398755,0.711431976743657
3,Lou Williams,0.4439507860560492,1.0,0.7347093356338349,0.7558222813108726,0.7034309355018773
4,Russell Westbrook,0.8759398496240601,0.0,0.9999999999999999,0.6366618818707208,0.6993408152660472
5,CJ McCollum,0.8745727956254273,1.0,0.639038414076935,0.3857502525079829,0.6936556069818794
6,Stephen Curry,0.8082706766917293,0.0,0.8820308160680795,0.7258334936147106,0.6724909045409079
7,Kevin Durant,0.9022556390977444,0.0,0.8246993927528082,0.6608276697482913,0.6645995186116782
8,Blake Griffin,0.8045112781954887,0.0,0.6119871705079717,0.9196768770187482,0.6502354656593481
9,Chris Paul,0.7218045112781956,0.0,0.6189968765751769,0.9608645182769795,0.6406303438729479
10,T.J. Warren,0.9326725905673273,1.0,0.5300462249614791,0.23718813504868647,0.6381407679107356
11,Rudy Gobert,0.7241968557758031,1.0,0.23741954387904404,0.72199717769584,0.6336057790292745
12,Eric Bledsoe,0.8301435406698564,1.0,0.5255576641523408,0.278803558061568,0.619937159002648
13,Jimmy Butler,0.8646616541353384,0.0,0.7275476753536841,0.6017913770917804,0.6106635299983234
14,Joe Johnson,0.5635680109364319,1.0,0.331761590283143,0.6737363176111172,0.6017233474078759
15,Maurice Harkless,0.7310321257689679,1.0,0.3104843282038968,0.5234688269856114,0.6005875698667759
16,Kawhi Leonard,0.8421052631578948,0.0,0.7929836738704572,0.5109371086264539,0.5973105827072542
17,Jordan Clarkson,0.5704032809295969,1.0,0.5565568728912921,0.4144420353069894,0.5940236093072595
18,Anthony Davis,1.0,0.0,0.870075074846341,0.23590388831687298,0.5861641447470944
19,Julius Randle,0.6319207108680792,1.0,0.455700584287285,0.35020021874024293,0.565193654700944
20,Rudy Gay,0.8872180451127821,0.0,0.6387772163538915,0.4763462304594454,0.5573183819194365
