,Name,S_Mins,S_GP,S_PPM,S_NETRTG,SIM
0,Kevin Durant,0.8836927596762835,0.9210526315789473,0.8351130247093264,0.9268815408742824,0.8883566564078629
1,James Harden,0.9704922345822128,1.0,0.860819108779598,0.7484712725482299,0.8830394947616279
2,Stephen Curry,0.8561116181173897,0.9210526315789473,0.79903977808839,0.9609962154894873,0.8801347694657089
3,Russell Westbrook,0.89829454050158,0.9210526315789473,1.0,0.6903180499752909,0.8724708552265886
4,Klay Thompson,0.8847620820094492,0.8947368421052633,0.6487528910154796,0.9353227585823443,0.834791414244726
5,LeBron James,1.0,0.7894736842105263,0.736429810272196,0.7494016701119721,0.822152919934997
6,Kawhi Leonard,0.8606820942293728,0.8157894736842106,0.8303535339101038,0.7753867178576557,0.8210928161270965
7,DeMar DeRozan,0.9254147672616951,0.8947368421052633,0.8705956885414752,0.6224494263433328,0.8207695794781451
8,Kyle Lowry,0.9934457915613727,0.8947368421052633,0.6253950427149995,0.7602477143178674,0.8098112249727651
9,Isaiah Thomas,0.8822731420960462,0.7894736842105263,0.9430553204109269,0.5901709981117209,0.8025771744336065
10,Anthony Davis,0.9586208680575817,0.8157894736842106,0.8700325392118615,0.5361753407565962,0.7928159313584757
11,DeMarcus Cousins,0.8909747847390282,0.868421052631579,0.9000835862651055,0.5402592973650264,0.7921728913802935
12,Jimmy Butler,0.9727046256163489,0.8947368421052633,0.7164494597642692,0.619817832085225,0.7902954293086948
13,Kyrie Irving,0.9125334115695228,0.736842105263158,0.7553293619676869,0.7344931180636247,0.7902346705306533
14,Kemba Walker,0.8648505627022264,0.8947368421052633,0.7319884957509326,0.6884117925334619,0.7836930658053113
15,John Wall,0.9614368666285408,0.868421052631579,0.6730874223715275,0.6583903186591326,0.7814840394826882
16,Giannis Antetokounmpo,0.9079535996521638,0.868421052631579,0.7280654933702675,0.6249570523409201,0.7725945008103433
17,Kevin Love,0.7972561945277076,0.736842105263158,0.6827354281208384,0.8239681636974384,0.7628477545680533
18,Bradley Beal,0.889173373888488,0.8157894736842106,0.6728584905718935,0.6903157929299689,0.7615086944648756
19,Damian Lillard,0.9301295883984665,0.8157894736842106,0.8055460984484633,0.5101925871592061,0.7597052660896026
20,Gordon Hayward,0.9060010359371532,0.7894736842105263,0.6591243798041939,0.6778259901544579,0.7545512992024026
21,Karl-Anthony Towns,0.9534568236193671,0.9210526315789473,0.6532782782133615,0.5536186580442334,0.7532721473762807
22,Andrew Wiggins,0.9826603852699604,0.9210526315789473,0.6204721013623258,0.5564938118540345,0.7530696706225521
23,CJ McCollum,0.895367130336122,0.9473684210526316,0.729460052634286,0.5054993474571239,0.749256673776014
24,Chris Paul,0.7605916352185745,0.6842105263157894,0.583210326649785,0.9229772221508589,0.7438149430607877
25,Blake Griffin,0.8555708114201567,0.4473684210526316,0.6567662912693624,0.8843008155701342,0.7408800100559543
26,Eric Gordon,0.7485557470383027,0.9473684210526316,0.5885786446808925,0.7428948299149292,0.7352572561618489
27,Paul George,0.9244505833312778,0.7105263157894737,0.6617441530664936,0.599390300145776,0.7255580106098839
28,LaMarcus Aldridge,0.8108223548259209,0.8157894736842106,0.5576129819242728,0.7485105768579409,0.7238218757788255
29,Marc Gasol,0.8772952622692406,0.8947368421052633,0.613946499956509,0.5759317845668811,0.7229948828046506
30,Carmelo Anthony,0.85448919802569,0.9210526315789473,0.7231732035280978,0.47390514483880564,0.7229933179564648
31,Paul Millsap,0.8731470290802358,0.8421052631578947,0.5325517911800524,0.6806814195162597,0.7196565351588584
32,Jabari Parker,0.8797842021826433,0.8947368421052633,0.6296017872686743,0.5381573743960204,0.7175311485515441
33,JJ Redick,0.6574389032519906,0.8947368421052633,0.5743169588222727,0.7992851125589413,0.7129379835536104
34,Draymond Green,0.8502256289475029,0.868421052631579,0.26376820319455496,0.9146588676001175,0.707931141779116
35,Trevor Ariza,0.8929202739478249,1.0,0.317616787122127,0.7377609465672735,0.7072762787923611
36,Harrison Barnes,0.9362001735531075,0.8947368421052633,0.5812396740753272,0.4815022475581983,0.7040037954409812
37,Devin Booker,0.8922289017496575,0.8947368421052633,0.62533753804261,0.47798283629381877,0.7030594607913292
38,Rudy Gobert,0.8482929340584545,0.9736842105263157,0.3506603429746609,0.7383844773391072,0.6998835697037774
39,Eric Bledsoe,0.8423210473379431,0.9210526315789473,0.6635412656904687,0.4510781519201267,0.6966554469545362
40,Zach LaVine,0.9870061533727271,0.8421052631578947,0.5218711643822043,0.488667354091736,0.6949306354183751
41,Ryan Anderson,0.7336189011940683,0.9210526315789473,0.4363311279594014,0.7802260014377111,0.6947726793917383
42,Lou Williams,0.516468112045647,1.0,0.8083296332293266,0.5761486443472009,0.6940967451115052
43,DeAndre Jordan,0.8009148154231834,0.9736842105263157,0.35708581707223347,0.7340753296811715,0.6872857042093259
44,Otto Porter Jr.,0.8609788783924884,0.9210526315789473,0.39978983342976987,0.640953106036605,0.6812862568479099
45,Nicolas Batum,0.8931375623529635,0.8421052631578947,0.40430962748282023,0.6482527093382576,0.6805005070244942
46,George Hill,0.782679473966985,0.34210526315789475,0.5890419800898687,0.86825017620137,0.679906138842925
47,Dennis Schroder,0.7506543121569146,0.9210526315789473,0.5903956273843964,0.5125862372038419,0.6679024200712605
48,Danilo Gallinari,0.878622696889722,0.7894736842105263,0.48680260649489876,0.5656232550296549,0.6677383399867103
49,Kristaps Porzingis,0.8619148899838539,0.763157894736842,0.5777137114319717,0.5022426800246752,0.666408559299185
50,Victor Oladipo,0.8660489411790501,0.6842105263157894,0.47309531946386446,0.6488462354821823,0.6662187582635904
51,Joel Embiid,0.55434148106126,0.5263157894736843,0.8670780422687212,0.6531389509565579,0.6642608806062447
52,Dwyane Wade,0.7476073280822589,0.8157894736842106,0.6469851515595051,0.5058411104022507,0.6635592790534788
53,Tobias Harris,0.831881126747876,0.9473684210526316,0.5101951885257048,0.47886822105332305,0.6631453520846725
54,Markieff Morris,0.796819538402549,0.8947368421052633,0.41723268604509406,0.6357056378468618,0.6624808506193389
55,Avery Bradley,0.9076234560288526,0.6842105263157894,0.5062778609424801,0.5594445793294694,0.6621426779791618
56,Derrick Rose,0.8108223548259209,0.8157894736842106,0.5780952393111058,0.5043468249466492,0.6615638598028513
