,Name,S_Mins,S_GP,S_PPM,S_NETRTG,SIM
0,Stephen Curry,0.8305547064218025,0.8666666666666666,0.8800449256180545,0.9154083572843874,0.8739055570285812
1,Russell Westbrook,0.9128083335292873,0.8666666666666666,1.0,0.7002936874027482,0.8703133958260831
2,Kevin Durant,0.864697721447551,0.8666666666666666,0.8628640715336924,0.8512499848259802,0.8607692781563439
3,James Harden,0.951607214240365,0.8666666666666666,0.8681477211989403,0.6965332570855984,0.8433668802527649
4,DeMar DeRozan,0.9221200648999458,0.8666666666666666,0.8772248181160356,0.6599241606516886,0.8274965504875014
5,Klay Thompson,0.8429703482493472,0.8666666666666666,0.714375875774405,0.8661967056562325,0.8175527820942624
6,Anthony Davis,0.9999999999999999,0.7999999999999999,0.9427792727205706,0.4899305260356998,0.8091042273204953
7,DeMarcus Cousins,0.8718226068144944,0.7999999999999999,0.9568033356214816,0.6023924957358966,0.8086334652911712
8,Jimmy Butler,0.9351000540832882,0.7999999999999999,0.7752094890981809,0.7134359977720925,0.8066091755654079
9,Blake Griffin,0.8166576527852892,0.7999999999999999,0.6802010904392335,0.9053378470727323,0.8006113842994026
10,Kyle Lowry,0.9733345874385683,0.8666666666666666,0.6031718060881881,0.776262965786775,0.7978541383422662
11,LeBron James,0.9399675500270416,0.6666666666666666,0.7248743865130967,0.8015712875797105,0.7964850140466913
12,Damian Lillard,0.910221741481882,0.9333333333333335,0.877789510427958,0.4914289717766615,0.7884441955927428
13,Kyrie Irving,0.8456308429266784,0.7333333333333333,0.8114902282923069,0.7072267152367695,0.7790768005635184
14,Kawhi Leonard,0.8553859900768922,0.8666666666666666,0.8001208802316035,0.6244034906093628,0.7775750504554706
15,Kemba Walker,0.8212429750511437,0.8666666666666666,0.780184791612734,0.6630085858658024,0.773268118120761
16,Kevin Love,0.7776404233948854,0.7333333333333333,0.7509826624938161,0.7639866078501604,0.7591096980906498
17,Chris Paul,0.7638206315987489,0.8666666666666666,0.5901086076869846,0.8589014944333304,0.7589045542184727
18,Isaiah Thomas,0.8252337170671405,0.7333333333333333,0.8882705429674587,0.5558167549545703,0.7526276825053189
19,Gordon Hayward,0.9200203607673462,0.4666666666666667,0.7017984691695978,0.7949912009243346,0.7496787919230559
20,Lou Williams,0.5294753921038399,1.0,0.8770262417752548,0.6867891060948867,0.7476325892927582
21,Marc Gasol,0.8398664377924613,0.8666666666666666,0.6311620977105972,0.6663900418817231,0.7379148373720974
22,Carmelo Anthony,0.8414183930209044,0.8666666666666666,0.746877107310397,0.5426644968232316,0.7361171992080116
23,CJ McCollum,0.8641157382368848,0.9333333333333335,0.7023778749956018,0.511007083214041,0.7322376938442835
24,Giannis Antetokounmpo,0.8524298848798578,0.7333333333333333,0.6906529543221582,0.6430572396182037,0.7294756552716278
25,Andrew Wiggins,0.9252239753568322,0.8666666666666666,0.6596659894642432,0.47823186216220354,0.7172355751770126
26,John Wall,0.9221200648999458,0.6,0.7177036579320835,0.5636903944166568,0.7123114293008843
27,Victor Oladipo,0.8972887812448561,0.8666666666666666,0.47485609675026835,0.6632037230709186,0.7095053606300487
28,Tobias Harris,0.82217414818821,1.0,0.5179348020387575,0.6112320720265093,0.7081232511938844
29,Karl-Anthony Towns,0.8771133632750957,0.8666666666666666,0.6663903353582379,0.4708240943325258,0.7036545690421642
30,Kentavious Caldwell-Pope,0.8207463493780419,1.0,0.41600539033136147,0.6897349075753798,0.7012054501609313
31,JJ Redick,0.5895078420767983,0.7999999999999999,0.5876306118219179,0.8507981804384033,0.6964423632238316
32,Kristaps Porzingis,0.8476262139346767,0.8666666666666666,0.6191057233309847,0.5166350560564766,0.6950371464746616
33,Dwyane Wade,0.7579232017306651,0.6666666666666666,0.6868677105152654,0.6469068646609315,0.6921892145724099
34,Bradley Beal,0.8824589868397331,0.5333333333333333,0.6696428938283698,0.6091590340132687,0.6895509545863151
35,Harrison Barnes,0.9643050297458083,0.7999999999999999,0.580891920562975,0.4569728116393349,0.6892705837422263
36,Rudy Gay,0.8694274897628061,0.7333333333333333,0.578098932729481,0.5928716745084076,0.6889108036651933
37,Zach LaVine,0.9659275283937262,0.7999999999999999,0.5651188574037238,0.46347397686513314,0.6871415009410856
38,Avery Bradley,0.9050485573870716,0.8666666666666666,0.5139527935511776,0.5317776439972115,0.6859668202570365
39,Paul Millsap,0.8184346751139612,0.7333333333333333,0.5266428374523964,0.6765639403716663,0.6836902044010833
40,Draymond Green,0.8231476473769604,0.7999999999999999,0.27232045077454364,0.8796894754068022,0.6817521913070619
41,Eric Gordon,0.7483010793143178,0.8666666666666666,0.5704799128459905,0.6131054509849408,0.6807083933420943
42,DeAndre Jordan,0.7669245420556353,0.8666666666666666,0.3019947975518224,0.8610073169259863,0.6801629194018086
43,Marcus Morris Sr.,0.7821957815035153,1.0,0.42217575658325474,0.6450433329308422,0.6797538057665687
44,Rodney Hood,0.7181488063045661,0.7333333333333333,0.5315464468370485,0.7451000580965437,0.6762180282946206
45,Rudy Gobert,0.7823147647376961,0.9333333333333335,0.32202036771124626,0.768591301721123,0.6752978575106683
46,Mike Conley,0.7898387045461776,0.4666666666666667,0.6350010892301574,0.6810393911720078,0.6631363731439555
47,Jabari Parker,0.8116356331607818,0.7333333333333333,0.6363305719760544,0.48952948774302585,0.6602696345182282
48,Nicolas Batum,0.8685776095186587,0.7999999999999999,0.3647505893667679,0.6549207514436517,0.6575626245082602
49,LaMarcus Aldridge,0.8082361121841922,0.7333333333333333,0.5189538725187199,0.5937902806182405,0.6556728405143875
50,Eric Bledsoe,0.7746843181978508,0.8666666666666666,0.6511226910297891,0.4060560111855331,0.6528685406816666
51,Ryan Anderson,0.735885437486773,0.8666666666666666,0.3993008556577719,0.6878089955580292,0.6504003553555497
52,George Hill,0.8053001622498647,0.06666666666666665,0.6583989162688686,0.831237658848802,0.6497573919006306
53,Hassan Whiteside,0.8290027511933594,0.8666666666666666,0.5275269420881177,0.4528827172115256,0.646619787587219
54,Devin Booker,0.8036776636019468,0.7999999999999999,0.6106526880016736,0.4333507854693063,0.6462712498186312
55,Wilson Chandler,0.7453449741172834,0.7333333333333333,0.613926423900973,0.5237129080319028,0.6450972985172942
56,Trevor Ariza,0.8258988407364732,0.8666666666666666,0.3334048028166499,0.6379446442263308,0.6432341067652814
