,Name,Team,Season,GP,Win%,Mins,Points,PPM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,AST/TO,STL,BLK,EFG%,TS%,OFFRTG,DEFRTG,NETRTG,PF,Plusminus,PIE,SIE
428,Keldon Johnson,SAS,2022-2023,46,28.26086956521739,32.67391304347826,21.82608695652174,0.6679973386560213,7.804347826086956,17.82608695652174,43.78048780487805,2.369565217391304,7.021739130434782,33.746130030959755,3.847826086956522,5.0,76.95652173913044,0.8913043478260869,3.934782608695652,4.826086956521739,2.652173913043478,2.0,1.326086956521739,0.6956521739130435,0.1956521739130435,0.5042682926829268,0.5449413808076422,111.34022606382976,121.93942819148936,-10.599202127659597,1.9130434782608696,-341,10.086502659574473,1.2783444249907985
429,P.J. Tucker,PHI,2022-2023,48,64.58333333333334,26.104166666666668,3.208333333333333,0.1229050279329608,1.125,2.8125,40.0,0.625,1.625,38.46153846153847,0.3333333333333333,0.375,88.88888888888889,1.2708333333333333,2.708333333333333,3.9791666666666665,0.8333333333333334,0.6875,1.2121212121212122,0.5208333333333334,0.25,0.5111111111111111,0.5387629443045061,116.16367249602546,112.96240063593004,3.201271860095403,2.520833333333333,76,2.79785373608903,0.9074946167455955
430,Josh Christopher,HOU,2022-2023,33,21.21212121212121,8.545454545454545,3.696969696969697,0.4326241134751773,1.4848484848484849,3.5454545454545454,41.88034188034188,0.1515151515151515,1.0303030303030305,14.705882352941178,0.5757575757575758,0.7575757575757576,76.0,0.303030303030303,0.8787878787878788,1.181818181818182,0.696969696969697,0.7878787878787878,0.8846153846153846,0.2424242424242424,0.1818181818181818,0.4401709401709401,0.4765625,100.4255319148936,122.22801418439715,-21.802482269503543,0.5757575757575758,-132,7.921276595744682,0.7803950452518383
431,Bol Bol,ORL,2022-2023,47,36.17021276595745,24.29787234042553,10.829787234042554,0.4457092819614711,4.468085106382978,7.76595744680851,57.53424657534247,0.5531914893617021,1.6382978723404256,33.76623376623377,1.3404255319148937,1.8085106382978724,74.11764705882354,1.2340425531914894,5.319148936170213,6.553191489361702,0.8723404255319149,1.851063829787234,0.4712643678160919,0.4680851063829787,1.4680851063829787,0.6109589041095891,0.632455268389662,108.52318460192475,114.69615048118982,-6.172965879265064,1.3404255319148937,-146,12.196850393700789,1.066668322539611
432,Jordan Clarkson,UTA,2022-2023,52,51.92307692307693,32.5,20.942307692307693,0.644378698224852,7.538461538461538,16.73076923076923,45.05747126436781,2.6923076923076925,7.653846153846154,35.175879396984925,3.173076923076923,3.8461538461538463,82.5,1.1153846153846154,2.8076923076923075,3.923076923076923,4.269230769230769,2.923076923076923,1.4605263157894737,0.5576923076923077,0.2115384615384615,0.5310344827586206,0.5683716075156576,118.41164302600474,116.4346926713948,1.9769503546099256,1.9423076923076923,76,10.364007092198584,1.3045426428325593
433,Chimezie Metu,SAC,2022-2023,37,59.45945945945946,10.83783783783784,4.918918918918919,0.4538653366583541,2.054054054054054,3.5675675675675675,57.57575757575758,0.1351351351351351,0.7027027027027027,19.23076923076924,0.6756756756756757,0.8378378378378378,80.64516129032258,0.7297297297297297,2.351351351351352,3.081081081081081,0.6486486486486487,0.5675675675675675,1.1428571428571428,0.2972972972972973,0.1891891891891892,0.5946969696969697,0.6248283438615766,111.17805486284291,107.83890274314216,3.3391521197007563,1.351351351351351,10,10.895261845386532,0.8749936818662294
434,Draymond Green,GSW,2022-2023,46,54.34782608695652,31.73913043478261,7.934782608695652,0.25,3.130434782608696,6.086956521739131,51.42857142857142,0.5869565217391305,1.8043478260869563,32.53012048192771,1.0869565217391304,1.5869565217391304,68.4931506849315,0.8043478260869565,6.652173913043479,7.456521739130435,6.8478260869565215,2.5434782608695654,2.6923076923076925,0.9130434782608696,0.782608695652174,0.5625,0.5847110085864411,114.62599179206563,109.55095759233924,5.075034199726403,3.0,140,10.164295485636115,1.0495120005841496
435,Josh Okogie,PHX,2022-2023,46,50.0,13.021739130434783,5.0,0.3839732888146911,1.565217391304348,4.108695652173913,38.095238095238095,0.4782608695652174,1.7173913043478262,27.848101265822784,1.391304347826087,2.0,69.56521739130434,1.434782608695652,1.5869565217391304,3.0217391304347827,1.1956521739130437,0.8478260869565217,1.4102564102564104,0.5652173913043478,0.4565217391304347,0.4391534391534391,0.5011329963395503,109.44156928213688,104.35959933222038,5.081969949916498,1.391304347826087,41,7.236894824707844,0.9151723190405668
436,Jaren Jackson Jr.,MEM,2022-2023,35,62.85714285714285,27.02857142857143,16.542857142857144,0.6120507399577167,5.885714285714286,11.742857142857142,50.12165450121656,1.5142857142857142,4.171428571428572,36.3013698630137,3.257142857142857,4.171428571428572,78.08219178082192,1.8571428571428568,4.828571428571428,6.685714285714286,0.8571428571428571,1.5142857142857142,0.5660377358490566,1.0,3.257142857142857,0.5656934306569343,0.6091658951266729,115.71940928270044,104.12436708860758,11.59504219409287,3.2857142857142856,239,12.60084388185654,1.1653836829775093
437,Cameron Johnson,PHX,2022-2023,15,73.33333333333333,25.133333333333333,13.466666666666669,0.5358090185676393,4.6,10.2,45.09803921568628,2.6666666666666665,6.066666666666666,43.95604395604396,1.6,2.0,80.0,0.8,3.066666666666667,3.866666666666666,1.4666666666666666,0.5333333333333333,2.75,0.8,0.4,0.5816993464052288,0.6077015643802648,114.92354497354496,105.7436507936508,9.179894179894164,1.8666666666666667,67,10.665873015873016,0.9924026676931823
438,Kenrich Williams,OKC,2022-2023,43,51.16279069767442,22.41860465116279,7.744186046511628,0.3454356846473029,3.232558139534884,6.232558139534884,51.865671641791046,0.9767441860465116,2.4651162790697674,39.62264150943396,0.3023255813953488,0.6976744186046512,43.333333333333336,1.8837209302325584,3.116279069767442,5.0,1.8837209302325584,0.4883720930232558,3.857142857142857,0.7441860465116279,0.2790697674418604,0.5970149253731343,0.5921052631578948,112.36109958506226,108.70860995850624,3.652489626556033,2.0,42,10.084128630705392,0.9796351212205514
