,Date,Team,Name
0,12/11/2022,SAC,Chimezie Metu
1,12/11/2022,SAC,Davion Mitchell
2,12/11/2022,SAC,Matthew Dellavedova
3,12/11/2022,SAC,Terence Davis
4,12/11/2022,SAC,Harrison Barnes
5,12/11/2022,SAC,Keegan Murray
6,12/11/2022,SAC,KZ Okpala
7,12/11/2022,SAC,Malik Monk
8,12/11/2022,SAC,Kevin Huerter
9,12/11/2022,SAC,Trey Lyles
10,12/11/2022,SAC,Domantas Sabonis
11,12/11/2022,SAC,Keon Ellis
12,12/11/2022,SAC,Richaun Holmes
14,12/11/2022,SAC,De'Aaron Fox
15,12/11/2022,SAC,Alex Len
16,12/11/2022,SAC,Chima Moneke
18,12/11/2022,SAC,Neemias Queta
19,12/11/2022,CHI,Nikola Vucevic
20,12/11/2022,CHI,Ayo Dosunmu
21,12/11/2022,CHI,Javonte Green
22,12/11/2022,CHI,Goran Dragic
23,12/11/2022,CHI,Zach LaVine
24,12/11/2022,CHI,Coby White
25,12/11/2022,CHI,Patrick Williams
26,12/11/2022,CHI,Andre Drummond
27,12/11/2022,CHI,Derrick Jones Jr.
28,12/11/2022,CHI,DeMar DeRozan
29,12/11/2022,CHI,Tony Bradley
30,12/11/2022,CHI,Malcolm Hill
31,12/11/2022,CHI,Dalen Terry
32,12/11/2022,CHI,Kostas Antetokounmpo
33,12/11/2022,CHI,Lonzo Ball
34,12/11/2022,CHI,Alex Caruso
36,12/11/2022,CHI,Marko Simonovic
37,12/11/2022,NOP,Trey Murphy III
38,12/11/2022,NOP,Naji Marshall
39,12/11/2022,NOP,Jose Alvarado
40,12/11/2022,NOP,Devonte' Graham
41,12/11/2022,NOP,Willy Hernangomez
42,12/11/2022,NOP,Jonas Valanciunas
43,12/11/2022,NOP,CJ McCollum
44,12/11/2022,NOP,Zion Williamson
45,12/11/2022,NOP,Dyson Daniels
46,12/11/2022,NOP,Larry Nance Jr.
47,12/11/2022,NOP,Jaxson Hayes
48,12/11/2022,NOP,Kira Lewis Jr.
49,12/11/2022,NOP,Garrett Temple
50,12/11/2022,NOP,Brandon Ingram
51,12/11/2022,NOP,Herbert Jones
52,12/11/2022,NOP,E.J. Liddell
53,12/11/2022,NOP,Dereon Seabron
54,12/11/2022,TOR,Scottie Barnes
55,12/11/2022,TOR,Dalano Banton
56,12/11/2022,TOR,Thaddeus Young
57,12/11/2022,TOR,Christian Koloko
58,12/11/2022,TOR,Gary Trent Jr.
59,12/11/2022,TOR,Khem Birch
60,12/11/2022,TOR,Chris Boucher
61,12/11/2022,TOR,Pascal Siakam
62,12/11/2022,TOR,Fred VanVleet
63,12/11/2022,TOR,Malachi Flynn
64,12/11/2022,TOR,Precious Achiuwa
65,12/11/2022,TOR,O.G. Anunoby
68,12/11/2022,TOR,Justin Champagnie
69,12/11/2022,TOR,Jeff Dowtin Jr.
70,12/11/2022,TOR,Ron Harper Jr.
71,12/11/2022,TOR,Juancho Hernangomez
72,12/11/2022,TOR,Otto Porter Jr.
73,12/11/2022,ATL,Onyeka Okongwu
74,12/11/2022,ATL,Trent Forrest
75,12/11/2022,ATL,Jalen Johnson
76,12/11/2022,ATL,AJ Griffin
77,12/11/2022,ATL,Aaron Holiday
78,12/11/2022,ATL,Justin Holiday
79,12/11/2022,ATL,Bogdan Bogdanovic
80,12/11/2022,ATL,De'Andre Hunter
81,12/11/2022,ATL,Clint Capela
82,12/11/2022,ATL,Trae Young
83,12/11/2022,ATL,Jarrett Culver
84,12/11/2022,ATL,Frank Kaminsky
85,12/11/2022,ATL,Vit Krejci
86,12/11/2022,ATL,Tyrese Martin
87,12/11/2022,ATL,John Collins
89,12/11/2022,ATL,Dejounte Murray
91,12/11/2022,CHA,Bryce McGowens
92,12/11/2022,CHA,P.J. Washington
93,12/11/2022,CHA,Mason Plumlee
94,12/11/2022,CHA,James Bouknight
95,12/11/2022,CHA,Kai Jones
96,12/11/2022,CHA,Jalen McDaniels
97,12/11/2022,CHA,Kelly Oubre Jr.
98,12/11/2022,CHA,JT Thor
99,12/11/2022,CHA,Terry Rozier
100,12/11/2022,CHA,Theo Maledon
101,12/11/2022,CHA,Nick Richards
102,12/11/2022,CHA,LaMelo Ball
103,12/11/2022,CHA,Gordon Hayward
104,12/11/2022,CHA,Cody Martin
105,12/11/2022,CHA,Dennis Smith Jr.
106,12/11/2022,CHA,Mark Williams
107,12/11/2022,PHX,Josh Okogie
108,12/11/2022,PHX,Torrey Craig
109,12/11/2022,PHX,Mikal Bridges
110,12/11/2022,PHX,Landry Shamet
111,12/11/2022,PHX,Jock Landale
112,12/11/2022,PHX,Dario Saric
113,12/11/2022,PHX,Damion Lee
114,12/11/2022,PHX,Chris Paul
115,12/11/2022,PHX,Deandre Ayton
116,12/11/2022,PHX,Cameron Payne
117,12/11/2022,PHX,Bismack Biyombo
118,12/11/2022,PHX,Ish Wainright
119,12/11/2022,PHX,Devin Booker
120,12/11/2022,PHX,Jae Crowder
121,12/11/2022,PHX,Cameron Johnson
122,12/11/2022,PHX,Duane Washington Jr.
123,12/11/2022,NYK,Mitchell Robinson
124,12/11/2022,NYK,Isaiah Hartenstein
125,12/11/2022,NYK,Quentin Grimes
126,12/11/2022,NYK,Jericho Sims
127,12/11/2022,NYK,RJ Barrett
128,12/11/2022,NYK,Jalen Brunson
129,12/11/2022,NYK,Miles McBride
130,12/11/2022,NYK,Immanuel Quickley
131,12/11/2022,NYK,Julius Randle
132,12/11/2022,NYK,Evan Fournier
