,Date,Team,Name
0,02/12/2023,TOR,Pascal Siakam
1,02/12/2023,TOR,Chris Boucher
2,02/12/2023,TOR,Fred VanVleet
3,02/12/2023,TOR,Thaddeus Young
4,02/12/2023,TOR,Malachi Flynn
5,02/12/2023,TOR,Precious Achiuwa
6,02/12/2023,TOR,Jakob Poeltl
7,02/12/2023,TOR,Dalano Banton
8,02/12/2023,TOR,Scottie Barnes
9,02/12/2023,TOR,Juancho Hernangomez
10,02/12/2023,TOR,Joe Wieskamp
11,02/12/2023,TOR,Gary Trent Jr.
12,02/12/2023,TOR,O.G. Anunoby
13,02/12/2023,TOR,Jeff Dowtin Jr.
14,02/12/2023,TOR,Ron Harper Jr.
15,02/12/2023,TOR,Christian Koloko
16,02/12/2023,TOR,Otto Porter Jr.
18,02/12/2023,MEM,Santi Aldama
19,02/12/2023,MEM,Xavier Tillman
20,02/12/2023,MEM,Brandon Clarke
21,02/12/2023,MEM,Luke Kennard
22,02/12/2023,MEM,John Konchar
23,02/12/2023,MEM,Dillon Brooks
24,02/12/2023,MEM,Tyus Jones
25,02/12/2023,MEM,Ja Morant
26,02/12/2023,MEM,Desmond Bane
27,02/12/2023,MEM,Jaren Jackson Jr.
28,02/12/2023,MEM,Kennedy Chandler
29,02/12/2023,MEM,Vince Williams Jr.
30,02/12/2023,MEM,Steven Adams
31,02/12/2023,MEM,Jake LaRavia
32,02/12/2023,MEM,Kenneth Lofton Jr.
33,02/12/2023,MEM,David Roddy
34,02/12/2023,MEM,Ziaire Williams
35,02/12/2023,BOS,Grant Williams
36,02/12/2023,BOS,Payton Pritchard
37,02/12/2023,BOS,Sam Hauser
38,02/12/2023,BOS,Mike Muscala
39,02/12/2023,BOS,Luke Kornet
40,02/12/2023,BOS,Jayson Tatum
41,02/12/2023,BOS,Robert Williams III
42,02/12/2023,BOS,Al Horford
43,02/12/2023,BOS,Derrick White
44,02/12/2023,BOS,JD Davison
45,02/12/2023,BOS,Blake Griffin
46,02/12/2023,BOS,Mfiondu Kabengele
47,02/12/2023,BOS,Malcolm Brogdon
48,02/12/2023,BOS,Jaylen Brown
50,02/12/2023,BOS,Danilo Gallinari
52,02/12/2023,BOS,Marcus Smart
53,02/12/2023,DET,Jalen Duren
54,02/12/2023,DET,Bojan Bogdanovic
55,02/12/2023,DET,Killian Hayes
56,02/12/2023,DET,Isaiah Livers
57,02/12/2023,DET,Isaiah Stewart
58,02/12/2023,DET,Cory Joseph
59,02/12/2023,DET,Hamidou Diallo
60,02/12/2023,DET,Jaden Ivey
61,02/12/2023,DET,Alec Burks
62,02/12/2023,DET,Rodney McGruder
63,02/12/2023,DET,Stanley Umude
64,02/12/2023,DET,Marvin Bagley III
66,02/12/2023,DET,Buddy Boeheim
67,02/12/2023,DET,Cade Cunningham
68,02/12/2023,DET,Nerlens Noel
69,02/12/2023,DET,Jared Rhoden
70,02/12/2023,DET,James Wiseman
