,Date,Team,Name
0,11/26/2022,SAS,Keldon Johnson
1,11/26/2022,SAS,Jakob Poeltl
2,11/26/2022,SAS,Tre Jones
3,11/26/2022,SAS,Jeremy Sochan
4,11/26/2022,SAS,Charles Bassey
5,11/26/2022,SAS,Devin Vassell
6,11/26/2022,SAS,Zach Collins
7,11/26/2022,SAS,Doug McDermott
8,11/26/2022,SAS,Isaiah Roby
9,11/26/2022,SAS,Malaki Branham
10,11/26/2022,SAS,Romeo Langford
11,11/26/2022,SAS,Gorgui Dieng
12,11/26/2022,SAS,Jordan Hall
13,11/26/2022,SAS,Dominick Barlow
14,11/26/2022,SAS,Keita Bates-Diop
15,11/26/2022,SAS,Josh Richardson
16,11/26/2022,SAS,Blake Wesley
17,11/26/2022,TOR,Fred VanVleet
18,11/26/2022,TOR,Juancho Hernangomez
19,11/26/2022,TOR,Khem Birch
20,11/26/2022,TOR,O.G. Anunoby
21,11/26/2022,TOR,Christian Koloko
22,11/26/2022,TOR,Malachi Flynn
23,11/26/2022,TOR,Gary Trent Jr.
24,11/26/2022,TOR,Jeff Dowtin Jr.
25,11/26/2022,TOR,Chris Boucher
26,11/26/2022,TOR,Thaddeus Young
27,11/26/2022,TOR,Ron Harper Jr.
28,11/26/2022,TOR,Justin Champagnie
29,11/26/2022,TOR,Precious Achiuwa
30,11/26/2022,TOR,Dalano Banton
31,11/26/2022,TOR,Scottie Barnes
33,11/26/2022,TOR,Otto Porter Jr.
34,11/26/2022,TOR,Pascal Siakam
36,11/26/2022,OKC,Aleksej Pokusevski
37,11/26/2022,OKC,Ousmane Dieng
38,11/26/2022,OKC,Shai Gilgeous-Alexander
39,11/26/2022,OKC,Aaron Wiggins
40,11/26/2022,OKC,Darius Bazley
41,11/26/2022,OKC,Josh Giddey
42,11/26/2022,OKC,Tre Mann
43,11/26/2022,OKC,Jalen Williams
44,11/26/2022,OKC,Luguentz Dort
45,11/26/2022,OKC,Kenrich Williams
46,11/26/2022,OKC,Isaiah Joe
47,11/26/2022,OKC,Jeremiah Robinson-Earl
48,11/26/2022,OKC,Chet Holmgren
49,11/26/2022,OKC,Mike Muscala
50,11/26/2022,OKC,Eugene Omoruyi
51,11/26/2022,OKC,Lindy Waters III
52,11/26/2022,OKC,Jaylin Williams
53,11/26/2022,DAL,Dwight Powell
54,11/26/2022,DAL,Luka Doncic
55,11/26/2022,DAL,Tim Hardaway Jr.
56,11/26/2022,DAL,JaVale McGee
57,11/26/2022,DAL,Christian Wood
58,11/26/2022,DAL,Facundo Campazzo
59,11/26/2022,DAL,Reggie Bullock
60,11/26/2022,DAL,Spencer Dinwiddie
61,11/26/2022,DAL,Josh Green
62,11/26/2022,DAL,Dorian Finney-Smith
63,11/26/2022,DAL,Maxi Kleber
64,11/26/2022,DAL,Davis Bertans
