,Date,Team,Name
0,01/15/2023,POR,Nassir Little
1,01/15/2023,POR,Greg Brown III
2,01/15/2023,POR,Jusuf Nurkic
3,01/15/2023,POR,Drew Eubanks
4,01/15/2023,POR,Shaedon Sharpe
5,01/15/2023,POR,Jerami Grant
6,01/15/2023,POR,Josh Hart
7,01/15/2023,POR,Anfernee Simons
8,01/15/2023,POR,Damian Lillard
9,01/15/2023,POR,Jabari Walker
10,01/15/2023,POR,Keon Johnson
11,01/15/2023,POR,Trendon Watford
12,01/15/2023,POR,Gary Payton II
15,01/15/2023,POR,Justise Winslow
16,01/15/2023,SAC,Keegan Murray
17,01/15/2023,SAC,Chimezie Metu
18,01/15/2023,SAC,Harrison Barnes
19,01/15/2023,SAC,Trey Lyles
20,01/15/2023,SAC,Kevin Huerter
21,01/15/2023,SAC,Malik Monk
22,01/15/2023,SAC,Davion Mitchell
23,01/15/2023,SAC,De'Aaron Fox
24,01/15/2023,SAC,KZ Okpala
25,01/15/2023,SAC,Domantas Sabonis
26,01/15/2023,SAC,Terence Davis
27,01/15/2023,SAC,Matthew Dellavedova
28,01/15/2023,SAC,PJ Dozier
29,01/15/2023,SAC,Richaun Holmes
30,01/15/2023,SAC,Alex Len
31,01/15/2023,SAC,Keon Ellis
33,01/15/2023,SAC,Neemias Queta
34,01/15/2023,LAC,Robert Covington
35,01/15/2023,LAC,Moses Brown
36,01/15/2023,LAC,Ivica Zubac
37,01/15/2023,LAC,Reggie Jackson
38,01/15/2023,LAC,Brandon Boston Jr.
39,01/15/2023,LAC,Norman Powell
40,01/15/2023,LAC,Nicolas Batum
41,01/15/2023,LAC,Terance Mann
42,01/15/2023,LAC,Jason Preston
43,01/15/2023,LAC,Kawhi Leonard
44,01/15/2023,LAC,Amir Coffey
46,01/15/2023,LAC,Moussa Diabate
47,01/15/2023,LAC,Paul George
48,01/15/2023,LAC,Luke Kennard
49,01/15/2023,LAC,Marcus Morris Sr.
50,01/15/2023,LAC,John Wall
51,01/15/2023,CHI,Patrick Williams
52,01/15/2023,CHI,Goran Dragic
53,01/15/2023,CHI,Ayo Dosunmu
54,01/15/2023,CHI,Derrick Jones Jr.
55,01/15/2023,CHI,Alex Caruso
56,01/15/2023,CHI,Coby White
57,01/15/2023,CHI,Zach LaVine
58,01/15/2023,CHI,Nikola Vucevic
59,01/15/2023,CHI,Dalen Terry
60,01/15/2023,CHI,Tony Bradley
61,01/15/2023,CHI,Andre Drummond
62,01/15/2023,CHI,Malcolm Hill
63,01/15/2023,CHI,Carlik Jones
64,01/15/2023,CHI,Marko Simonovic
65,01/15/2023,CHI,Lonzo Ball
67,01/15/2023,CHI,DeMar DeRozan
68,01/15/2023,CHI,Javonte Green
70,01/15/2023,SAS,Jakob Poeltl
71,01/15/2023,SAS,Stanley Johnson
72,01/15/2023,SAS,Romeo Langford
73,01/15/2023,SAS,Malaki Branham
74,01/15/2023,SAS,Jeremy Sochan
