,Date,Team,Name
0,01/29/2023,LAC,Norman Powell
1,01/29/2023,LAC,Moses Brown
2,01/29/2023,LAC,Jason Preston
3,01/29/2023,LAC,Brandon Boston Jr.
4,01/29/2023,LAC,Amir Coffey
5,01/29/2023,LAC,Nicolas Batum
6,01/29/2023,LAC,Terance Mann
7,01/29/2023,LAC,Moussa Diabate
8,01/29/2023,LAC,Ivica Zubac
9,01/29/2023,LAC,Luke Kennard
10,01/29/2023,LAC,Reggie Jackson
12,01/29/2023,LAC,Robert Covington
13,01/29/2023,LAC,Paul George
16,01/29/2023,LAC,Kawhi Leonard
17,01/29/2023,LAC,Marcus Morris Sr.
18,01/29/2023,LAC,John Wall
19,01/29/2023,CLE,Donovan Mitchell
20,01/29/2023,CLE,Cedi Osman
21,01/29/2023,CLE,Darius Garland
22,01/29/2023,CLE,Dean Wade
23,01/29/2023,CLE,Isaac Okoro
24,01/29/2023,CLE,Evan Mobley
25,01/29/2023,CLE,Jarrett Allen
26,01/29/2023,CLE,Ricky Rubio
27,01/29/2023,CLE,Lamar Stevens
28,01/29/2023,CLE,Caris LeVert
29,01/29/2023,CLE,Robin Lopez
30,01/29/2023,CLE,Raul Neto
31,01/29/2023,CLE,Mamadi Diakite
32,01/29/2023,CLE,Kevin Love
34,01/29/2023,CLE,Isaiah Mobley
35,01/29/2023,CLE,Dylan Windler
36,01/29/2023,NOP,Devonte' Graham
37,01/29/2023,NOP,Larry Nance Jr.
38,01/29/2023,NOP,Trey Murphy III
39,01/29/2023,NOP,Kira Lewis Jr.
40,01/29/2023,NOP,Naji Marshall
41,01/29/2023,NOP,Jaxson Hayes
42,01/29/2023,NOP,Jose Alvarado
43,01/29/2023,NOP,Herbert Jones
44,01/29/2023,NOP,Jonas Valanciunas
45,01/29/2023,NOP,Willy Hernangomez
46,01/29/2023,NOP,Dereon Seabron
47,01/29/2023,NOP,Garrett Temple
48,01/29/2023,NOP,Dyson Daniels
49,01/29/2023,NOP,Brandon Ingram
50,01/29/2023,NOP,E.J. Liddell
51,01/29/2023,NOP,CJ McCollum
52,01/29/2023,NOP,Zion Williamson
53,01/29/2023,CHA,Mark Williams
54,01/29/2023,CHA,P.J. Washington
55,01/29/2023,CHA,LaMelo Ball
56,01/29/2023,CHA,Terry Rozier
57,01/29/2023,CHA,Mason Plumlee
58,01/29/2023,CHA,Gordon Hayward
59,01/29/2023,CHA,JT Thor
