,Date,Team,Name
0,10/27/2022,SAC,De'Aaron Fox
1,10/27/2022,SAC,Richaun Holmes
2,10/27/2022,SAC,KZ Okpala
3,10/27/2022,SAC,Kevin Huerter
4,10/27/2022,SAC,Chima Moneke
5,10/27/2022,SAC,Matthew Dellavedova
6,10/27/2022,SAC,Davion Mitchell
7,10/27/2022,SAC,Alex Len
8,10/27/2022,SAC,Chimezie Metu
9,10/27/2022,SAC,Terence Davis
10,10/27/2022,SAC,Domantas Sabonis
11,10/27/2022,SAC,Malik Monk
12,10/27/2022,SAC,Harrison Barnes
13,10/27/2022,SAC,Keegan Murray
14,10/27/2022,SAC,Trey Lyles
15,10/27/2022,LAC,Ivica Zubac
16,10/27/2022,LAC,Brandon Boston Jr.
17,10/27/2022,LAC,Terance Mann
18,10/27/2022,LAC,Moses Brown
19,10/27/2022,LAC,Moussa Diabate
20,10/27/2022,LAC,Amir Coffey
21,10/27/2022,LAC,Luke Kennard
22,10/27/2022,LAC,Robert Covington
23,10/27/2022,LAC,Paul George
24,10/27/2022,LAC,Nicolas Batum
25,10/27/2022,LAC,Norman Powell
26,10/27/2022,LAC,John Wall
27,10/27/2022,LAC,Reggie Jackson
29,10/27/2022,LAC,Kawhi Leonard
30,10/27/2022,LAC,Marcus Morris Sr.
31,10/27/2022,LAC,Jason Preston
32,10/27/2022,OKC,Isaiah Joe
33,10/27/2022,OKC,Shai Gilgeous-Alexander
34,10/27/2022,OKC,Ousmane Dieng
35,10/27/2022,OKC,Kenrich Williams
36,10/27/2022,OKC,Mike Muscala
37,10/27/2022,OKC,Jeremiah Robinson-Earl
38,10/27/2022,OKC,Darius Bazley
39,10/27/2022,OKC,Aaron Wiggins
40,10/27/2022,OKC,Tre Mann
41,10/27/2022,OKC,Aleksej Pokusevski
42,10/27/2022,OKC,Luguentz Dort
43,10/27/2022,OKC,Lindy Waters III
44,10/27/2022,OKC,Jaylin Williams
45,10/27/2022,OKC,Josh Giddey
46,10/27/2022,OKC,Chet Holmgren
47,10/27/2022,OKC,Jalen Williams
