,Name,Team,Location,Opponent,Date,Result,Mins,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
0,Boban Marjanovic,LAC,H,LAL,2018-04-11,L,13,100.0,85.2,14.8,0.0,0.0,0.0,38.5,29.4,33.3,18.2,71.4,65.2,33.3,103.88,36.8
1,Langston Galloway,DET,A,CHI,2018-04-11,W,20,107.5,63.4,44.1,6.7,1.0,11.1,6.3,0.0,2.5,11.1,50.0,50.0,19.0,98.93,13.5
2,Ian Clark,NOP,H,SAS,2018-04-11,W,28,118.0,104.8,13.2,8.0,0.0,16.7,0.0,6.3,3.6,0.0,55.0,55.0,14.3,104.5,7.3
3,Delon Wright,TOR,A,MIA,2018-04-11,L,23,78.7,115.9,-37.2,7.1,1.0,9.1,0.0,9.5,4.3,9.1,43.8,50.7,18.9,94.69,4.3
4,Karl-Anthony Towns,MIN,H,DEN,2018-04-11,W,47,113.6,111.2,2.4,7.7,0.0,9.1,9.8,21.7,16.1,0.0,63.2,65.4,20.8,90.59,17.9
5,Jordan Crawford,NOP,H,SAS,2018-04-11,W,3,137.5,125.0,12.5,25.0,0.0,33.3,0.0,33.3,16.7,0.0,50.0,50.0,25.0,113.5,12.8
6,JaKarr Sampson,SAC,H,HOU,2018-04-11,W,23,95.7,93.6,2.0,0.0,0.0,0.0,0.0,15.4,8.2,0.0,62.5,65.2,16.7,96.83,15.3
7,Markieff Morris,WAS,A,ORL,2018-04-11,L,31,93.8,112.7,-18.9,12.5,2.0,10.0,7.7,17.2,11.8,5.0,36.7,43.6,24.0,97.16,11.5
8,Cristiano Felicio,CHI,H,DET,2018-04-11,L,30,93.0,120.3,-27.4,6.7,1.0,10.0,12.8,3.8,9.2,10.0,60.0,65.4,12.7,93.63,8.9
9,Arron Afflalo,ORL,H,WAS,2018-04-11,W,17,92.1,81.6,10.5,12.5,0.0,12.5,0.0,0.0,0.0,0.0,85.7,85.7,17.9,106.52,19.4
10,Rodney McGruder,MIA,H,TOR,2018-04-11,W,18,108.8,123.5,-14.7,6.3,0.0,33.3,7.4,0.0,4.3,0.0,75.0,75.0,4.3,90.5,2.7
11,Taj Gibson,MIN,H,DEN,2018-04-11,W,35,110.8,115.2,-4.4,0.0,0.0,0.0,0.0,17.1,9.0,11.1,50.0,50.0,12.5,89.2,5.3
12,Dante Exum,UTA,A,POR,2018-04-11,L,20,82.1,102.4,-20.4,33.3,3.0,27.3,0.0,3.8,2.0,9.1,33.3,43.6,18.2,94.19,6.7
13,Serge Ibaka,TOR,A,MIA,2018-04-11,L,26,114.0,102.0,12.0,5.0,1.0,16.7,0.0,2.6,1.6,16.7,25.0,25.0,9.4,95.25,-4.0
