,BOS,HOU,GSW,CLE,UTA,NOP,MIL,SAC,CHA,DET,WAS,MIN,DAL,BKN,SAS,DEN,ATL,MEM,MIA,IND,ORL,PHX,POR,PHI,TOR,NYK,CHI,LAC,OKC,LAL
14,9.0,8.0,10.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,10.0,8.0,9.0,9.0
15,9.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,10.0,10.0,10.0,8.0,9.0,9.0
16,9.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,8.0,10.0,9.0,10.0,8.0,9.0,9.0
17,9.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,8.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,8.0,10.0,9.0,10.0,8.0,9.0,9.0
18,9.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,8.0
19,9.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,8.0
20,9.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,8.0
21,9.0,8.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,9.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,8.0
22,9.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,9.0,8.0,9.0
23,9.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,9.0,8.0,9.0
24,9.0,9.0,10.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,9.0,8.0,9.0
25,9.0,9.0,10.0,9.0,10.0,8.0,8.0,10.0,9.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0
26,9.0,8.0,10.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0
27,9.0,8.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,8.0,10.0,10.0,9.0,10.0,9.0,9.0
28,9.0,8.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,8.0,10.0,10.0,9.0,10.0,9.0,9.0
