,Date,Home,Home Points,Home DRTG,Home SIE,Away,Away Points,Away DRTG,Away SIE
0,11/20/2022,PHX,120.68718356231587,109.366619109793,273.02028256606286,NYK,109.43496146345291,112.32517429526547,265.0249051532485
1,11/20/2022,WAS,117.629722505439,108.55307870244043,272.6554504900994,CHA,122.02651560648758,113.59784766026202,276.64734082762794
2,11/20/2022,SAC,126.03183368281971,112.3922286114706,270.10281294639395,DET,122.74886412862557,117.30230591467884,276.59461777879795
3,11/20/2022,BKN,118.22849582740967,111.3201284397423,274.5780554370822,MEM,130.46686140265973,108.56660668995157,281.5019636753585
4,11/20/2022,CLE,128.87766000103264,108.02231396593696,291.23113941497735,MIA,113.99677050487942,108.11925145436395,283.00053910954165
5,11/20/2022,HOU,116.50256699339131,114.6961765272609,269.3540997365834,GSW,119.91172362920938,110.80405853912282,272.3945822902334
6,11/20/2022,DAL,116.39330756145566,109.2873283185353,274.58076204042635,DEN,123.49613528621461,113.00676808725518,272.5501654899314
7,11/20/2022,LAL,123.13014330325413,111.40133422970753,272.5468136607777,SAS,114.22665153404746,115.47271209905706,266.1159420954085
8,11/21/2022,CLE,128.72419631933636,107.28744683107901,291.87379303411916,ATL,118.65097122122467,109.50537759069276,279.4250896951731
9,11/21/2022,IND,131.85664410801448,111.77662534497867,271.1053434751832,ORL,122.72009375228363,111.78259858731039,274.96281325676586
10,11/21/2022,CHI,114.65618743259736,110.66557695695563,268.092284992002,BOS,122.97083076038699,110.83762106236449,284.02509660778173
11,11/21/2022,MIL,123.20666802119871,102.47456935944481,274.6700522593214,POR,121.21891781482474,110.64438834598766,285.93913529423963
12,11/21/2022,MIN,116.03272032040883,110.60596804862307,274.7449622827593,MIA,120.93237550829242,111.91817709513808,291.3629175305332
13,11/21/2022,NOP,125.57593213711888,108.8730904920655,277.8952413857949,GSW,135.06270730447898,111.58757075842618,293.8325127977944
14,11/21/2022,OKC,120.77863042505487,111.38857477232291,265.35528915385066,NYK,109.17258009143974,113.04133598020456,265.5885966961179
15,11/21/2022,LAC,114.38871267284313,105.1536990453211,274.39854987548415,UTA,117.8437670609168,111.86180519411239,276.83471937086347
16,11/22/2022,PHI,129.50597821571327,108.19022721536561,286.7647949129071,BKN,115.5398963161198,111.07951907123045,273.73221550132854
17,11/22/2022,MEM,133.9173056553928,109.38614101969239,279.4025494654531,SAC,124.13536320891365,113.28795630383533,271.37155104153334
18,11/22/2022,DEN,125.28729450631631,112.40990056199482,269.76158235927716,DET,124.05592095540307,118.36609287984149,275.6202337260755
19,11/22/2022,PHX,121.02767803543541,109.18791396177446,272.86423063905715,LAL,127.17230514800056,109.89473791887085,275.62470417051077
20,11/23/2022,CHA,123.58636013090383,113.21874009921521,275.85095577201787,PHI,130.67622587652147,108.13943284503907,293.68973611958705
21,11/23/2022,CLE,126.15938438392284,107.51735789800405,290.10779694266074,POR,119.38280493865757,111.01478585765912,282.04844779023443
22,11/23/2022,IND,131.67622901216708,110.7458548305879,272.5564462777974,MIN,112.12089771961764,109.70018443232324,275.44960128337794
23,11/23/2022,ATL,119.33131311020483,109.92855735795905,276.83079089314697,SAC,123.05680529117214,112.46566798557028,274.1336540312119
24,11/23/2022,BOS,124.74405834152796,111.13428918180418,284.62047731782013,DAL,111.26352754210907,108.90987772679591,272.78561167932025
25,11/23/2022,MIA,112.9659458117383,110.30235439496755,288.4120163460071,WAS,116.07911458303262,107.72071765745574,275.0404975255214
26,11/23/2022,TOR,129.81661797491995,109.69255203842336,292.48277921445776,BKN,114.09129494223731,111.8216384459949,275.5070236423277
27,11/23/2022,MIL,123.13492589244647,102.6011106761074,275.54708607032086,CHI,113.1082370432212,110.12200025712872,271.4063662398355
28,11/23/2022,OKC,121.6967624613108,112.08260443673987,266.48697400758203,DEN,123.55516115414899,111.75394917231209,275.9846746995712
29,11/23/2022,SAS,117.11654015404145,115.71883827311582,264.8231713774483,NOP,123.42315293616075,107.76702634242356,279.4050971043
30,11/23/2022,UTA,122.36832988969292,112.72336859577963,280.5299279157362,DET,124.15444311139288,118.39419538746392,276.87484582207003
31,11/23/2022,GSW,128.67673115191957,111.81967529940994,280.47814551981423,LAC,113.21450101973792,106.04385290115306,276.7312834254544
32,11/25/2022,CHA,128.1347143850624,113.26658141091858,280.4553807459405,MIN,113.2214250443182,109.10317807137137,278.8776238225489
33,11/25/2022,ORL,128.5609627083448,112.1493669140327,274.61906205709573,PHI,130.86381186290572,108.09911677124776,293.735233996133
34,11/25/2022,NYK,113.98262025617892,113.3769711036587,264.90191868881993,POR,120.5416392408364,111.73764347374144,283.7839651524118
35,11/25/2022,BOS,125.00970587519122,111.29848992572396,285.6850421188514,SAC,122.07487980157998,112.24603466309773,274.77072505618435
36,11/25/2022,IND,129.83433954127753,111.14274136000635,271.87705409365844,BKN,115.87167651683757,111.22081273894655,275.9716260534414
37,11/25/2022,MIA,114.40843791841843,110.41475389779959,291.0443326529776,WAS,114.69405414675678,108.01091947503603,274.0213456415714
38,11/25/2022,HOU,118.49594964007646,115.68993150223078,269.8468318189343,ATL,117.04869558840618,109.45301242390762,279.73266106173685
39,11/25/2022,MEM,133.3643220592957,108.86951159288002,279.92756503656574,NOP,123.47553163106203,107.52171165001327,278.72482732644283
40,11/25/2022,MIL,124.47081709455985,103.03796988534089,277.9453518937973,CLE,124.8234544170373,107.62605953063436,292.5576981271039
41,11/25/2022,OKC,120.83407708556997,112.992577746553,267.0889897859712,CHI,113.17231107344924,109.86830570485071,271.85637822489775
