,Name,Team,Season,GP,Win%,Mins,Points,PPM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,AST/TO,STL,BLK,EFG%,TS%,OFFRTG,DEFRTG,NETRTG,PF,Plusminus,PIE,S_Mins,S_GP,S_PPM,S_NETRTG,SIM
0,Joel Embiid,PHI,2023,58,67.24137931034483,35.06896551724138,33.55172413793103,0.9567354965585054,11.155172413793103,20.448275862068964,54.55311973018549,1.0517241379310345,3.0,35.05747126436782,10.189655172413794,11.913793103448276,85.52821997105644,1.8103448275862069,8.448275862068966,10.258620689655173,4.103448275862069,3.4655172413793105,1.1840796019900497,1.0689655172413792,1.7586206896551724,0.571247892074199,0.6530026039569408,118.39744597249509,109.65117878192534,8.746267190569753,3.206896551724138,385,21.745776031434193,0.9128714651800568,0.7619047619047619,0.9961025871685589,0.8487467629474237,0.8932799126383499
1,Jayson Tatum,BOS,2023,67,70.1492537313433,37.44776119402985,29.970149253731343,0.8003188521323237,9.716417910447761,21.253731343283583,45.71629213483146,3.253731343283582,9.432835820895523,34.49367088607595,7.2835820895522385,8.477611940298507,85.91549295774648,1.0895522388059702,7.82089552238806,8.91044776119403,4.731343283582089,2.955223880597015,1.601010101010101,1.0149253731343284,0.746268656716418,0.5337078651685393,0.5997897151596253,118.70095541401277,111.1435907643312,7.557364649681574,2.1492537313432836,383,16.486703821656054,0.9998591508836893,0.9047619047619048,0.8068159630041885,0.8089528075689063,0.8773021524245193
2,Nikola Jokic,DEN,2023,64,70.3125,33.890625,24.734375,0.7298294144767173,9.484375,14.953125,63.42737722048067,0.84375,2.140625,39.416058394160586,4.921875,6.015625,81.81818181818183,2.4375,9.46875,11.90625,9.90625,3.546875,2.79295154185022,1.234375,0.65625,0.6624869383490073,0.7026811079545454,124.53905243790248,111.90285188592455,12.636200551977936,2.578125,608,21.19227230910763,0.8697819659154405,0.8571428571428571,0.7215136108023328,0.9789473717320951,0.8568128587471181
3,Giannis Antetokounmpo,MIL,2023,56,75.0,32.55357142857143,31.25,0.9599561162918266,11.125,20.392857142857142,54.55341506129597,0.8035714285714286,2.7857142857142856,28.846153846153843,8.196428571428571,12.625,64.92220650636492,2.25,9.607142857142858,11.857142857142858,5.571428571428571,3.9107142857142856,1.4246575342465753,0.7321428571428571,0.8035714285714286,0.5652364273204904,0.6021691854543453,115.12754654983566,108.65115005476449,6.476396495071171,3.1964285714285716,281,20.664293537787515,0.8208886553317548,0.7301587301587301,0.9999999999999998,0.7727715420481603,0.8423782787469334
4,Shai Gilgeous-Alexander,OKC,2023,60,50.0,35.583333333333336,31.4,0.8824355971896956,10.4,20.366666666666667,51.06382978723404,0.8666666666666667,2.466666666666667,35.13513513513514,9.733333333333333,10.766666666666667,90.40247678018576,0.9,3.8833333333333333,4.783333333333333,5.5,2.8833333333333333,1.907514450867052,1.7,1.0,0.5319148936170213,0.6253983428935628,116.45503041647173,113.03224145999064,3.422788956481085,2.716666666666667,156,17.637482452035567,0.9316808426977919,0.7936507936507936,0.906189028551645,0.6705637344650598,0.8291330678762491
5,Luka Doncic,DAL,2023,57,54.385964912280706,36.228070175438596,32.96491228070175,0.9099273607748184,11.035087719298245,22.05263157894737,50.03977724741448,2.7719298245614037,7.947368421052632,34.87858719646799,8.12280701754386,11.035087719298245,73.60890302066773,0.8421052631578947,7.771929824561403,8.614035087719298,8.035087719298245,3.6666666666666665,2.1913875598086126,1.456140350877193,0.49122807017543857,0.5632458233890215,0.6125469434592113,118.09603481624757,115.64593810444879,2.4500967117987784,2.5964912280701755,126,20.860783365570608,0.9552575484778875,0.7460317460317459,0.9394580143456008,0.6380065899971868,0.8280362372969927
6,Damian Lillard,POR,2023,57,45.614035087719294,36.473684210526315,32.21052631578947,0.8831168831168831,9.614035087719298,20.75438596491228,46.3229078613694,4.245614035087719,11.368421052631579,37.34567901234568,8.736842105263158,9.543859649122806,91.54411764705883,0.7543859649122807,3.982456140350877,4.7368421052631575,7.245614035087719,3.3157894736842106,2.185185185185185,0.8771929824561403,0.3157894736842105,0.5655114116652579,0.6454062262718299,119.29187890437287,117.63488707352234,1.6569918308505294,1.894736842105263,87,17.097357039884674,0.9642391506798286,0.7460317460317459,0.9070134824562861,0.6114604441546847,0.8141170446078438
7,Donovan Mitchell,CLE,2023,61,63.934426229508205,35.557377049180324,27.360655737704917,0.7694790225910558,9.672131147540984,20.262295081967213,47.73462783171521,3.5081967213114753,9.327868852459016,37.609841827768015,4.508196721311475,5.147540983606557,87.57961783439491,0.9508196721311475,3.19672131147541,4.147540983606557,4.60655737704918,2.639344262295082,1.7453416149068324,1.5245901639344261,0.3770491803278688,0.563915857605178,0.6072800838330326,115.56075541225243,110.30580377706129,5.254951635191148,2.4262295081967213,272,14.608797789037311,0.9307316745494015,0.8095238095238094,0.7694953361291748,0.7318883572792275,0.8105102059863506
8,Julius Randle,NYK,2023,73,57.534246575342465,35.95890410958904,25.602739726027398,0.712,8.67123287671233,18.794520547945204,46.137026239067055,2.904109589041096,8.383561643835616,34.64052287581699,5.3561643835616435,7.054794520547945,75.92233009708738,1.904109589041096,8.273972602739725,10.178082191780822,4.095890410958904,2.8493150684931505,1.4375,0.6438356164383562,0.2602739726027397,0.5386297376093294,0.5845740022519705,117.88979824895323,115.50255043776168,2.3872478111915427,3.0547945205479454,148,15.11130567186905,0.9454146967497329,0.9999999999999999,0.6999374563623371,0.6359029639552366,0.7999493409170668
9,Jaylen Brown,BOS,2023,60,66.66666666666666,36.233333333333334,26.733333333333334,0.7378104875804968,10.033333333333333,20.466666666666665,49.0228013029316,2.5,7.35,34.01360544217687,4.166666666666667,5.4,77.1604938271605,1.2333333333333334,5.65,6.883333333333334,3.3833333333333333,2.933333333333333,1.1534090909090908,1.1833333333333333,0.43333333333333335,0.5513029315960912,0.5851622694373103,116.4506206896552,111.88096551724136,4.569655172413832,2.683333333333333,193,13.385149425287358,0.9554500113822147,0.7936507936507936,0.7311718565124714,0.7089506849949682,0.7977200748400014
