,Name,Team,Location,Opponent,Date,Result,Mins,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
0,Carsen Edwards,BOS,A,NYK,2021-05-16,L,27,100.0,88.2,11.8,0.0,0.0,0.0,0.0,7.4,3.3,7.1,38.5,38.5,21.5,94.13,2.8
1,Wesley Matthews,LAL,A,NOP,2021-05-16,W,11,95.5,95.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,14.3,66.7,66.7,29.2,95.26,12.6
2,Duncan Robinson,MIA,A,DET,2021-05-16,W,19,124.3,97.4,27.0,6.3,0.0,16.7,0.0,11.8,6.5,0.0,80.0,80.0,12.8,94.32,12.0
3,Langston Galloway,PHX,A,SAS,2021-05-16,W,26,110.7,150.9,-40.2,4.3,0.0,7.7,3.4,0.0,1.9,0.0,41.7,41.7,18.8,101.04,2.2
4,Alize Johnson,BKN,H,CLE,2021-05-16,W,3,100.0,125.0,-25.0,0.0,0.0,0.0,25.0,0.0,14.3,0.0,50.0,50.0,25.0,104.85,7.7
5,Nickeil Alexander-Walker,NOP,H,LAL,2021-05-16,L,37,102.7,103.9,-1.3,20.8,1.25,20.0,2.8,7.7,5.3,16.0,40.0,44.1,23.8,98.64,6.1
6,Bojan Bogdanovic,UTA,A,SAC,2021-05-16,W,30,123.4,92.3,31.1,17.4,1.0,15.4,3.2,15.6,9.5,15.4,40.0,51.0,30.1,102.57,9.3
7,Nic Claxton,BKN,H,CLE,2021-05-16,W,23,97.9,108.2,-10.3,0.0,0.0,0.0,8.7,11.1,10.0,20.0,50.0,50.0,10.0,101.5,4.6
8,Josh Richardson,DAL,A,MIN,2021-05-16,L,22,125.0,129.2,-4.2,22.2,2.0,20.0,7.7,16.7,11.4,10.0,39.3,39.3,27.1,102.7,6.1
9,Armoni Brooks,HOU,A,ATL,2021-05-16,L,34,83.8,124.0,-40.2,0.0,0.0,0.0,0.0,11.1,4.5,5.0,47.4,47.4,23.0,103.9,4.6
10,Javonte Green,CHI,H,MIL,2021-05-16,W,23,131.4,107.8,23.5,4.2,0.0,16.7,0.0,8.7,4.8,0.0,60.0,60.0,9.1,105.34,7.6
11,Kevon Looney,GSW,H,MEM,2021-05-16,W,31,106.5,96.8,9.6,13.6,3.0,33.3,17.2,18.2,17.7,11.1,60.0,60.0,8.1,96.24,10.4
12,Devon Dotson,CHI,H,MIL,2021-05-16,W,21,121.7,95.6,26.2,22.2,0.0,28.6,0.0,8.7,4.5,0.0,55.0,55.0,19.6,101.98,13.3
13,Mike Scott,PHI,H,ORL,2021-05-16,W,25,118.2,119.0,-0.8,18.2,0.0,33.3,0.0,10.5,4.2,0.0,31.3,31.3,13.3,107.76,2.0
14,Drew Eubanks,SAS,H,PHX,2021-05-16,L,9,152.6,100.0,52.6,0.0,0.0,0.0,12.5,18.2,15.8,20.0,50.0,50.0,22.7,108.21,6.5
15,Alec Burks,NYK,H,BOS,2021-05-16,W,25,98.0,96.0,2.0,0.0,0.0,0.0,3.7,17.2,10.7,16.7,85.0,85.0,21.4,95.56,22.1
16,Jarred Vanderbilt,MIN,H,DAL,2021-05-16,W,24,158.3,139.6,18.8,4.3,0.0,12.5,21.7,43.8,30.8,0.0,50.0,50.9,11.9,97.01,10.8
17,Ben McLemore,LAL,A,NOP,2021-05-16,W,2,75.0,66.7,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.55,0.0
