,Name,Team,Season,GP,Win%,Mins,Points,PPM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,AST/TO,STL,BLK,EFG%,TS%,OFFRTG,DEFRTG,NETRTG,PF,Plusminus,PIE
0,Omri Casspi,GSW,2018,1,0.0,4.0,2.0,0.5,0.0,0.0,,0.0,0.0,,2.0,2.0,100.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,,1.1363636363636365,120.0,160.0,-40.0,0.0,-4,11.8
1,Chris Paul,HOU,2018,1,100.0,33.0,4.0,0.12121212121212122,2.0,9.0,22.22222222222222,0.0,4.0,0.0,0.0,0.0,,1.0,7.0,8.0,10.0,1.0,10.0,2.0,1.0,0.2222222222222222,0.2222222222222222,111.0,130.6,-19.599999999999994,4.0,-13,6.8
2,Kevon Looney,GSW,2018,1,0.0,8.0,1.0,0.125,0.0,0.0,,0.0,0.0,,1.0,2.0,50.0,0.0,2.0,2.0,0.0,0.0,,1.0,0.0,,0.5681818181818182,100.0,153.3,-53.30000000000001,2.0,-7,2.5
3,Gordon Hayward,BOS,2018,1,0.0,5.0,2.0,0.4,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.5,0.5,109.1,81.8,27.299999999999997,1.0,3,4.8
4,Dennis Smith Jr.,DAL,2018,1,0.0,30.0,16.0,0.5333333333333333,6.0,12.0,50.0,1.0,4.0,25.0,3.0,4.0,75.0,2.0,1.0,3.0,10.0,3.0,3.3333333333333335,0.0,0.0,0.5416666666666666,0.5813953488372093,106.2,98.5,7.700000000000003,2.0,3,13.2
5,Cheick Diallo,NOP,2018,1,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,100.0,-100.0,0.0,-2,0.0
6,Cody Zeller,CHA,2018,1,0.0,23.0,8.0,0.34782608695652173,3.0,5.0,60.0,0.0,0.0,,2.0,2.0,100.0,1.0,8.0,9.0,0.0,2.0,0.0,0.0,1.0,0.6,0.6802721088435374,70.6,78.4,-7.800000000000011,2.0,-4,17.2
7,DeAndre' Bembry,ATL,2018,1,100.0,18.0,6.0,0.3333333333333333,3.0,6.0,50.0,0.0,1.0,0.0,0.0,0.0,,1.0,5.0,6.0,1.0,2.0,0.5,2.0,1.0,0.5,0.5,126.8,97.5,29.299999999999997,0.0,13,11.6
8,Marcus Smart,BOS,2018,2,0.0,33.5,12.0,0.3582089552238806,4.5,14.5,31.03448275862069,1.5,5.5,27.27272727272727,1.5,4.5,33.33333333333333,1.5,6.5,8.0,3.5,2.5,1.4,2.5,1.0,0.3620689655172414,0.3640776699029126,95.36716417910446,104.52388059701492,-9.15671641791046,3.0,-12,6.32089552238806
9,Jason Smith,WAS,2018,1,100.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,120.0,93.3,26.700000000000003,1.0,4,-4.2
10,Semi Ojeleye,BOS,2018,2,0.0,10.5,1.5,0.14285714285714285,0.5,2.0,25.0,0.5,1.5,33.33333333333333,0.0,0.0,,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.375,0.375,74.18571428571428,97.6,-23.41428571428571,0.5,-9,-2.6571428571428566
11,Jeremy Lin,BKN,2018,1,0.0,25.0,18.0,0.72,5.0,12.0,41.66666666666667,1.0,2.0,50.0,7.0,7.0,100.0,0.0,0.0,0.0,4.0,3.0,1.3333333333333333,0.0,0.0,0.4583333333333333,0.596816976127321,109.5,119.0,-9.5,3.0,-6,7.1
12,Devin Harris,DAL,2018,1,0.0,16.0,10.0,0.625,4.0,9.0,44.44444444444444,1.0,5.0,20.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.5,0.5296610169491526,117.6,105.7,11.899999999999991,1.0,3,5.9
13,Bam Adebayo,MIA,2018,1,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,108.3,83.3,25.0,2.0,3,-15.8
14,Aaron Gordon,ORL,2018,1,100.0,34.0,14.0,0.4117647058823529,4.0,13.0,30.76923076923077,1.0,2.0,50.0,5.0,6.0,83.33333333333334,2.0,7.0,9.0,3.0,1.0,3.0,0.0,2.0,0.34615384615384615,0.4475703324808184,117.9,105.1,12.800000000000011,4.0,10,7.1
15,Meyers Leonard,POR,2018,1,100.0,11.0,6.0,0.5454545454545454,2.0,4.0,50.0,0.0,1.0,0.0,2.0,4.0,50.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5208333333333334,87.0,95.5,-8.5,1.0,-1,13.0
16,Derrick White,SAS,2018,1,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,-2,
17,Dāvis Bertāns,SAS,2018,1,100.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,40.0,111.1,-71.1,0.0,-6,9.5
18,Hassan Whiteside,MIA,2018,1,0.0,36.0,26.0,0.7222222222222222,11.0,17.0,64.70588235294117,1.0,1.0,100.0,3.0,3.0,100.0,5.0,17.0,22.0,1.0,1.0,1.0,0.0,1.0,0.6764705882352942,0.7096069868995633,105.1,111.4,-6.300000000000011,1.0,-5,24.1
19,Myles Turner,IND,2018,1,100.0,34.0,21.0,0.6176470588235294,8.0,13.0,61.53846153846154,1.0,3.0,33.33333333333333,4.0,4.0,100.0,3.0,11.0,14.0,2.0,1.0,2.0,0.0,4.0,0.6538461538461539,0.7113821138211383,123.5,110.7,12.799999999999997,3.0,12,16.1
20,JaMychal Green,MEM,2018,1,100.0,4.0,2.0,0.5,1.0,2.0,50.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,inf,0.0,0.0,0.5,0.5,100.0,112.5,-12.5,1.0,0,11.8
21,Quincy Pondexter,CHI,2018,1,0.0,12.0,8.0,0.6666666666666666,4.0,6.0,66.66666666666666,0.0,1.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.6666666666666666,0.6666666666666666,100.0,117.2,-17.200000000000003,3.0,-5,9.0
22,Ryan Arcidiacono,CHI,2018,1,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,inf,0.0,0.0,0.0,0.0,75.0,150.0,-75.0,1.0,-9,-8.2
23,Willy Hernangomez,NYK,2018,1,0.0,4.0,3.0,0.75,1.0,1.0,100.0,0.0,0.0,,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0416666666666667,57.1,57.1,0.0,0.0,0,-75.0
24,Frank Ntilikina,NYK,2018,1,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,76.5,83.3,-6.799999999999997,2.0,-2,-21.1
25,Damyean Dotson,NYK,2018,1,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,80.0,66.7,13.299999999999997,0.0,0,-100.0
26,Antonio Blakeney,CHI,2018,1,0.0,1.0,2.0,2.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,200.0,66.7,133.3,0.0,4,22.2
27,Alfonzo McKinnie,TOR,2018,1,100.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,66.7,200.0,-133.3,0.0,-4,0.0
28,Luol Deng,LAL,2018,1,0.0,13.0,2.0,0.15384615384615385,1.0,2.0,50.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,89.7,110.0,-20.299999999999997,0.0,-7,3.9
29,Dakari Johnson,OKC,2018,1,100.0,3.0,4.0,1.3333333333333333,2.0,3.0,66.66666666666666,0.0,0.0,,0.0,0.0,,3.0,1.0,4.0,0.0,0.0,,1.0,0.0,0.6666666666666666,0.6666666666666666,66.7,80.0,-13.299999999999997,0.0,0,650.0
30,Lance Thomas,NYK,2018,1,0.0,15.0,2.0,0.13333333333333333,1.0,4.0,25.0,0.0,2.0,0.0,0.0,0.0,,2.0,1.0,3.0,1.0,2.0,0.5,0.0,0.0,0.25,0.25,52.9,117.1,-64.19999999999999,4.0,-23,-12.5
31,Dwight Howard,CHA,2018,2,50.0,32.0,15.0,0.46875,6.5,10.5,61.904761904761905,0.0,0.0,,2.0,5.0,40.0,2.5,12.5,15.0,0.5,4.5,0.1111111111111111,0.5,1.5,0.6190476190476191,0.5905511811023623,116.35230769230769,93.40769230769232,22.944615384615375,3.5,31,14.106153846153845
32,Kyrie Irving,BOS,2018,3,33.33333333333333,38.0,20.0,0.5263157894736842,7.333333333333333,19.666666666666668,37.28813559322034,2.3333333333333335,6.666666666666667,35.0,3.0,3.6666666666666665,81.81818181818183,1.6666666666666667,3.0,4.666666666666667,5.666666666666667,3.3333333333333335,1.7,2.6666666666666665,0.0,0.4322033898305085,0.4699248120300752,98.76842105263157,101.2684210526316,-2.5000000000000284,3.0,-2,10.381578947368421
33,Dwayne Bacon,CHA,2018,2,50.0,19.5,7.0,0.358974358974359,2.5,5.0,50.0,2.0,3.5,57.14285714285714,0.0,0.0,,0.0,6.5,6.5,1.0,2.0,0.5,0.5,0.0,0.7,0.7,94.89000000000001,97.705,-2.8149999999999835,1.0,-2,13.5825
34,Anthony Davis,NOP,2018,2,0.0,40.0,34.0,0.85,12.0,22.0,54.54545454545454,2.0,3.0,66.66666666666666,8.0,11.0,72.72727272727273,6.0,10.0,16.0,2.5,4.5,0.5555555555555556,1.5,1.0,0.5909090909090909,0.6333830104321908,98.7,108.19999999999999,-9.499999999999986,3.0,-20,21.15
35,Terry Rozier,BOS,2018,3,33.33333333333333,25.666666666666668,12.666666666666666,0.4935064935064935,4.666666666666667,9.666666666666666,48.275862068965516,2.0,4.666666666666667,42.857142857142854,1.3333333333333333,2.3333333333333335,57.14285714285714,0.3333333333333333,5.333333333333333,5.666666666666667,3.3333333333333335,0.6666666666666666,5.0,2.0,0.0,0.5862068965517241,0.5922693266832918,98.89358974358974,99.9128205128205,-1.0192307692307594,2.0,0,21.00769230769231
36,Lonzo Ball,LAL,2018,2,50.0,33.0,16.0,0.48484848484848486,6.5,16.5,39.39393939393939,2.5,6.0,41.66666666666667,0.5,2.0,25.0,1.0,9.0,10.0,6.5,3.0,2.1666666666666665,1.0,0.5,0.4696969696969697,0.4602991944764097,97.51641791044776,104.11492537313433,-6.59850746268657,2.5,-13,11.81044776119403
37,Brandon Ingram,LAL,2018,2,50.0,34.0,18.5,0.5441176470588235,6.0,14.5,41.37931034482759,1.5,2.5,60.0,5.0,6.5,76.92307692307693,0.0,3.5,3.5,2.5,1.5,1.6666666666666667,0.5,0.5,0.46551724137931033,0.5328341013824885,103.46176470588235,99.38823529411765,4.073529411764696,3.5,6,7.823529411764706
38,Karl-Anthony Towns,MIN,2018,2,50.0,33.5,19.0,0.5671641791044776,7.5,13.5,55.55555555555556,0.0,1.0,0.0,4.0,5.0,80.0,1.0,10.5,11.5,1.0,1.5,0.6666666666666666,1.5,1.5,0.5555555555555556,0.6050955414012739,107.5220588235294,110.77647058823528,-3.2544117647058783,3.5,-8,16.00735294117647
39,DeMarcus Cousins,NOP,2018,2,0.0,35.5,31.5,0.8873239436619719,10.0,22.0,45.45454545454545,3.0,8.5,35.294117647058826,8.5,10.5,80.95238095238095,3.0,9.0,12.0,3.5,5.5,0.6363636363636364,1.5,4.0,0.5227272727272727,0.5916604057099925,113.24225352112676,103.856338028169,9.38591549295775,4.5,13,21.007042253521128
40,Otto Porter Jr.,WAS,2018,2,100.0,35.5,19.0,0.5352112676056338,8.0,15.0,53.333333333333336,1.0,3.5,28.57142857142857,2.0,2.0,100.0,2.0,6.5,8.5,1.5,0.5,3.0,3.5,1.0,0.5666666666666667,0.5982367758186398,113.30704225352113,102.10140845070421,11.20563380281692,2.5,20,16.27887323943662
41,Andrew Wiggins,MIN,2018,2,50.0,32.5,23.5,0.7230769230769231,8.0,16.5,48.484848484848484,3.0,6.0,50.0,4.5,7.5,60.0,2.0,3.0,5.0,0.5,1.5,0.3333333333333333,0.0,0.0,0.5757575757575758,0.5934343434343434,100.76923076923077,110.65384615384616,-9.884615384615387,0.5,-15,10.746153846153845
42,Kemba Walker,CHA,2018,2,50.0,36.5,25.0,0.684931506849315,6.0,13.0,46.15384615384615,2.5,5.5,45.45454545454545,10.5,12.5,84.0,1.0,4.0,5.0,6.5,4.0,1.625,0.5,0.0,0.5576923076923077,0.6756756756756757,109.5890410958904,93.56712328767122,16.02191780821917,1.5,24,18.175342465753424
43,Brook Lopez,LAL,2018,2,50.0,30.5,19.5,0.639344262295082,6.5,14.5,44.827586206896555,1.5,5.0,30.0,5.0,6.0,83.33333333333334,2.5,6.0,8.5,2.0,2.0,1.0,1.0,0.5,0.5,0.5688448074679113,104.3967213114754,95.64098360655737,8.755737704918033,3.5,13,13.19672131147541
44,Kent Bazemore,ATL,2018,2,50.0,26.5,9.0,0.33962264150943394,4.0,8.0,50.0,1.0,1.5,66.66666666666666,0.0,0.0,,0.5,2.0,2.5,2.5,1.0,2.5,2.0,0.0,0.5625,0.5625,98.2509433962264,108.08490566037736,-9.833962264150955,2.0,-10,9.349056603773585
45,Trevor Booker,BKN,2018,2,50.0,25.0,18.5,0.74,6.5,10.5,61.904761904761905,0.0,0.5,0.0,5.5,7.5,73.33333333333333,5.5,5.0,10.5,1.0,2.0,0.5,0.0,0.0,0.6190476190476191,0.6702898550724637,113.28,111.60000000000001,1.6799999999999926,2.5,1,15.46
46,John Wall,WAS,2018,2,100.0,35.5,27.0,0.7605633802816901,9.0,20.0,45.0,0.5,3.0,16.666666666666664,8.5,10.0,85.0,1.0,3.0,4.0,9.0,5.0,1.8,0.5,2.0,0.4625,0.5532786885245902,113.9676056338028,101.04084507042253,12.92676056338027,1.5,23,16.14788732394366
47,Jodie Meeks,WAS,2018,2,100.0,17.0,11.5,0.6764705882352942,2.5,6.5,38.46153846153847,1.5,2.5,60.0,5.0,5.0,100.0,0.0,1.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.6609195402298851,101.46176470588236,114.77941176470588,-13.317647058823525,0.0,-11,12.311764705882354
48,Jeff Teague,MIN,2018,2,50.0,29.0,10.5,0.3620689655172414,3.0,8.0,37.5,0.5,2.5,20.0,4.0,4.5,88.88888888888889,0.0,2.0,2.0,5.0,2.0,2.5,1.5,0.5,0.40625,0.5260521042084169,99.14655172413794,110.23448275862069,-11.08793103448275,1.5,-16,8.774137931034483
49,Taj Gibson,MIN,2018,2,50.0,26.5,5.0,0.18867924528301888,2.5,8.0,31.25,0.0,1.5,0.0,0.0,0.0,,2.5,3.5,6.0,2.0,1.5,1.3333333333333333,1.5,0.0,0.3125,0.3125,99.06792452830189,110.2622641509434,-11.194339622641508,2.0,-13,5.052830188679246
50,Larry Nance Jr.,LAL,2018,2,50.0,26.0,14.0,0.5384615384615384,6.0,10.5,57.14285714285714,0.0,0.5,0.0,2.0,3.0,66.66666666666666,2.0,7.0,9.0,0.5,3.0,0.16666666666666666,1.0,1.5,0.5714285714285714,0.5922165820642978,102.84615384615384,89.20384615384614,13.642307692307696,3.5,14,13.696153846153845
51,Ian Mahinmi,WAS,2018,2,100.0,13.5,5.5,0.4074074074074074,2.5,3.0,83.33333333333334,0.0,0.0,,0.5,1.0,50.0,2.0,1.5,3.5,1.5,0.5,3.0,0.5,0.5,0.8333333333333334,0.7994186046511628,98.36296296296295,115.67777777777778,-17.314814814814824,2.5,-12,12.296296296296294
52,DeMarre Carroll,BKN,2018,2,50.0,28.0,13.5,0.48214285714285715,5.0,10.5,47.61904761904761,2.0,4.5,44.44444444444444,1.5,2.0,75.0,1.5,7.0,8.5,2.0,1.5,1.3333333333333333,1.5,0.0,0.5714285714285714,0.5931458699472759,103.0,114.05000000000001,-11.050000000000011,2.0,-15,12.15
53,Aron Baynes,BOS,2018,3,33.33333333333333,16.333333333333332,6.666666666666667,0.40816326530612246,3.0,4.333333333333333,69.23076923076923,0.0,0.0,,0.6666666666666666,1.6666666666666667,40.0,2.6666666666666665,2.3333333333333335,5.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.6923076923076923,0.6578947368421053,81.04897959183673,106.43469387755101,-25.385714285714286,4.666666666666667,-24,8.46938775510204
54,Nemanja Bjelica,MIN,2018,2,50.0,13.0,9.5,0.7307692307692307,3.5,6.5,53.84615384615385,1.5,2.0,75.0,1.0,1.0,100.0,1.0,3.0,4.0,0.5,0.5,1.0,0.0,0.0,0.6538461538461539,0.6844380403458213,134.0,70.3,63.7,1.5,29,19.45
55,Ersan Ilyasova,ATL,2018,2,50.0,22.5,3.0,0.13333333333333333,1.0,4.0,25.0,0.0,2.0,0.0,1.0,1.0,100.0,2.0,4.0,6.0,0.5,0.5,1.0,1.0,0.5,0.25,0.33783783783783783,99.11333333333333,110.70666666666666,-11.593333333333334,5.0,-15,0.7933333333333332
56,Mike Scott,WAS,2018,2,100.0,18.0,7.5,0.4166666666666667,3.0,5.0,60.0,0.5,1.5,33.33333333333333,1.0,1.0,100.0,0.0,1.0,1.0,0.5,0.5,1.0,0.0,0.5,0.65,0.6893382352941176,100.05833333333334,121.80000000000001,-21.741666666666674,0.0,-19,9.05
57,Dewayne Dedmon,ATL,2018,2,50.0,25.5,10.0,0.39215686274509803,4.0,7.5,53.333333333333336,0.5,0.5,100.0,1.5,2.0,75.0,2.0,5.0,7.0,1.5,2.5,0.6,0.5,2.0,0.5666666666666667,0.5966587112171837,99.17843137254901,111.35882352941175,-12.180392156862737,2.0,-12,11.760784313725487
58,Jimmy Butler,MIN,2018,2,50.0,37.0,12.5,0.33783783783783783,5.0,13.0,38.46153846153847,1.0,2.5,40.0,1.5,1.5,100.0,0.0,5.5,5.5,3.0,3.5,0.8571428571428571,3.0,0.0,0.4230769230769231,0.45754026354319177,99.31486486486486,111.38108108108108,-12.066216216216219,2.0,-21,7.814864864864863
