,Date,Team,Name
0,12/17/2022,POR,Justise Winslow
1,12/17/2022,POR,Josh Hart
2,12/17/2022,POR,Shaedon Sharpe
3,12/17/2022,POR,Drew Eubanks
4,12/17/2022,POR,Keon Johnson
5,12/17/2022,POR,Jabari Walker
6,12/17/2022,POR,Greg Brown III
7,12/17/2022,POR,Anfernee Simons
8,12/17/2022,POR,Trendon Watford
9,12/17/2022,POR,Jusuf Nurkic
10,12/17/2022,POR,Damian Lillard
11,12/17/2022,POR,Gary Payton II
12,12/17/2022,POR,Jerami Grant
14,12/17/2022,POR,Nassir Little
17,12/17/2022,LAC,Brandon Boston Jr.
18,12/17/2022,LAC,Marcus Morris Sr.
19,12/17/2022,LAC,Amir Coffey
20,12/17/2022,LAC,Moussa Diabate
21,12/17/2022,LAC,Moses Brown
22,12/17/2022,LAC,Nicolas Batum
23,12/17/2022,LAC,Luke Kennard
24,12/17/2022,LAC,Terance Mann
25,12/17/2022,LAC,Kawhi Leonard
26,12/17/2022,LAC,John Wall
27,12/17/2022,LAC,Robert Covington
28,12/17/2022,LAC,Jason Preston
29,12/17/2022,LAC,Paul George
30,12/17/2022,LAC,Reggie Jackson
31,12/17/2022,LAC,Norman Powell
32,12/17/2022,LAC,Ivica Zubac
33,12/17/2022,CLE,Jarrett Allen
34,12/17/2022,CLE,Kevin Love
35,12/17/2022,CLE,Raul Neto
36,12/17/2022,CLE,Evan Mobley
37,12/17/2022,CLE,Caris LeVert
38,12/17/2022,CLE,Cedi Osman
39,12/17/2022,CLE,Darius Garland
40,12/17/2022,CLE,Donovan Mitchell
41,12/17/2022,CLE,Isaac Okoro
42,12/17/2022,CLE,Robin Lopez
43,12/17/2022,CLE,Lamar Stevens
44,12/17/2022,CLE,Mamadi Diakite
45,12/17/2022,CLE,Isaiah Mobley
46,12/17/2022,CLE,Ricky Rubio
48,12/17/2022,CLE,Dean Wade
49,12/17/2022,CLE,Dylan Windler
50,12/17/2022,NOP,Herbert Jones
51,12/17/2022,NOP,Jose Alvarado
52,12/17/2022,NOP,Dyson Daniels
53,12/17/2022,NOP,Naji Marshall
54,12/17/2022,NOP,Larry Nance Jr.
55,12/17/2022,NOP,Trey Murphy III
56,12/17/2022,NOP,Devonte' Graham
57,12/17/2022,NOP,Zion Williamson
58,12/17/2022,NOP,Jonas Valanciunas
59,12/17/2022,NOP,CJ McCollum
60,12/17/2022,NOP,Jaxson Hayes
61,12/17/2022,NOP,Willy Hernangomez
62,12/17/2022,NOP,Kira Lewis Jr.
63,12/17/2022,NOP,Garrett Temple
65,12/17/2022,NOP,Brandon Ingram
66,12/17/2022,NOP,E.J. Liddell
67,12/17/2022,NOP,Dereon Seabron
68,12/17/2022,SAS,Zach Collins
69,12/17/2022,SAS,Doug McDermott
70,12/17/2022,SAS,Devin Vassell
71,12/17/2022,SAS,Charles Bassey
72,12/17/2022,SAS,Jakob Poeltl
73,12/17/2022,SAS,Malaki Branham
74,12/17/2022,SAS,Keita Bates-Diop
75,12/17/2022,SAS,Keldon Johnson
76,12/17/2022,SAS,Stanley Johnson
77,12/17/2022,SAS,Isaiah Roby
78,12/17/2022,SAS,Jeremy Sochan
79,12/17/2022,SAS,Tre Jones
80,12/17/2022,SAS,Gorgui Dieng
81,12/17/2022,SAS,Dominick Barlow
84,12/17/2022,SAS,Romeo Langford
86,12/17/2022,SAS,Josh Richardson
87,12/17/2022,SAS,Blake Wesley
88,12/17/2022,OKC,Mike Muscala
89,12/17/2022,OKC,Aaron Wiggins
90,12/17/2022,OKC,Kenrich Williams
91,12/17/2022,OKC,Jaylin Williams
92,12/17/2022,OKC,Eugene Omoruyi
93,12/17/2022,OKC,Jalen Williams
94,12/17/2022,OKC,Isaiah Joe
95,12/17/2022,OKC,Lindy Waters III
96,12/17/2022,OKC,Aleksej Pokusevski
97,12/17/2022,OKC,Luguentz Dort
98,12/17/2022,OKC,Tre Mann
99,12/17/2022,OKC,Darius Bazley
100,12/17/2022,OKC,Ousmane Dieng
101,12/17/2022,OKC,Josh Giddey
102,12/17/2022,OKC,Shai Gilgeous-Alexander
103,12/17/2022,OKC,Chet Holmgren
104,12/17/2022,OKC,Jeremiah Robinson-Earl
106,12/17/2022,DAL,JaVale McGee
107,12/17/2022,DAL,Tim Hardaway Jr.
108,12/17/2022,DAL,Theo Pinson
109,12/17/2022,DAL,Frank Ntilikina
110,12/17/2022,DAL,Jaden Hardy
111,12/17/2022,DAL,Christian Wood
112,12/17/2022,DAL,Kemba Walker
113,12/17/2022,DAL,Dorian Finney-Smith
114,12/17/2022,DAL,Reggie Bullock
115,12/17/2022,DAL,Davis Bertans
116,12/17/2022,DAL,Dwight Powell
118,12/17/2022,DAL,Spencer Dinwiddie
119,12/17/2022,DAL,Luka Doncic
120,12/17/2022,DAL,Tyler Dorsey
121,12/17/2022,DAL,Josh Green
122,12/17/2022,DAL,Maxi Kleber
124,12/17/2022,DAL,McKinley Wright IV
125,12/17/2022,MEM,Santi Aldama
126,12/17/2022,MEM,John Konchar
127,12/17/2022,MEM,Jaren Jackson Jr.
128,12/17/2022,MEM,Ziaire Williams
129,12/17/2022,MEM,Ja Morant
130,12/17/2022,MEM,David Roddy
131,12/17/2022,MEM,Steven Adams
132,12/17/2022,MEM,Kennedy Chandler
133,12/17/2022,MEM,Dillon Brooks
134,12/17/2022,MEM,Tyus Jones
135,12/17/2022,MEM,Brandon Clarke
136,12/17/2022,MEM,Xavier Tillman
137,12/17/2022,MEM,Desmond Bane
138,12/17/2022,MEM,Danny Green
139,12/17/2022,MEM,Jake LaRavia
140,12/17/2022,MEM,Kenneth Lofton Jr.
141,12/17/2022,MEM,Vince Williams Jr.
142,12/17/2022,PHX,Damion Lee
143,12/17/2022,PHX,Josh Okogie
144,12/17/2022,PHX,Jock Landale
145,12/17/2022,PHX,Landry Shamet
146,12/17/2022,PHX,Bismack Biyombo
147,12/17/2022,PHX,Mikal Bridges
148,12/17/2022,PHX,Ish Wainright
149,12/17/2022,PHX,Torrey Craig
150,12/17/2022,PHX,Chris Paul
151,12/17/2022,PHX,Devin Booker
152,12/17/2022,PHX,Dario Saric
153,12/17/2022,PHX,Deandre Ayton
154,12/17/2022,PHX,Jae Crowder
155,12/17/2022,PHX,Cameron Johnson
156,12/17/2022,PHX,Cameron Payne
157,12/17/2022,PHX,Duane Washington Jr.
158,12/17/2022,MIA,Orlando Robinson
159,12/17/2022,MIA,Haywood Highsmith
160,12/17/2022,MIA,Dewayne Dedmon
161,12/17/2022,MIA,Nikola Jovic
162,12/17/2022,MIA,Tyler Herro
163,12/17/2022,MIA,Bam Adebayo
164,12/17/2022,MIA,Victor Oladipo
165,12/17/2022,MIA,Jimmy Butler
166,12/17/2022,MIA,Max Strus
167,12/17/2022,MIA,Duncan Robinson
168,12/17/2022,MIA,Udonis Haslem
171,12/17/2022,MIA,Jamal Cain
177,12/17/2022,MIA,Kyle Lowry
178,12/17/2022,MIA,Caleb Martin
183,12/17/2022,MIA,Gabe Vincent
184,12/17/2022,MIA,Omer Yurtseven
185,12/17/2022,HOU,Bruno Fernando
186,12/17/2022,HOU,Alperen Sengun
187,12/17/2022,HOU,Usman Garuba
188,12/17/2022,HOU,TyTy Washington Jr.
189,12/17/2022,HOU,Jabari Smith Jr.
190,12/17/2022,HOU,Kevin Porter Jr.
191,12/17/2022,HOU,Jalen Green
192,12/17/2022,HOU,Boban Marjanovic
193,12/17/2022,HOU,Eric Gordon
194,12/17/2022,HOU,Daishen Nix
195,12/17/2022,HOU,Tari Eason
196,12/17/2022,HOU,Kenyon Martin Jr.
197,12/17/2022,HOU,Josh Christopher
198,12/17/2022,HOU,Darius Days
200,12/17/2022,HOU,Trevor Hudgins
201,12/17/2022,HOU,Garrison Mathews
203,12/17/2022,HOU,Jae'Sean Tate
204,12/17/2022,MIL,Grayson Allen
205,12/17/2022,MIL,AJ Green
206,12/17/2022,MIL,Pat Connaughton
207,12/17/2022,MIL,Sandro Mamukelashvili
208,12/17/2022,MIL,George Hill
209,12/17/2022,MIL,Jevon Carter
210,12/17/2022,MIL,Wesley Matthews
211,12/17/2022,MIL,Serge Ibaka
212,12/17/2022,MIL,MarJon Beauchamp
213,12/17/2022,MIL,Jordan Nwora
214,12/17/2022,MIL,Bobby Portis
215,12/17/2022,MIL,Thanasis Antetokounmpo
216,12/17/2022,MIL,Jrue Holiday
217,12/17/2022,MIL,Brook Lopez
218,12/17/2022,MIL,Giannis Antetokounmpo
221,12/17/2022,MIL,Joe Ingles
222,12/17/2022,MIL,Khris Middleton
223,12/17/2022,UTA,Mike Conley
224,12/17/2022,UTA,Ochai Agbaji
225,12/17/2022,UTA,Malik Beasley
226,12/17/2022,UTA,Jarred Vanderbilt
227,12/17/2022,UTA,Lauri Markkanen
228,12/17/2022,UTA,Simone Fontecchio
229,12/17/2022,UTA,Rudy Gay
230,12/17/2022,UTA,Walker Kessler
231,12/17/2022,UTA,Leandro Bolmaro
232,12/17/2022,UTA,Talen Horton-Tucker
233,12/17/2022,UTA,Udoka Azubuike
234,12/17/2022,UTA,Nickeil Alexander-Walker
235,12/17/2022,UTA,Jordan Clarkson
236,12/17/2022,UTA,Kelly Olynyk
237,12/17/2022,UTA,Micah Potter
239,12/17/2022,UTA,Johnny Juzang
240,12/17/2022,UTA,Collin Sexton
241,12/17/2022,WAS,Corey Kispert
242,12/17/2022,WAS,Kyle Kuzma
243,12/17/2022,WAS,Deni Avdija
244,12/17/2022,WAS,Anthony Gill
245,12/17/2022,WAS,Daniel Gafford
246,12/17/2022,WAS,Kristaps Porzingis
247,12/17/2022,WAS,Will Barton
248,12/17/2022,WAS,Jordan Goodwin
249,12/17/2022,WAS,Monte Morris
250,12/17/2022,WAS,Vernon Carey Jr.
251,12/17/2022,WAS,Johnny Davis
252,12/17/2022,WAS,Devon Dotson
253,12/17/2022,WAS,Taj Gibson
254,12/17/2022,WAS,Bradley Beal
255,12/17/2022,WAS,Rui Hachimura
256,12/17/2022,WAS,Isaiah Todd
257,12/17/2022,WAS,Delon Wright
