,Date,Team,Name
0,03/08/2023,POR,Shaedon Sharpe
1,03/08/2023,POR,Matisse Thybulle
2,03/08/2023,POR,Jabari Walker
3,03/08/2023,POR,Jerami Grant
4,03/08/2023,POR,Trendon Watford
5,03/08/2023,POR,Kevin Knox II
6,03/08/2023,POR,Jusuf Nurkic
7,03/08/2023,POR,Cam Reddish
8,03/08/2023,POR,Nassir Little
9,03/08/2023,POR,Drew Eubanks
10,03/08/2023,POR,Keon Johnson
11,03/08/2023,POR,Damian Lillard
12,03/08/2023,POR,Ryan Arcidiacono
13,03/08/2023,POR,Ibou Badji
14,03/08/2023,POR,John Butler Jr.
16,03/08/2023,POR,Anfernee Simons
17,03/08/2023,POR,Justise Winslow
18,03/08/2023,LAC,Eric Gordon
19,03/08/2023,LAC,Terance Mann
20,03/08/2023,LAC,Russell Westbrook
21,03/08/2023,LAC,Marcus Morris Sr.
22,03/08/2023,LAC,Nicolas Batum
23,03/08/2023,LAC,Paul George
24,03/08/2023,LAC,Kawhi Leonard
25,03/08/2023,LAC,Ivica Zubac
26,03/08/2023,LAC,Mason Plumlee
27,03/08/2023,LAC,Amir Coffey
28,03/08/2023,LAC,Robert Covington
29,03/08/2023,LAC,Bones Hyland
30,03/08/2023,LAC,Brandon Boston Jr.
31,03/08/2023,LAC,Moussa Diabate
32,03/08/2023,LAC,Xavier Moon
33,03/08/2023,LAC,Norman Powell
34,03/08/2023,LAC,Jason Preston
35,03/08/2023,CLE,Isaac Okoro
36,03/08/2023,CLE,Caris LeVert
37,03/08/2023,CLE,Lamar Stevens
38,03/08/2023,CLE,Darius Garland
39,03/08/2023,CLE,Ricky Rubio
40,03/08/2023,CLE,Jarrett Allen
41,03/08/2023,CLE,Evan Mobley
42,03/08/2023,CLE,Donovan Mitchell
43,03/08/2023,CLE,Danny Green
44,03/08/2023,CLE,Robin Lopez
45,03/08/2023,CLE,Sam Merrill
46,03/08/2023,CLE,Raul Neto
47,03/08/2023,CLE,Cedi Osman
48,03/08/2023,CLE,Dean Wade
49,03/08/2023,CLE,Mamadi Diakite
50,03/08/2023,CLE,Isaiah Mobley
51,03/08/2023,CLE,Dylan Windler
52,03/08/2023,CHI,Patrick Williams
53,03/08/2023,CHI,Derrick Jones Jr.
54,03/08/2023,CHI,Ayo Dosunmu
55,03/08/2023,CHI,Dalen Terry
56,03/08/2023,CHI,Alex Caruso
57,03/08/2023,CHI,DeMar DeRozan
58,03/08/2023,CHI,Patrick Beverley
59,03/08/2023,CHI,Andre Drummond
60,03/08/2023,CHI,Coby White
61,03/08/2023,CHI,Zach LaVine
62,03/08/2023,CHI,Nikola Vucevic
63,03/08/2023,CHI,Lonzo Ball
64,03/08/2023,CHI,Javonte Green
65,03/08/2023,CHI,Carlik Jones
66,03/08/2023,CHI,Justin Lewis
67,03/08/2023,CHI,Marko Simonovic
