,Date,Team,Name
0,11/01/2022,CHI,Nikola Vucevic
1,11/01/2022,CHI,Ayo Dosunmu
2,11/01/2022,CHI,DeMar DeRozan
3,11/01/2022,CHI,Goran Dragic
4,11/01/2022,CHI,Patrick Williams
5,11/01/2022,CHI,Derrick Jones Jr.
6,11/01/2022,CHI,Zach LaVine
7,11/01/2022,CHI,Alex Caruso
8,11/01/2022,CHI,Javonte Green
9,11/01/2022,CHI,Tony Bradley
10,11/01/2022,CHI,Malcolm Hill
11,11/01/2022,CHI,Marko Simonovic
12,11/01/2022,CHI,Dalen Terry
13,11/01/2022,CHI,Kostas Antetokounmpo
14,11/01/2022,CHI,Lonzo Ball
16,11/01/2022,CHI,Andre Drummond
18,11/01/2022,CHI,Coby White
19,11/01/2022,OKC,Luguentz Dort
20,11/01/2022,OKC,Aaron Wiggins
21,11/01/2022,OKC,Josh Giddey
22,11/01/2022,OKC,Ousmane Dieng
23,11/01/2022,OKC,Jeremiah Robinson-Earl
24,11/01/2022,OKC,Tre Mann
25,11/01/2022,OKC,Darius Bazley
26,11/01/2022,OKC,Aleksej Pokusevski
27,11/01/2022,OKC,Jalen Williams
28,11/01/2022,OKC,Isaiah Joe
29,11/01/2022,OKC,Shai Gilgeous-Alexander
30,11/01/2022,OKC,Mike Muscala
31,11/01/2022,OKC,Jaylin Williams
32,11/01/2022,OKC,Kenrich Williams
34,11/01/2022,OKC,Chet Holmgren
35,11/01/2022,OKC,Eugene Omoruyi
36,11/01/2022,OKC,Lindy Waters III
38,11/01/2022,PHX,Cameron Payne
39,11/01/2022,PHX,Devin Booker
40,11/01/2022,PHX,Bismack Biyombo
41,11/01/2022,PHX,Mikal Bridges
42,11/01/2022,PHX,Dario Saric
43,11/01/2022,PHX,Landry Shamet
44,11/01/2022,PHX,Jock Landale
45,11/01/2022,PHX,Torrey Craig
46,11/01/2022,PHX,Damion Lee
47,11/01/2022,PHX,Cameron Johnson
48,11/01/2022,PHX,Chris Paul
49,11/01/2022,PHX,Josh Okogie
50,11/01/2022,PHX,Duane Washington Jr.
51,11/01/2022,PHX,Deandre Ayton
53,11/01/2022,PHX,Jae Crowder
54,11/01/2022,PHX,Ish Wainright
55,11/01/2022,ORL,Jalen Suggs
56,11/01/2022,ORL,Caleb Houstan
57,11/01/2022,ORL,R.J. Hampton
58,11/01/2022,ORL,Paolo Banchero
59,11/01/2022,ORL,Chuma Okeke
60,11/01/2022,ORL,Franz Wagner
61,11/01/2022,ORL,Bol Bol
62,11/01/2022,ORL,Mo Bamba
63,11/01/2022,ORL,Kevon Harris
64,11/01/2022,ORL,Terrence Ross
65,11/01/2022,ORL,Wendell Carter Jr.
66,11/01/2022,ORL,Admiral Schofield
67,11/01/2022,ORL,Cole Anthony
68,11/01/2022,ORL,Markelle Fultz
69,11/01/2022,ORL,Gary Harris
70,11/01/2022,ORL,Jonathan Isaac
72,11/01/2022,ORL,Moritz Wagner
73,11/01/2022,MIA,Dewayne Dedmon
74,11/01/2022,MIA,Kyle Lowry
75,11/01/2022,MIA,Duncan Robinson
76,11/01/2022,MIA,Max Strus
77,11/01/2022,MIA,Tyler Herro
78,11/01/2022,MIA,Jimmy Butler
79,11/01/2022,MIA,Bam Adebayo
80,11/01/2022,MIA,Caleb Martin
81,11/01/2022,MIA,Gabe Vincent
82,11/01/2022,MIA,Udonis Haslem
83,11/01/2022,MIA,Haywood Highsmith
84,11/01/2022,MIA,Nikola Jovic
85,11/01/2022,MIA,Dru Smith
86,11/01/2022,MIA,Jamal Cain
