,Date,Team,Name
0,04/09/2023,POR,Kevin Knox II
1,04/09/2023,POR,Shaedon Sharpe
2,04/09/2023,POR,Skylar Mays
3,04/09/2023,POR,Trendon Watford
4,04/09/2023,POR,John Butler Jr.
5,04/09/2023,POR,Jeenathan Williams
6,04/09/2023,POR,Jabari Walker
7,04/09/2023,POR,Chance Comanche
8,04/09/2023,POR,Justin Minaya
9,04/09/2023,POR,Drew Eubanks
10,04/09/2023,POR,Cam Reddish
11,04/09/2023,POR,Ibou Badji
13,04/09/2023,POR,Jerami Grant
14,04/09/2023,POR,Keon Johnson
16,04/09/2023,POR,Damian Lillard
17,04/09/2023,POR,Nassir Little
18,04/09/2023,POR,Jusuf Nurkic
21,04/09/2023,POR,Anfernee Simons
22,04/09/2023,POR,Matisse Thybulle
24,04/09/2023,POR,Justise Winslow
25,04/09/2023,SAC,Domantas Sabonis
26,04/09/2023,SAC,Kevin Huerter
27,04/09/2023,SAC,De'Aaron Fox
28,04/09/2023,SAC,Richaun Holmes
29,04/09/2023,SAC,Neemias Queta
30,04/09/2023,SAC,Harrison Barnes
31,04/09/2023,SAC,PJ Dozier
32,04/09/2023,SAC,Keon Ellis
33,04/09/2023,SAC,Kessler Edwards
34,04/09/2023,SAC,Malik Monk
35,04/09/2023,SAC,Trey Lyles
36,04/09/2023,SAC,Terence Davis
37,04/09/2023,SAC,Keegan Murray
38,04/09/2023,SAC,Alex Len
39,04/09/2023,SAC,Chimezie Metu
40,04/09/2023,SAC,Matthew Dellavedova
41,04/09/2023,SAC,Davion Mitchell
43,04/09/2023,LAC,Kawhi Leonard
44,04/09/2023,LAC,Bones Hyland
45,04/09/2023,LAC,Russell Westbrook
46,04/09/2023,LAC,Mason Plumlee
47,04/09/2023,LAC,Ivica Zubac
48,04/09/2023,LAC,Norman Powell
49,04/09/2023,LAC,Robert Covington
50,04/09/2023,LAC,Terance Mann
51,04/09/2023,LAC,Nicolas Batum
52,04/09/2023,LAC,Eric Gordon
53,04/09/2023,LAC,Brandon Boston Jr.
54,04/09/2023,LAC,Amir Coffey
55,04/09/2023,LAC,Moussa Diabate
56,04/09/2023,LAC,Xavier Moon
57,04/09/2023,LAC,Jason Preston
58,04/09/2023,LAC,Paul George
59,04/09/2023,LAC,Marcus Morris Sr.
60,04/09/2023,CLE,Raul Neto
61,04/09/2023,CLE,Sam Merrill
62,04/09/2023,CLE,Ricky Rubio
63,04/09/2023,CLE,Mamadi Diakite
64,04/09/2023,CLE,Danny Green
65,04/09/2023,CLE,Isaiah Mobley
66,04/09/2023,CLE,Lamar Stevens
67,04/09/2023,CLE,Dean Wade
