,Date,Team,Name
0,01/24/2023,LAC,Reggie Jackson
1,01/24/2023,LAC,Nicolas Batum
2,01/24/2023,LAC,Amir Coffey
3,01/24/2023,LAC,Terance Mann
4,01/24/2023,LAC,Marcus Morris Sr.
5,01/24/2023,LAC,Moussa Diabate
6,01/24/2023,LAC,Norman Powell
7,01/24/2023,LAC,Kawhi Leonard
8,01/24/2023,LAC,Paul George
9,01/24/2023,LAC,Ivica Zubac
10,01/24/2023,LAC,Robert Covington
11,01/24/2023,LAC,Brandon Boston Jr.
12,01/24/2023,LAC,Moses Brown
13,01/24/2023,LAC,Luke Kennard
14,01/24/2023,LAC,Jason Preston
15,01/24/2023,LAC,John Wall
16,01/24/2023,CLE,Lamar Stevens
17,01/24/2023,CLE,Cedi Osman
18,01/24/2023,CLE,Kevin Love
19,01/24/2023,CLE,Dean Wade
20,01/24/2023,CLE,Ricky Rubio
21,01/24/2023,CLE,Evan Mobley
22,01/24/2023,CLE,Donovan Mitchell
23,01/24/2023,CLE,Jarrett Allen
24,01/24/2023,CLE,Caris LeVert
25,01/24/2023,CLE,Darius Garland
26,01/24/2023,CLE,Isaac Okoro
27,01/24/2023,CLE,Robin Lopez
28,01/24/2023,CLE,Raul Neto
29,01/24/2023,CLE,Mamadi Diakite
31,01/24/2023,CLE,Isaiah Mobley
32,01/24/2023,CLE,Dylan Windler
33,01/24/2023,CHI,Coby White
34,01/24/2023,CHI,Patrick Williams
35,01/24/2023,CHI,Derrick Jones Jr.
36,01/24/2023,CHI,Andre Drummond
37,01/24/2023,CHI,DeMar DeRozan
38,01/24/2023,CHI,Alex Caruso
39,01/24/2023,CHI,Ayo Dosunmu
40,01/24/2023,CHI,Nikola Vucevic
41,01/24/2023,CHI,Zach LaVine
42,01/24/2023,CHI,Tony Bradley
43,01/24/2023,CHI,Carlik Jones
44,01/24/2023,CHI,Dalen Terry
45,01/24/2023,CHI,Lonzo Ball
46,01/24/2023,CHI,Goran Dragic
47,01/24/2023,CHI,Javonte Green
48,01/24/2023,CHI,Malcolm Hill
49,01/24/2023,CHI,Marko Simonovic
50,01/24/2023,NOP,Larry Nance Jr.
51,01/24/2023,NOP,Garrett Temple
52,01/24/2023,NOP,Dyson Daniels
53,01/24/2023,NOP,Devonte' Graham
54,01/24/2023,NOP,Jaxson Hayes
55,01/24/2023,NOP,Jonas Valanciunas
56,01/24/2023,NOP,CJ McCollum
57,01/24/2023,NOP,Herbert Jones
58,01/24/2023,NOP,Jose Alvarado
59,01/24/2023,NOP,Trey Murphy III
60,01/24/2023,NOP,Willy Hernangomez
61,01/24/2023,NOP,Brandon Ingram
62,01/24/2023,NOP,Kira Lewis Jr.
63,01/24/2023,NOP,E.J. Liddell
64,01/24/2023,NOP,Naji Marshall
65,01/24/2023,NOP,Dereon Seabron
66,01/24/2023,NOP,Zion Williamson
67,01/24/2023,CHA,James Bouknight
68,01/24/2023,CHA,Kai Jones
69,01/24/2023,CHA,Theo Maledon
70,01/24/2023,CHA,JT Thor
71,01/24/2023,CHA,Mark Williams
72,01/24/2023,CHA,Mason Plumlee
73,01/24/2023,CHA,Nick Richards
74,01/24/2023,CHA,Bryce McGowens
75,01/24/2023,CHA,Terry Rozier
76,01/24/2023,CHA,P.J. Washington
77,01/24/2023,CHA,Dennis Smith Jr.
78,01/24/2023,CHA,Jalen McDaniels
79,01/24/2023,CHA,LaMelo Ball
80,01/24/2023,CHA,Gordon Hayward
81,01/24/2023,CHA,Cody Martin
82,01/24/2023,CHA,Kelly Oubre Jr.
83,01/24/2023,DAL,Spencer Dinwiddie
84,01/24/2023,DAL,Luka Doncic
85,01/24/2023,DAL,Davis Bertans
86,01/24/2023,DAL,Reggie Bullock
87,01/24/2023,DAL,Dorian Finney-Smith
88,01/24/2023,DAL,Dwight Powell
89,01/24/2023,DAL,Tim Hardaway Jr.
90,01/24/2023,DAL,Josh Green
91,01/24/2023,DAL,Jaden Hardy
92,01/24/2023,DAL,A.J. Lawson
93,01/24/2023,DAL,JaVale McGee
94,01/24/2023,DAL,Frank Ntilikina
95,01/24/2023,DAL,Theo Pinson
96,01/24/2023,DAL,McKinley Wright IV
97,01/24/2023,DAL,Maxi Kleber
98,01/24/2023,DAL,Christian Wood
99,01/24/2023,PHX,Bismack Biyombo
100,01/24/2023,PHX,Chris Paul
101,01/24/2023,PHX,Ish Wainright
102,01/24/2023,PHX,Josh Okogie
103,01/24/2023,PHX,Torrey Craig
104,01/24/2023,PHX,Mikal Bridges
105,01/24/2023,PHX,Jock Landale
106,01/24/2023,PHX,Cameron Johnson
107,01/24/2023,PHX,Damion Lee
108,01/24/2023,PHX,Dario Saric
109,01/24/2023,PHX,Duane Washington Jr.
110,01/24/2023,PHX,Saben Lee
111,01/24/2023,PHX,Deandre Ayton
113,01/24/2023,PHX,Devin Booker
114,01/24/2023,PHX,Jae Crowder
116,01/24/2023,PHX,Cameron Payne
117,01/24/2023,PHX,Landry Shamet
118,01/24/2023,NYK,Jericho Sims
119,01/24/2023,NYK,Miles McBride
120,01/24/2023,NYK,Quentin Grimes
121,01/24/2023,NYK,Julius Randle
122,01/24/2023,NYK,RJ Barrett
123,01/24/2023,NYK,Immanuel Quickley
124,01/24/2023,NYK,Obi Toppin
125,01/24/2023,NYK,Jalen Brunson
126,01/24/2023,NYK,Isaiah Hartenstein
127,01/24/2023,NYK,Ryan Arcidiacono
128,01/24/2023,NYK,Svi Mykhailiuk
129,01/24/2023,NYK,Cam Reddish
130,01/24/2023,NYK,Derrick Rose
131,01/24/2023,NYK,Evan Fournier
132,01/24/2023,NYK,DaQuan Jeffries
133,01/24/2023,NYK,Trevor Keels
135,01/24/2023,NYK,Mitchell Robinson
136,01/24/2023,DEN,Vlatko Cancar
137,01/24/2023,DEN,Kentavious Caldwell-Pope
138,01/24/2023,DEN,Christian Braun
139,01/24/2023,DEN,Jeff Green
140,01/24/2023,DEN,Nikola Jokic
141,01/24/2023,DEN,Zeke Nnaji
142,01/24/2023,DEN,Aaron Gordon
143,01/24/2023,DEN,Bruce Brown
144,01/24/2023,DEN,Jamal Murray
145,01/24/2023,DEN,DeAndre Jordan
146,01/24/2023,DEN,Davon Reed
147,01/24/2023,DEN,Ish Smith
148,01/24/2023,DEN,Peyton Watson
149,01/24/2023,DEN,Collin Gillespie
150,01/24/2023,DEN,Bones Hyland
152,01/24/2023,DEN,Michael Porter Jr.
154,01/24/2023,DEN,Jack White
155,01/24/2023,MIA,Caleb Martin
156,01/24/2023,MIA,Haywood Highsmith
157,01/24/2023,MIA,Max Strus
158,01/24/2023,MIA,Orlando Robinson
159,01/24/2023,MIA,Gabe Vincent
160,01/24/2023,MIA,Bam Adebayo
161,01/24/2023,MIA,Victor Oladipo
162,01/24/2023,MIA,Kyle Lowry
163,01/24/2023,MIA,Tyler Herro
164,01/24/2023,MIA,Jamal Cain
165,01/24/2023,MIA,Dewayne Dedmon
166,01/24/2023,MIA,Udonis Haslem
