,Name,Team,Location,Opponent,Date,Result,Mins,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
33,Timothe Luwawu-Cabarrot,PHI,A,NYK,2017-04-12,L,24,100.0,116.7,-16.7,17.6,1.0,16.7,0.0,10.0,4.9,16.7,55.0,59.5,26.3,99.87,6.5
34,Myles Turner,IND,H,ATL,2017-04-12,W,33,123.3,100.0,23.3,10.0,2.0,10.5,10.3,15.6,13.1,5.3,50.0,57.1,24.6,88.45,16.4
35,Mike Dunleavy,ATL,A,IND,2017-04-12,L,17,83.8,112.1,-28.3,14.3,1.0,11.1,0.0,18.8,9.7,11.1,41.7,54.6,20.5,98.25,11.0
36,Damian Jones,GSW,H,LAL,2017-04-12,W,19,62.5,92.5,-30.0,0.0,0.0,0.0,0.0,31.8,15.9,20.0,66.7,51.5,10.9,100.35,11.2
37,T.J. McConnell,PHI,A,NYK,2017-04-12,L,19,120.0,92.5,27.5,44.4,4.0,47.1,0.0,13.0,8.1,11.8,33.3,29.1,20.9,102.4,10.9
38,Patrick McCaw,GSW,H,LAL,2017-04-12,W,28,82.8,81.0,1.9,6.3,1.0,6.7,5.7,5.3,5.5,6.7,45.8,50.5,19.2,108.66,9.9
39,Josh Richardson,MIA,H,WAS,2017-04-12,W,37,114.7,106.7,8.0,3.3,1.0,7.1,0.0,5.0,2.7,7.1,62.5,62.5,15.3,96.86,5.9
40,Steven Adams,OKC,H,DEN,2017-04-12,L,14,78.8,100.0,-21.2,0.0,0.0,0.0,10.0,14.3,11.8,12.5,57.1,57.1,20.5,117.04,14.6
41,Wayne Selden,MEM,H,DAL,2017-04-12,L,31,101.8,123.2,-21.4,5.9,1.0,11.1,0.0,3.3,1.7,11.1,71.4,71.4,12.3,86.11,4.7
42,Jordan Clarkson,LAL,A,GSW,2017-04-12,L,32,88.6,119.7,-31.1,11.1,2.0,10.5,0.0,9.1,4.3,5.3,53.1,49.1,22.4,105.37,6.6
43,Jamal Crawford,LAC,H,SAC,2017-04-12,W,24,128.9,97.8,31.1,18.8,0.0,25.0,0.0,0.0,0.0,0.0,64.3,74.2,17.6,93.11,14.0
44,Tyler Ennis,LAL,A,GSW,2017-04-12,L,39,92.9,96.5,-3.7,17.2,1.25,22.7,0.0,0.0,0.0,18.2,50.0,54.3,18.3,106.02,4.8
45,Nene,HOU,H,MIN,2017-04-12,W,17,94.4,113.5,-19.1,0.0,0.0,0.0,4.8,6.3,5.4,11.1,57.1,57.1,22.5,104.29,8.3
46,Alexis Ajinca,NOP,A,POR,2017-04-12,W,25,103.8,100.0,3.8,0.0,0.0,0.0,3.8,20.7,12.7,20.0,41.7,44.2,25.0,101.07,6.3
47,Sheldon Mac,WAS,A,MIA,2017-04-12,L,35,104.3,114.5,-10.1,0.0,0.0,0.0,0.0,13.8,6.9,12.5,59.1,66.0,22.2,94.76,9.9
48,Nick Collison,OKC,H,DEN,2017-04-12,L,9,84.2,105.6,-21.3,25.0,0.0,16.7,16.7,0.0,12.5,0.0,60.0,60.0,23.8,102.86,18.9
49,Willie Reed,MIA,H,WAS,2017-04-12,W,15,110.3,93.3,17.0,0.0,0.0,0.0,30.0,23.1,26.1,10.0,88.9,88.9,30.3,95.78,34.8
50,Patty Mills,SAS,A,UTA,2017-04-12,L,19,107.9,110.5,-2.6,35.7,5.0,45.5,0.0,9.5,5.3,9.1,80.0,80.0,14.0,97.63,14.7
51,Clint Capela,HOU,H,MIN,2017-04-12,W,30,143.5,114.5,29.0,9.1,1.0,11.8,14.7,16.7,15.6,11.8,91.7,82.6,20.0,99.7,14.7
52,Daniel Ochefu,WAS,A,MIA,2017-04-12,L,17,121.9,106.1,15.8,9.1,0.0,14.3,15.4,8.3,12.0,0.0,66.7,66.7,17.1,94.26,15.3
53,Spencer Hawes,MIL,A,BOS,2017-04-12,L,17,75.0,116.7,-41.7,33.3,1.0,16.7,0.0,26.3,13.5,16.7,85.7,90.1,27.0,100.66,22.1
54,Ersan Ilyasova,ATL,A,IND,2017-04-12,L,18,117.1,122.9,-5.7,22.2,0.67,12.5,0.0,17.6,11.1,18.8,65.0,68.9,37.8,93.25,17.1
55,Pat Connaughton,POR,H,NOP,2017-04-12,L,36,98.6,108.1,-9.5,30.4,2.33,30.4,0.0,17.9,8.9,13.0,73.1,73.1,18.4,97.73,14.8
56,Dejounte Murray,SAS,A,UTA,2017-04-12,L,5,100.0,130.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,7.1,96.31,5.1
57,Arron Afflalo,SAC,A,LAC,2017-04-12,L,34,107.8,135.4,-27.6,28.6,0.0,33.3,0.0,6.9,3.3,0.0,72.7,75.8,16.9,89.91,14.1
58,Amir Johnson,BOS,H,MIL,2017-04-12,W,19,115.4,94.9,20.5,9.1,0.0,11.1,9.5,13.0,11.4,0.0,100.0,96.2,17.8,97.93,20.1
59,Brandon Rush,MIN,A,HOU,2017-04-12,L,24,114.0,140.0,-26.0,10.0,1.0,28.6,5.9,3.3,4.3,28.6,133.3,133.3,9.4,98.7,6.9
60,Zaza Pachulia,GSW,H,LAL,2017-04-12,W,12,138.5,76.9,61.5,18.2,0.0,33.3,21.4,27.3,24.0,0.0,66.7,77.3,12.5,102.16,22.9
61,Justin Anderson,PHI,A,NYK,2017-04-12,L,35,114.3,102.9,11.4,13.6,1.5,15.8,0.0,5.4,3.0,10.5,95.5,92.3,20.5,97.16,23.2
62,JaVale McGee,GSW,H,LAL,2017-04-12,W,18,115.0,90.2,24.8,7.7,1.0,10.0,14.3,13.6,13.9,10.0,71.4,69.8,20.5,108.91,12.3
63,Karl-Anthony Towns,MIN,A,HOU,2017-04-12,L,36,126.3,123.7,2.6,10.7,0.0,15.0,3.3,46.5,28.8,0.0,79.4,80.3,20.2,100.91,21.3
64,Jakob Poeltl,TOR,A,CLE,2017-04-12,W,23,95.3,95.7,-0.3,16.7,0.0,33.3,8.3,13.0,10.6,0.0,100.0,90.2,8.3,93.33,11.3
65,Patrick Patterson,TOR,A,CLE,2017-04-12,W,15,110.7,103.6,7.1,0.0,0.0,0.0,0.0,7.7,4.0,0.0,150.0,150.0,3.2,90.51,11.9
66,Aaron Brooks,IND,H,ATL,2017-04-12,W,17,94.1,73.5,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3,83.3,7.7,96.66,6.3
67,Justin Holiday,NYK,H,PHI,2017-04-12,W,21,140.0,102.3,37.7,6.7,0.5,6.7,5.6,15.4,11.4,13.3,70.0,76.5,28.6,97.25,26.8
68,Tarik Black,LAL,A,GSW,2017-04-12,L,14,83.3,110.0,-26.7,0.0,0.0,0.0,14.3,8.3,11.5,25.0,100.0,104.2,12.1,104.35,10.0
69,Kevin Durant,GSW,H,LAL,2017-04-12,W,27,131.7,86.4,45.2,26.3,1.67,20.0,0.0,25.8,13.6,12.0,84.4,81.6,29.4,105.19,25.5
70,James Harden,HOU,H,MIN,2017-04-12,W,35,136.6,106.8,29.8,42.9,3.0,37.5,2.5,28.1,13.9,12.5,80.8,81.7,23.5,98.98,20.7
71,Anthony Morrow,CHI,H,BKN,2017-04-12,W,4,144.4,40.0,104.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3,83.3,30.0,104.83,21.1
72,Alec Burks,UTA,H,SAS,2017-04-12,W,5,130.0,100.0,30.0,0.0,0.0,0.0,0.0,22.2,15.4,0.0,150.0,150.0,9.1,96.31,28.2
73,Jerami Grant,OKC,H,DEN,2017-04-12,L,18,107.9,94.9,13.0,8.3,0.0,12.5,0.0,21.1,11.1,0.0,91.7,94.5,17.1,105.8,22.4
74,Joffrey Lauvergne,CHI,H,BKN,2017-04-12,W,6,130.8,53.8,76.9,33.3,0.0,66.7,25.0,33.3,30.8,0.0,100.0,100.0,7.1,104.58,28.3
75,Tristan Thompson,CLE,H,TOR,2017-04-12,L,19,68.6,117.1,-48.6,0.0,0.0,0.0,15.8,6.3,11.4,12.5,83.3,72.7,21.1,90.97,17.3
76,Luc Mbah a Moute,LAC,H,SAC,2017-04-12,W,33,131.7,103.3,28.3,0.0,0.0,0.0,0.0,10.7,5.4,18.2,87.5,75.1,16.4,88.45,6.5
77,Axel Toupane,NOP,A,POR,2017-04-12,W,21,112.5,80.5,32.0,0.0,0.0,0.0,0.0,3.8,2.2,0.0,100.0,100.0,8.9,93.1,10.2
78,Maurice Harkless,POR,H,NOP,2017-04-12,L,22,120.0,104.3,15.7,11.8,0.0,20.0,4.8,3.6,4.1,0.0,83.3,67.1,15.7,99.09,10.6
79,Salah Mejri,DAL,A,MEM,2017-04-12,W,12,147.4,121.1,26.3,0.0,0.0,0.0,10.0,10.0,10.0,0.0,125.0,104.2,13.0,77.73,9.2
80,Paul Zipser,CHI,H,BKN,2017-04-12,W,28,108.2,76.7,31.5,13.3,0.0,13.3,0.0,18.2,9.0,0.0,80.8,80.8,18.8,102.43,21.0
81,Marcin Gortat,WAS,A,MIA,2017-04-12,L,25,104.0,121.2,-17.2,7.1,1.0,9.1,6.7,12.0,9.1,9.1,88.9,84.7,17.9,96.6,14.6
82,Raymond Felton,LAC,H,SAC,2017-04-12,W,17,105.9,100.0,5.9,18.2,0.0,28.6,0.0,6.7,3.2,0.0,40.0,40.0,12.8,98.35,5.2
83,Troy Daniels,MEM,H,DAL,2017-04-12,L,24,106.8,120.0,-13.2,11.8,0.67,14.3,4.0,5.0,4.4,21.4,16.7,16.7,21.1,88.26,-10.8
84,Isaiah Whitehead,BKN,A,CHI,2017-04-12,L,26,67.8,103.3,-35.5,18.2,0.67,13.3,0.0,9.1,4.5,20.0,25.0,25.0,19.7,110.41,-4.8
85,Brandon Jennings,WAS,A,MIA,2017-04-12,L,27,107.1,117.9,-10.7,20.0,0.0,35.7,0.0,12.0,5.3,0.0,11.1,11.1,14.3,98.13,0.8
86,Georgios Papagiannis,SAC,A,LAC,2017-04-12,L,28,107.4,128.8,-21.4,14.3,1.0,25.0,4.0,0.0,2.0,25.0,50.0,50.0,14.8,91.62,0.4
87,Kris Humphries,ATL,A,IND,2017-04-12,L,28,92.2,107.8,-15.7,0.0,0.0,0.0,14.8,14.8,14.8,0.0,22.2,23.2,18.6,88.16,0.0
88,Metta World Peace,LAL,A,GSW,2017-04-12,L,10,81.8,47.6,34.2,14.3,0.0,12.5,0.0,7.1,4.2,0.0,16.7,21.8,29.2,102.35,-9.1
89,Yogi Ferrell,DAL,A,MEM,2017-04-12,W,28,96.2,103.8,-7.6,31.3,2.5,29.4,0.0,3.7,1.9,11.8,27.8,33.9,20.7,89.26,1.8
90,Pau Gasol,SAS,A,UTA,2017-04-12,L,23,119.1,119.6,-0.4,0.0,0.0,0.0,15.0,20.0,17.5,0.0,50.0,50.0,24.5,97.54,8.9
91,Kyle Korver,CLE,H,TOR,2017-04-12,L,10,90.5,114.3,-23.8,0.0,0.0,0.0,0.0,20.0,9.5,0.0,50.0,50.0,14.3,99.15,7.1
92,Randy Foye,BKN,A,CHI,2017-04-12,L,20,72.7,122.0,-49.2,15.4,2.0,15.4,0.0,5.9,2.4,7.7,10.0,10.0,22.0,102.86,-4.9
93,Nikola Vucevic,ORL,H,DET,2017-04-12,W,27,124.6,105.3,19.3,5.6,0.0,6.3,4.2,25.0,17.2,0.0,60.0,60.0,25.4,99.74,16.5
94,Norris Cole,OKC,H,DEN,2017-04-12,L,15,77.4,87.1,-9.7,0.0,0.0,0.0,0.0,15.4,6.5,0.0,22.2,25.3,29.4,101.92,-2.6
95,Lou Williams,HOU,H,MIN,2017-04-12,W,25,85.2,127.3,-42.1,25.0,2.0,21.1,0.0,18.5,8.6,10.5,13.6,27.4,25.0,104.99,4.2
96,Bismack Biyombo,ORL,H,DET,2017-04-12,W,9,84.2,116.7,-32.5,16.7,0.0,25.0,22.2,11.1,16.7,0.0,33.3,33.3,13.6,103.64,6.3
97,Boris Diaw,UTA,H,SAS,2017-04-12,W,15,103.6,66.7,36.9,10.0,0.0,20.0,0.0,6.3,3.6,0.0,50.0,50.0,12.9,89.8,5.3
98,Ben McLemore,SAC,A,LAC,2017-04-12,L,31,101.7,123.3,-21.6,5.3,0.0,6.3,3.3,22.2,12.3,0.0,50.0,50.8,23.1,92.13,8.1
99,Patricio Garino,ORL,H,DET,2017-04-12,W,12,116.0,112.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,11.1,101.67,-11.1
100,P.J. Tucker,TOR,A,CLE,2017-04-12,W,6,92.3,76.9,15.4,20.0,0.0,33.3,0.0,28.6,13.3,0.0,0.0,0.0,13.3,101.46,-4.8
101,Stephen Zimmerman,ORL,H,DET,2017-04-12,W,9,83.3,116.7,-33.3,0.0,0.0,0.0,0.0,6.3,4.0,33.3,50.0,50.0,15.8,97.44,-6.5
102,Deyonta Davis,MEM,H,DAL,2017-04-12,L,9,83.3,126.3,-43.0,0.0,0.0,0.0,11.8,12.5,12.0,0.0,0.0,0.0,3.6,99.78,-7.7
103,Sasha Vujacic,NYK,H,PHI,2017-04-12,W,21,127.9,100.0,27.9,30.0,3.0,33.3,8.3,0.0,4.3,11.1,33.3,35.4,21.4,100.11,2.8
