,Date,Home,Away,Favorite,Spread,O/U,Attendance,Capacity
88,11/6/2023,MIL,BKN,MIL,-4.5,232.5,17935,[]
89,11/6/2023,LAL,MIA,MIA,-1.5,222.5,19725,[]
90,11/6/2023,LAC,NYK,NYK,-1.5,223.5,19812,[]
91,11/6/2023,UTA,CHI,CHI,-3.5,223.5,18031,[]
92,11/6/2023,SAC,HOU,SAC,-2.5,218.5,15130,[]
93,11/6/2023,BOS,MIN,BOS,-3.5,221.5,18024,[]
94,11/6/2023,ATL,OKC,OKC,-0.5,242.5,16486,[]
95,11/6/2023,NOP,DEN,DEN,-5.5,222.5,19544,[]
96,11/8/2023,WAS,CHA,CHA,-2.5,239.5,14267,[]
97,11/8/2023,UTA,IND,IND,-5.5,242.5,14509,[]
98,11/8/2023,BOS,PHI,BOS,-2.5,229.5,19953,[]
99,11/8/2023,LAC,BKN,LAC,-5.5,231.5,17933,[]
100,11/8/2023,SAS,NYK,NYK,-9.5,223.5,19812,[]
101,11/8/2023,PHX,CHI,CHI,-0.5,217.5,18220,[]
102,11/8/2023,LAL,HOU,LAL,-1.5,223.5,18055,[]
103,11/8/2023,MIA,MEM,MIA,-1.5,216.5,16781,[]
104,11/8/2023,DET,MIL,MIL,-12.5,227.5,17341,[]
105,11/8/2023,NOP,MIN,MIN,-9.5,215.5,18024,[]
106,11/8/2023,CLE,OKC,CLE,-2.5,227.5,16314,[]
107,11/8/2023,TOR,DAL,DAL,-4.5,225.5,20063,[]
108,11/8/2023,GSW,DEN,DEN,-4.5,227.5,19737,[]
109,11/8/2023,POR,SAC,SAC,-8.5,221.5,17829,[]
110,11/9/2023,MIL,IND,MIL,-1.5,239.5,14648,[]
111,11/9/2023,ATL,ORL,ATL,-3.5,232.5,19986,[]
112,11/11/2023,MIL,ORL,MIL,-2.5,227.5,19354,[]
113,11/11/2023,TOR,BOS,BOS,-9.5,222.5,19156,[]
114,11/11/2023,MIA,ATL,ATL,-7.5,227.5,17722,[]
115,11/11/2023,CLE,GSW,GSW,-4.5,224.5,18064,[]
116,11/12/2023,CHA,NYK,NYK,-11.5,224.5,19812,[]
117,11/12/2023,WAS,BKN,BKN,-6.5,234.5,17732,[]
118,11/12/2023,MEM,LAC,LAC,-8.5,224.5,17220,[]
119,11/12/2023,IND,PHI,PHI,-7.5,237.5,19758,[]
120,11/12/2023,DET,CHI,CHI,-6.5,221.5,19088,[]
121,11/12/2023,DEN,HOU,DEN,-4.5,215.5,18055,[]
122,11/12/2023,DAL,NOP,DAL,-3.5,237.5,16302,[]
123,11/12/2023,MIA,SAS,MIA,-1.5,222.5,18036,[]
124,11/12/2023,OKC,PHX,PHX,-4.5,231.5,17071,[]
125,11/12/2023,MIN,GSW,GSW,-3.5,222.5,18064,[]
126,11/12/2023,POR,LAL,LAL,-8.5,220.5,18997,[]
127,11/13/2023,NYK,BOS,BOS,-9.5,220.5,19156,[]
128,11/13/2023,WAS,TOR,TOR,-8.5,230.5,19800,[]
129,11/13/2023,CHI,MIL,MIL,-9.5,230.5,17865,[]
