,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1358,Tre Jones SAS,SAS,H,04/07/2024,L,49,107.8,112.7,-4.9,28.1,1.80,28.1,7.0,10.2,8.7,15.6,47.1,47.5,20.4,100.74,7.9,
1359,Payton Pritchard BOS,BOS,H,04/07/2024,W,26,140.0,107.4,32.6,36.4,4.00,34.8,0.0,10.0,6.1,8.7,76.9,76.9,25.9,101.66,17.2,
1360,Markelle Fultz ORL,ORL,H,04/07/2024,W,23,106.4,114.6,-8.2,18.2,0.00,14.3,11.5,13.0,12.2,0.0,70.8,70.8,21.8,98.92,17.3,
1361,Henri Drell CHI,CHI,H,04/07/2024,L,2,66.7,75.0,-8.3,100,1.00,50.0,0.0,0.0,0.0,50.0,0.0,0.0,33.3,113.26,0.0,
1362,Rayan Rupert POR,POR,H,04/07/2024,L,33,93.1,126.4,-33.3,8.7,2.00,18.2,2.2,7.7,4.2,9.1,56.3,56.3,10.0,103.89,3.4,
1363,Nate Hinton HOU,HOU,H,04/07/2024,L,1,0.0,0.0,0.0,0.0,0.00,0.0,50.0,50.0,50.0,0.0,0.0,0.0,25.0,133.33,-33.3,
1364,Davis Bertans CHA,CHA,H,04/07/2024,L,24,133.3,122.7,10.6,0.0,0.00,0.0,0.0,9.1,5.1,18.2,66.7,66.7,20.8,91.61,7.4,
1365,Coby White CHI,CHI,H,04/07/2024,L,38,101.3,126.7,-25.4,24.0,2.00,28.6,0.0,5.6,2.9,14.3,40.9,46.3,18.1,96.38,3.8,
1366,Kris Murray POR,POR,H,04/07/2024,L,26,93.3,117.2,-23.9,11.8,1.00,15.4,11.1,14.3,12.3,15.4,55.6,55.6,14.7,110.41,8.3,
1367,Davion Mitchell SAC,SAC,H,04/07/2024,W,28,140.0,71.9,68.1,11.5,3.00,21.4,0.0,3.0,1.6,7.1,50.0,61.5,16.9,97.63,9.5,
1368,Andrew Funk CHI,CHI,H,04/07/2024,L,2,66.7,75.0,-8.3,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.26,0.0,
1369,Austin Reaves LAL,LAL,H,04/07/2024,L,35,102.6,126.7,-24.0,9.5,0.50,8.7,0.0,9.1,4.3,17.4,35.7,42.1,25.0,103.44,0.6,
1370,Jules Bernard WAS,WAS,H,04/07/2024,L,4,120.0,118.2,1.8,0.0,0.00,0.0,0.0,20.0,8.3,0.0,0.0,0.0,8.3,116.31,-4.8,
1371,Alex Len SAC,SAC,H,04/07/2024,W,9,109.1,100.0,9.1,30.0,0.00,75.0,0.0,30.0,15.8,0.0,0.0,0.0,4.3,109.26,14.1,
1372,Josh Hart NYK,NYK,H,04/07/2024,W,37,130.6,117.8,12.7,27.3,0.00,47.4,5.3,21.9,12.9,0.0,27.8,35.4,11.8,93.05,9.3,
1373,Georges Niang CLE,CLE,H,04/07/2024,L,14,103.1,118.8,-15.6,22.2,0.00,28.6,0.0,18.2,6.7,0.0,20.0,20.0,14.7,109.51,1.6,
1374,Noah Clowney BKN,BKN,H,04/07/2024,L,35,66.7,102.7,-36.0,6.3,1.00,9.1,2.2,22.0,11.6,9.1,37.5,39.4,12.0,102.54,7.8,
1375,Al Horford BOS,BOS,H,04/07/2024,W,21,122.2,109.1,13.1,17.6,3.00,30.0,5.9,16.7,12.8,10.0,58.3,58.3,14.6,102.12,12.0,
1376,RJ Barrett TOR,TOR,H,04/07/2024,W,36,108.3,114.5,-6.1,26.9,1.17,20.6,5.7,14.3,10.4,17.6,47.4,50.8,29.3,110.77,9.1,
1377,Josh Minott MIN,MIN,H,04/07/2024,W,2,0.0,200.0,-200.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,94.21,-100.0,
1378,Jordan Poole WAS,WAS,H,04/07/2024,L,40,109.8,109.8,0.0,46.2,4.00,30.0,2.2,7.1,4.6,7.5,52.2,57.5,28.3,110.43,15.2,
1379,Nikola Vucevic CHI,CHI,H,04/07/2024,L,31,101.7,123.0,-21.3,9.1,1.00,12.5,3.7,13.3,8.8,12.5,11.1,33.1,20.9,93.13,1.2,
1380,Spencer Dinwiddie LAL,LAL,H,04/07/2024,L,36,121.3,120.8,0.6,26.9,3.50,36.8,3.2,12.5,7.9,10.5,78.6,89.3,14.6,102.52,12.5,
1381,Anthony Davis LAL,LAL,H,04/07/2024,L,12,142.3,126.9,15.4,25.0,3.00,30.0,23.1,10.0,17.4,10.0,33.3,33.3,21.9,104.00,6.3,
1382,Kevin Durant PHX,PHX,H,04/07/2024,L,38,102.5,119.2,-16.7,27.3,0.00,20.0,0.0,11.8,5.6,0.0,43.2,48.4,27.3,99.04,10.9,
1383,Jalen Wilson BKN,BKN,H,04/07/2024,L,32,80.9,100.0,-19.1,16.7,1.00,18.8,0.0,15.8,8.2,18.8,50.0,51.1,17.8,99.18,9.5,
1384,Chuma Okeke ORL,ORL,H,04/07/2024,W,2,75.0,66.7,8.3,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,113.26,-20.0,
1385,Wendell Moore Jr.,MIN,A,LAL,04/07/2024,W,2,0.0,200.0,-200.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,94.21,-100.0
1386,Anthony Black ORL,ORL,H,04/07/2024,W,2,75.0,66.7,8.3,0.0,0.00,0.0,0.0,0.0,0.0,100.0,0.0,0.0,25.0,113.26,-20.0,
1387,Pascal Siakam IND,IND,H,04/07/2024,W,33,119.7,120.9,-1.2,5.0,0.00,5.9,6.5,19.4,12.9,0.0,50.0,53.7,22.5,98.33,9.2,
1388,Tristan Vukcevic WAS,WAS,H,04/07/2024,L,23,119.6,107.7,11.9,22.2,2.00,23.5,13.6,21.4,18.0,11.8,45.0,50.6,22.8,105.61,11.1,
1389,Jimmy Butler MIA,MIA,H,04/07/2024,L,39,126.9,131.3,-4.3,30.8,0.00,27.6,6.1,15.2,10.6,0.0,46.9,63.4,25.0,97.56,17.5,
1390,Cameron Payne PHI,PHI,H,04/07/2024,W,19,92.9,111.6,-18.8,20.0,1.50,23.1,0.0,4.8,2.2,15.4,18.8,18.8,21.3,107.46,-3.6,
1391,TyTy Washington Jr.,MIL,H,NYK,04/07/2024,L,1,0.0,150.0,-150.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,82.29,-66.7
1392,Dennis Schroder BKN,BKN,H,04/07/2024,L,30,83.6,94.9,-11.3,35.3,6.00,30.0,0.0,20.6,9.7,5.0,8.3,15.5,20.9,95.31,4.5,
1393,Jabari Smith Jr.,HOU,A,DAL,04/07/2024,L,40,122.6,130.1,-7.5,6.5,0.00,15.4,2.6,25.0,12.7,0.0,60.0,55.1,12.5,99.79,6.0
1394,Miles McBride NYK,NYK,H,04/07/2024,W,18,115.2,105.7,9.4,8.3,0.00,14.3,5.0,5.9,5.4,0.0,66.7,66.7,14.6,90.67,13.4,
1395,Luguentz Dort OKC,OKC,H,04/07/2024,W,34,124.3,130.0,-5.7,6.9,0.67,12.5,3.3,6.7,5.0,18.8,55.0,55.1,18.2,98.92,4.2,
1396,Keon Ellis SAC,SAC,H,04/07/2024,W,19,71.8,94.9,-23.1,14.3,0.50,10.0,0.0,9.1,4.3,20.0,42.9,42.9,22.5,98.47,0.8,
1397,Lonnie Walker IV,BKN,H,SAC,04/07/2024,L,26,64.8,120.4,-55.6,0.0,0.00,0.0,0.0,10.0,4.8,8.3,20.0,27.6,19.4,101.85,0.6
1398,Grayson Allen PHX,PHX,H,04/07/2024,L,37,105.2,109.0,-3.8,3.7,0.33,6.7,0.0,13.5,6.9,20.0,50.0,50.0,16.7,101.13,5.1,
1399,Mikal Bridges BKN,BKN,H,04/07/2024,L,24,93.9,93.9,0.0,13.3,2.00,22.2,3.8,14.3,9.3,11.1,66.7,66.7,13.5,96.59,10.7,
1400,Bobby Portis MIL,MIL,H,04/07/2024,L,29,125.0,147.3,-22.3,14.3,0.00,11.8,4.2,13.8,9.4,0.0,80.0,80.0,23.8,91.08,17.2,
1401,Tyrese Maxey PHI,PHI,H,04/07/2024,W,54,111.3,99.1,12.2,22.6,7.00,13.0,0.0,10.4,4.7,1.9,48.8,56.2,37.3,102.32,17.8,
1402,Leonard Miller MIN,MIN,H,04/07/2024,W,2,0.0,200.0,-200.0,0.0,0.00,0.0,25.0,0.0,25.0,0.0,0.0,0.0,14.3,94.21,-50.0,
1403,Pat Connaughton MIL,MIL,H,04/07/2024,L,31,101.6,119.4,-17.7,11.1,0.00,25.0,0.0,3.0,1.7,0.0,30.0,42.5,8.8,95.85,0.8,
1404,Andre Jackson Jr.,MIL,H,NYK,04/07/2024,L,4,62.5,125.0,-62.5,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,91.43,-33.3
1405,Rudy Gobert MIN,MIN,H,04/07/2024,W,37,116.3,104.9,11.3,10.0,1.00,15.8,21.6,22.2,21.9,15.8,69.2,69.2,17.4,104.86,15.3,
1406,Jusuf Nurkic PHX,PHX,H,04/07/2024,L,31,110.8,106.1,4.7,23.1,2.00,35.3,6.9,27.6,17.2,17.6,28.6,38.1,16.2,100.82,8.2,
1407,Domantas Sabonis SAC,SAC,H,04/07/2024,W,35,101.4,74.6,26.8,47.4,3.00,32.1,11.6,34.1,23.0,10.7,50.0,55.6,23.5,97.50,26.6,
1408,Sam Merrill CLE,CLE,H,04/07/2024,L,6,100.0,140.0,-40.0,20.0,0.00,50.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,118.81,0.0,
1409,Jonas Valanciunas NOP,NOP,H,04/07/2024,W,4,50.0,112.5,-62.5,0.0,0.00,0.0,25.0,25.0,25.0,25.0,33.3,33.3,40.0,98.04,3.3,
1410,Adama Sanogo CHI,CHI,H,04/07/2024,L,2,66.7,75.0,-8.3,0.0,0.00,0.0,0.0,100,50.0,0.0,0.0,0.0,0.0,113.26,20.0,
1411,Thanasis Antetokounmpo MIL,MIL,H,04/07/2024,L,1,0.0,150.0,-150.0,0.0,0.00,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,82.29,33.3,
1412,Obi Toppin IND,IND,H,04/07/2024,W,16,122.6,109.7,12.9,16.7,0.00,22.2,0.0,20.0,11.1,0.0,92.9,92.9,20.0,95.76,18.8,
1413,Ayo Dosunmu CHI,CHI,H,04/07/2024,L,36,105.6,115.3,-9.7,15.4,0.80,22.2,3.2,10.8,7.4,27.8,78.6,79.9,17.5,97.26,9.6,
1414,Mo Bamba PHI,PHI,H,04/07/2024,W,15,78.1,103.2,-25.1,11.1,0.00,14.3,5.3,35.3,19.4,0.0,25.0,25.0,16.7,101.59,5.7,
1415,Sandro Mamukelashvili SAS,SAS,H,04/07/2024,L,24,117.4,78.7,38.7,16.7,0.00,27.3,4.3,20.0,13.2,0.0,16.7,38.7,15.1,94.64,10.1,
1416,Luka Samanic UTA,UTA,H,04/07/2024,L,5,81.8,130.0,-48.2,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,93.91,-20.0,
1417,Kira Lewis Jr.,UTA,A,GSW,04/07/2024,L,16,120.0,137.1,-17.1,15.4,0.00,28.6,0.0,6.7,3.1,0.0,50.0,51.2,13.2,102.65,6.7
1418,Duop Reath POR,POR,H,04/07/2024,L,16,115.6,132.3,-16.6,7.1,0.00,16.7,8.7,20.0,13.2,0.0,0.0,0.0,11.4,96.72,0.0,
1419,Duncan Robinson MIA,MIA,H,04/07/2024,L,12,100.0,130.8,-30.8,0.0,0.00,0.0,0.0,30.0,14.3,33.3,0.0,0.0,21.4,105.96,-11.1,
1420,Amir Coffey LAC,LAC,H,04/07/2024,W,28,123.7,113.1,10.6,4.5,0.00,14.3,3.4,0.0,1.6,0.0,25.0,25.0,8.7,102.73,-0.4,
1421,OG Anunoby NYK,NYK,H,04/07/2024,W,38,132.0,121.1,10.9,5.9,2.00,15.4,5.6,3.0,4.3,7.7,20.0,20.0,12.9,95.92,0.0,
1422,Scoot Henderson POR,POR,H,04/07/2024,L,36,107.9,119.7,-11.8,30.8,1.60,27.6,0.0,3.3,1.3,17.2,34.6,48.0,22.6,100.13,5.0,
1423,Corey Kispert WAS,WAS,H,04/07/2024,L,40,115.6,123.3,-7.8,10.0,1.00,14.3,0.0,7.3,3.8,14.3,73.1,71.1,18.6,109.22,5.9,
1424,Ben Sheppard IND,IND,H,04/07/2024,W,20,97.5,92.5,5.0,12.5,0.00,40.0,0.0,4.2,2.3,0.0,0.0,0.0,6.8,96.24,-4.5,
1425,Tyrese Haliburton IND,IND,H,04/07/2024,W,33,126.9,126.2,0.7,27.6,2.67,34.8,0.0,13.8,6.8,13.0,40.0,51.0,20.3,96.14,8.5,
1426,Gary Trent Jr.,TOR,H,WAS,04/07/2024,W,35,134.1,112.2,22.0,15.2,0.00,23.8,0.0,20.6,10.6,0.0,62.5,62.5,18.0,112.14,14.7
1427,Jalen Smith IND,IND,H,04/07/2024,W,11,145.5,113.0,32.4,16.7,0.00,25.0,0.0,12.5,5.9,0.0,33.3,33.3,23.1,101.09,3.6,
1428,Jabari Walker POR,POR,H,04/07/2024,L,34,104.1,116.2,-12.2,0.0,0.00,0.0,13.6,41.4,24.7,10.0,31.3,39.4,21.7,103.46,8.3,
1429,Jeff Dowtin Jr.,PHI,A,SAS,04/07/2024,W,12,82.1,88.5,-6.3,11.1,0.00,33.3,0.0,14.3,6.5,0.0,0.0,0.0,6.3,104.19,6.2
1430,Justin Champagnie WAS,WAS,H,04/07/2024,L,14,105.9,122.2,-16.3,0.0,0.00,0.0,6.3,0.0,3.0,25.0,33.3,33.3,10.8,120.78,1.4,
1431,Javon Freeman-Liberty TOR,TOR,H,04/07/2024,W,9,66.7,120.0,-53.3,0.0,0.00,0.0,7.7,25.0,16.0,0.0,0.0,0.0,21.7,105.23,-7.4,
1432,Ivica Zubac LAC,LAC,H,04/07/2024,W,27,112.3,127.6,-15.3,5.9,0.33,7.1,19.0,31.8,25.6,21.4,70.0,70.0,20.6,100.75,12.0,
1433,Norman Powell LAC,LAC,H,04/07/2024,W,28,127.9,96.7,31.1,0.0,0.00,0.0,3.8,5.7,4.9,0.0,53.8,53.8,19.1,104.12,6.6,
1434,Eugene Omoruyi WAS,WAS,H,04/07/2024,L,21,98.0,118.5,-20.5,12.5,0.00,22.2,3.7,0.0,2.2,0.0,16.7,27.3,13.2,120.05,1.4,
1435,Brice Sensabaugh UTA,UTA,H,04/07/2024,L,27,113.0,111.1,1.9,15.8,3.00,27.3,0.0,12.5,6.5,9.1,64.3,64.3,13.8,95.70,7.9,
1436,Donte DiVincenzo NYK,NYK,H,04/07/2024,W,38,140.8,119.7,21.1,10.7,3.00,15.8,3.1,8.8,6.1,5.3,85.7,87.4,19.8,91.00,14.0,
1437,Bruce Brown TOR,TOR,H,04/07/2024,W,20,97.6,111.6,-14.0,9.1,0.00,12.5,0.0,9.1,4.2,0.0,57.1,57.1,14.3,103.64,7.7,
1438,Omer Yurtseven UTA,UTA,H,04/07/2024,L,19,107.5,122.5,-15.0,0.0,0.00,0.0,5.6,35.3,20.0,0.0,57.1,57.1,16.7,99.91,11.5,
1439,AJ Green MIL,MIL,H,04/07/2024,L,14,103.7,103.8,-0.1,0.0,0.00,0.0,0.0,0.0,0.0,0.0,33.3,33.3,9.4,94.46,0.0,
1440,Jalen Suggs ORL,ORL,H,04/07/2024,W,29,123.7,105.2,18.6,26.3,5.00,25.0,3.8,7.4,5.7,5.0,65.4,68.4,22.1,97.39,18.6,
1441,Malaki Branham SAS,SAS,H,04/07/2024,L,44,107.2,112.6,-5.4,3.6,0.50,5.3,2.8,4.3,3.7,10.5,70.0,69.3,17.0,105.49,7.7,
1442,Devin Booker PHX,PHX,H,04/07/2024,L,39,107.6,116.7,-9.1,31.8,1.75,24.1,0.0,8.8,3.9,13.8,56.3,64.0,24.2,97.32,12.6,
1443,Precious Achiuwa NYK,NYK,H,04/07/2024,W,5,155.6,100.0,55.6,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,87.27,-12.1,
1444,Svi Mykhailiuk BOS,BOS,H,04/07/2024,W,12,114.8,81.5,33.3,16.7,2.00,28.6,0.0,18.2,9.5,14.3,62.5,62.5,17.2,108.00,7.0,
1445,Ryan Rollins MIL,MIL,H,04/07/2024,L,1,0.0,150.0,-150.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.29,0.0,
1446,Brandon Miller CHA,CHA,H,04/07/2024,L,36,105.3,137.3,-32.0,16.0,2.00,20.0,3.3,6.5,4.9,10.0,34.6,42.8,20.3,101.17,4.4,
1447,P.J. Tucker LAC,LAC,H,04/07/2024,W,15,110.7,137.9,-27.2,8.3,0.00,50.0,10.0,0.0,4.8,0.0,0.0,0.0,3.2,94.51,-0.6,
1448,Jalen McDaniels TOR,TOR,H,04/07/2024,W,4,25.0,150.0,-125.0,0.0,0.00,0.0,11.1,0.0,9.1,0.0,0.0,0.0,30.0,98.46,-17.9,
1449,Drew Eubanks PHX,PHX,H,04/07/2024,L,17,97.1,130.3,-33.2,18.2,2.00,33.3,21.1,31.3,25.7,16.7,0.0,0.0,9.5,96.27,3.7,
1450,Larry Nance Jr.,NOP,A,PHX,04/07/2024,W,32,129.7,101.5,28.1,26.9,7.00,46.7,0.0,24.2,13.3,6.7,50.0,61.5,11.3,97.51,14.0
1451,Max Christie LAL,LAL,H,04/07/2024,L,5,136.4,145.5,-9.1,33.3,0.00,33.3,0.0,20.0,9.1,0.0,0.0,53.2,14.3,102.19,12.2,
1452,Lester Quinones GSW,GSW,H,04/07/2024,W,3,33.3,216.7,-183.3,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,103.47,-22.2,
1453,JaVale McGee SAC,SAC,H,04/07/2024,W,4,122.2,33.3,88.9,0.0,0.00,0.0,0.0,50.0,28.6,0.0,0.0,0.0,11.1,120.00,15.4,
1454,Trey Murphy III,NOP,A,PHX,04/07/2024,W,39,107.2,109.9,-2.6,7.1,0.00,12.5,2.6,8.3,5.4,0.0,42.3,46.8,15.2,101.61,5.0
1455,Grant Williams CHA,CHA,H,04/07/2024,L,38,110.0,139.2,-29.2,19.2,2.50,26.3,3.1,6.3,4.7,10.5,80.0,80.8,16.5,99.55,9.9,
1456,Johnny Davis WAS,WAS,H,04/07/2024,L,6,60.0,156.3,-96.3,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.78,-4.1,
1457,Dante Exum DAL,DAL,H,04/07/2024,W,35,143.2,112.2,31.1,8.3,0.50,11.1,3.6,22.9,14.3,22.2,54.5,58.9,19.8,101.05,7.6,
1458,Cam Thomas BKN,BKN,H,04/07/2024,L,36,84.6,105.3,-20.6,5.9,0.25,4.2,0.0,9.8,4.8,16.7,50.0,54.3,26.7,102.40,8.3,
1459,Micah Potter UTA,UTA,H,04/07/2024,L,21,111.4,134.9,-23.5,21.4,0.00,27.3,12.5,10.5,11.6,0.0,25.0,29.6,16.7,99.82,5.9,
1460,Jaime Jaquez Jr.,MIA,A,IND,04/07/2024,L,13,88.0,84.6,3.4,14.3,0.00,33.3,5.6,13.3,9.1,0.0,50.0,61.5,6.9,96.89,9.0
1461,Darius Garland CLE,CLE,H,04/07/2024,L,40,117.1,120.0,-2.9,33.3,1.60,21.6,5.3,8.6,6.8,13.5,54.5,57.9,31.9,96.95,14.4,
1462,Dalen Terry CHI,CHI,H,04/07/2024,L,15,87.1,93.5,-6.5,0.0,0.00,0.0,0.0,13.3,6.9,20.0,25.0,25.0,14.3,97.89,-2.0,
1463,Goga Bitadze ORL,ORL,H,04/07/2024,W,2,75.0,66.7,8.3,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.26,0.0,
1464,Jeremiah Robinson-Earl NOP,NOP,H,04/07/2024,W,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.76,0.0,
1465,Eric Gordon PHX,PHX,H,04/07/2024,L,18,115.4,100.0,15.4,14.3,0.00,28.6,0.0,0.0,0.0,0.0,50.0,50.0,11.4,102.02,5.1,
1466,Kevin Love MIA,MIA,H,04/07/2024,L,8,87.5,131.3,-43.8,25.0,0.50,14.3,0.0,0.0,0.0,28.6,25.0,25.0,33.3,102.63,-9.0,
1467,Chris Duarte SAC,SAC,H,04/07/2024,W,4,122.2,33.3,88.9,33.3,1.00,25.0,0.0,25.0,14.3,25.0,75.0,75.0,33.3,120.00,0.0,
1468,Malik Williams TOR,TOR,H,04/07/2024,W,5,50.0,54.5,-4.5,0.0,0.00,0.0,0.0,25.0,15.4,0.0,0.0,0.0,0.0,108.00,0.0,
1469,Jaden Springer BOS,BOS,H,04/07/2024,W,1,150.0,0.0,150.0,0.0,0.00,0.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,191.49,0.0,
1470,Day'Ron Sharpe BKN,BKN,H,04/07/2024,L,24,63.5,121.6,-58.1,16.7,2.00,25.0,6.7,7.4,7.0,12.5,40.0,40.0,10.0,103.00,5.2,
1471,Anthony Edwards MIN,MIN,H,04/07/2024,W,35,120.0,117.3,2.7,30.8,8.00,25.8,0.0,3.0,1.4,3.2,52.5,58.6,26.1,103.65,13.0,
1472,Jeff Green HOU,HOU,H,04/07/2024,L,17,102.4,151.2,-48.8,9.1,0.00,7.7,4.5,0.0,3.1,0.0,29.2,29.2,26.1,113.21,1.6,
1473,Moses Moody GSW,GSW,H,04/07/2024,W,26,129.4,96.2,33.3,8.3,0.00,14.3,4.8,17.9,12.2,0.0,33.3,33.3,20.3,95.14,2.9,
1474,Harrison Barnes SAC,SAC,H,04/07/2024,W,11,43.5,104.2,-60.7,0.0,0.00,0.0,0.0,0.0,0.0,0.0,25.0,25.0,16.7,100.27,-7.0,
1475,Maxi Kleber DAL,DAL,H,04/07/2024,W,30,150.0,102.9,47.1,10.7,3.00,30.0,0.0,13.3,7.5,10.0,50.0,69.0,9.6,105.85,6.5,
1476,Mike Conley MIN,MIN,H,04/07/2024,W,26,128.1,105.4,22.7,21.4,1.50,31.6,4.2,12.0,8.2,21.1,31.3,39.4,20.0,105.12,4.4,
1477,Kyrie Irving DAL,DAL,H,04/07/2024,W,45,136.6,116.5,20.1,7.7,1.00,5.4,0.0,16.3,9.1,5.4,66.0,73.9,34.0,98.77,20.0,
1478,Isaiah Jackson IND,IND,H,04/07/2024,W,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,
1479,Colby Jones SAC,SAC,H,04/07/2024,W,23,100.0,68.8,31.3,28.6,4.00,26.7,3.7,10.7,7.3,6.7,38.9,35.4,20.0,101.34,8.8,
1480,Pat Spencer GSW,GSW,H,04/07/2024,W,3,33.3,216.7,-183.3,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.47,0.0,
1481,Jerome Robinson GSW,GSW,H,04/07/2024,W,3,33.3,216.7,-183.3,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.47,0.0,
1482,Paul Reed PHI,PHI,H,04/07/2024,W,31,120.9,107.6,13.3,18.5,2.50,27.8,13.3,22.2,17.5,11.1,50.0,50.0,17.8,104.31,7.4,
1483,Usman Garuba GSW,GSW,H,04/07/2024,W,3,33.3,216.7,-183.3,0.0,0.00,0.0,33.3,0.0,28.6,20.0,25.0,25.0,62.5,103.47,-7.4,
1484,Tim Hardaway Jr.,DAL,H,HOU,04/07/2024,W,18,110.3,114.3,-4.0,0.0,0.00,0.0,0.0,6.3,3.0,0.0,41.7,41.7,13.6,110.42,0.0
1485,Herbert Jones NOP,NOP,H,04/07/2024,W,34,113.0,95.6,17.5,11.1,1.00,30.0,0.0,13.2,7.2,30.0,0.0,53.2,9.1,97.04,2.9,
1486,Wendell Carter Jr.,ORL,H,CHI,04/07/2024,W,35,115.9,109.0,7.0,12.5,0.00,21.4,5.9,21.4,12.9,0.0,50.0,50.0,13.8,94.65,9.1
1487,Immanuel Quickley TOR,TOR,H,04/07/2024,W,36,131.8,108.4,23.3,38.2,3.25,36.1,0.0,20.0,10.1,11.1,70.0,79.9,25.0,110.82,19.4,
1488,Mitchell Robinson NYK,NYK,H,04/07/2024,W,19,141.7,121.6,20.0,0.0,0.00,0.0,13.0,20.0,15.8,0.0,0.0,17.4,6.7,91.49,0.0,
1489,Max Strus CLE,CLE,H,04/07/2024,L,39,121.7,124.1,-2.4,29.0,2.25,34.6,0.0,11.4,5.5,15.4,63.6,73.3,18.3,99.14,11.3,
1490,Aaron Holiday HOU,HOU,H,04/07/2024,L,14,94.1,112.1,-18.0,0.0,0.00,0.0,0.0,0.0,0.0,33.3,75.0,75.0,7.5,114.02,-2.0,
1491,Taurean Prince LAL,LAL,H,04/07/2024,L,25,96.3,134.5,-38.2,12.5,0.50,16.7,3.8,8.0,5.9,33.3,40.0,51.0,15.6,105.48,3.2,
1492,Royce O'Neale PHX,PHX,H,04/07/2024,L,14,110.7,103.4,7.3,8.3,1.00,25.0,6.3,7.7,6.9,25.0,0.0,0.0,8.8,97.37,2.8,
1493,Jaden Hardy DAL,DAL,H,04/07/2024,W,7,100.0,137.5,-37.5,0.0,0.00,0.0,16.7,0.0,9.1,0.0,0.0,113.6,11.8,114.76,16.1,
1494,Draymond Green GSW,GSW,H,04/07/2024,W,21,115.9,102.3,13.6,15.0,1.50,33.3,5.3,10.5,7.9,22.2,37.5,37.5,12.2,100.25,4.7,
1495,Jonathan Kuminga GSW,GSW,H,04/07/2024,W,27,115.8,120.7,-4.9,21.1,2.00,23.5,7.1,28.6,17.9,11.8,86.4,88.4,19.1,101.35,22.4,
1496,Keegan Murray SAC,SAC,H,04/07/2024,W,38,105.1,80.8,24.3,16.7,0.00,18.2,4.4,8.9,6.7,0.0,47.2,50.3,20.0,99.01,13.5,
1497,KJ Martin PHI,PHI,H,04/07/2024,W,23,98.0,93.9,4.2,6.7,0.00,16.7,0.0,8.7,4.2,0.0,80.0,80.0,8.9,102.68,11.6,
1498,Bol Bol PHX,PHX,H,04/07/2024,L,8,75.0,133.3,-58.3,0.0,0.00,0.0,0.0,28.6,15.4,0.0,50.0,50.0,11.8,99.64,9.1,
1499,Brook Lopez MIL,MIL,H,04/07/2024,L,29,103.4,116.9,-13.5,8.3,0.33,7.1,4.2,11.8,8.6,21.4,62.5,66.6,21.0,97.61,9.3,
1500,Taylor Hendricks UTA,UTA,H,04/07/2024,L,26,115.7,109.6,6.1,10.5,0.67,15.4,0.0,13.0,6.8,23.1,64.3,63.5,20.0,94.11,6.6,
1501,Ricky Council IV,PHI,A,SAS,04/07/2024,W,22,133.3,100.0,33.3,15.8,0.00,33.3,5.9,5.6,5.7,0.0,80.0,87.0,12.8,99.27,16.1
1502,Sam Hauser BOS,BOS,H,04/07/2024,W,27,121.1,105.4,15.7,12.0,0.00,33.3,0.0,6.3,3.6,0.0,83.3,83.3,10.0,100.14,8.1,
1503,Derrick White BOS,BOS,H,04/07/2024,W,31,124.6,121.3,3.3,37.5,4.50,36.0,0.0,2.4,1.5,8.0,50.0,54.0,24.6,94.55,9.7,
1504,Kenrich Williams OKC,OKC,H,04/07/2024,W,26,105.8,105.7,0.1,11.8,0.67,16.7,0.0,4.8,2.0,25.0,50.0,50.0,15.9,95.53,-1.9,
1505,Caleb Martin MIA,MIA,H,04/07/2024,L,36,125.7,115.3,10.4,9.1,2.00,13.3,2.9,6.1,4.4,6.7,85.0,82.0,16.7,94.68,11.2,
1506,Dillon Brooks HOU,HOU,H,04/07/2024,L,42,123.6,144.8,-21.2,7.1,2.00,10.0,0.0,6.9,2.9,5.0,82.1,84.9,19.1,99.98,11.2,
