,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
34,Deni Avdija WAS,WAS,H,04/14/2024,L,31,105.7,129.4,-23.7,7.7,2.00,13.3,0.0,9.4,4.3,6.7,31.8,37.9,16.7,107.82,2.8,
35,Rayan Rupert POR,POR,H,04/14/2024,L,40,88.0,118.1,-30.1,21.7,2.50,25.0,5.8,7.0,6.3,10.0,41.7,42.7,14.3,98.94,5.9,
36,Markieff Morris DAL,DAL,H,04/14/2024,L,24,89.7,119.3,-29.6,16.7,1.50,23.1,0.0,20.8,9.1,15.4,42.9,50.8,15.2,116.54,8.3,
37,Oshae Brissett BOS,BOS,H,04/14/2024,W,16,86.1,122.2,-36.1,9.1,0.33,9.1,0.0,11.1,5.7,27.3,33.3,27.3,25.6,110.77,-0.6,
38,Luguentz Dort OKC,OKC,H,04/14/2024,W,12,142.3,92.3,50.0,16.7,0.00,25.0,0.0,11.8,7.1,0.0,41.7,41.7,19.4,103.00,7.5,
39,Tyrese Maxey PHI,PHI,H,04/14/2024,W,29,111.9,82.8,29.1,20.0,1.50,11.1,0.0,9.4,4.4,7.4,57.5,59.7,34.3,95.95,17.2,
40,David Roddy PHX,PHX,H,04/14/2024,W,4,133.3,150.0,-16.7,20.0,0.00,100.0,0.0,20.0,11.1,0.0,0.0,0.0,0.0,108.32,4.0,
41,Micah Potter UTA,UTA,H,04/14/2024,L,21,117.4,124.4,-7.1,5.6,1.00,10.0,10.0,25.0,18.2,10.0,71.4,63.5,17.3,102.30,7.4,
42,Jett Howard ORL,ORL,H,04/14/2024,W,5,90.9,75.0,15.9,33.3,0.00,50.0,0.0,20.0,11.1,0.0,0.0,0.0,9.1,104.81,5.4,
43,Bruno Fernando ATL,ATL,H,04/14/2024,L,21,112.5,166.0,-53.5,6.7,1.00,10.0,0.0,15.4,6.7,10.0,60.0,78.5,18.0,107.55,7.1,
44,Gabe Vincent LAL,LAL,H,04/14/2024,W,13,132.3,93.5,38.7,7.1,0.00,33.3,0.0,0.0,0.0,0.0,0.0,0.0,5.7,111.09,-4.1,
45,Zeke Nnaji DEN,DEN,H,04/14/2024,W,17,121.1,128.2,-7.2,0.0,0.00,0.0,6.7,20.0,13.3,0.0,60.0,60.0,12.2,107.34,6.3,
46,P.J. Tucker LAC,LAC,H,04/14/2024,L,8,100.0,142.9,-42.9,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.10,0.0,
47,Cam Whitmore HOU,HOU,H,04/14/2024,W,36,117.5,98.8,18.7,16.1,5.00,20.8,6.7,6.7,6.7,4.2,58.8,57.3,19.4,107.38,11.5,
48,Vit Krejci ATL,ATL,H,04/14/2024,L,22,110.2,131.3,-21.0,25.0,5.00,62.5,8.3,18.8,12.5,12.5,0.0,0.0,5.3,107.12,4.1,
49,Kendall Brown IND,IND,H,04/14/2024,W,10,104.8,85.7,19.0,14.3,1.00,16.7,0.0,8.3,5.0,16.7,50.0,50.0,22.7,99.47,5.3,
50,Malachi Flynn DET,DET,H,04/14/2024,L,20,107.3,148.8,-41.5,20.0,3.00,25.0,0.0,8.3,2.9,8.3,25.0,25.0,20.0,96.71,1.8,
51,Justin Champagnie WAS,WAS,H,04/14/2024,L,21,114.9,114.6,0.3,15.8,0.00,25.0,4.2,25.0,14.6,0.0,44.4,47.7,17.3,109.70,13.0,
52,Craig Porter Jr.,CLE,H,CHA,04/14/2024,L,10,130.0,90.0,40.0,22.2,0.00,50.0,0.0,21.4,12.0,0.0,50.0,50.0,8.7,101.05,11.5
53,Hunter Tyson DEN,DEN,H,04/14/2024,W,1,66.7,116.7,-50.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.19,0.0,
54,Josh Minott MIN,MIN,H,04/14/2024,L,5,170.0,120.0,50.0,16.7,0.00,33.3,0.0,0.0,0.0,0.0,50.0,50.0,13.3,105.11,7.0,
55,Ricky Council IV,PHI,H,BKN,04/14/2024,W,8,77.8,100.0,-22.2,0.0,0.00,0.0,0.0,28.6,11.8,33.3,75.0,75.0,13.6,114.19,7.0
56,Nick Smith Jr.,CHA,A,CLE,04/14/2024,W,33,125.8,108.8,16.9,13.0,3.00,12.5,3.6,16.1,10.2,4.2,60.0,60.0,28.4,98.75,12.3
57,Marcus Sasser DET,DET,H,04/14/2024,L,31,92.5,106.0,-13.4,41.2,2.33,29.2,2.6,5.7,4.1,12.5,53.8,59.4,21.5,103.02,13.3,
58,Cole Swider MIA,MIA,H,04/14/2024,W,2,40.0,166.7,-126.7,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,140.18,-50.0,
