,Name,Team,Location,Opponent,Date,Result,Mins,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
0,Tristan Thompson,CLE,H,CHA,2024-04-14,L,12,54.2,152.2,-98.0,0.0,0.0,0.0,12.5,11.1,12.0,0.0,42.9,38.1,25.9,94.92,4.5
1,Obi Toppin,IND,H,ATL,2024-04-14,W,13,164.3,125.0,39.3,18.8,1.5,25.0,11.1,8.3,9.5,16.7,41.7,50.9,27.3,107.95,6.3
2,Marques Bolden,CHA,A,CLE,2024-04-14,W,30,123.3,116.9,6.4,9.5,2.0,15.4,13.8,13.8,13.8,7.7,70.0,70.0,16.4,95.63,12.2
3,Luguentz Dort,OKC,H,DAL,2024-04-14,W,12,142.3,92.3,50.0,16.7,0.0,25.0,0.0,11.8,7.1,0.0,41.7,41.7,19.4,103.0,7.5
4,Dalano Banton,POR,A,SAC,2024-04-14,L,39,73.2,118.1,-44.9,41.2,1.4,17.1,0.0,7.7,3.1,12.2,23.1,29.7,32.4,101.66,1.4
5,De'Aaron Fox,SAC,H,POR,2024-04-14,W,26,114.8,90.7,24.1,30.0,3.0,15.8,0.0,5.4,3.2,5.3,78.6,80.6,27.1,101.58,28.6
6,Klay Thompson,GSW,H,UTA,2024-04-14,W,20,128.6,125.6,3.0,25.0,0.0,16.7,0.0,17.6,8.1,0.0,76.9,82.2,31.9,104.46,23.4
7,Trendon Watford,BKN,A,PHI,2024-04-14,L,38,93.6,103.8,-10.2,22.7,1.67,21.7,0.0,17.0,9.3,13.0,42.3,47.4,21.4,99.81,9.6
8,Jordan Nwora,TOR,A,MIA,2024-04-14,L,21,109.3,115.9,-6.6,9.1,0.5,7.7,8.7,45.0,25.6,15.4,70.0,70.0,23.1,101.81,19.1
9,Grayson Allen,PHX,A,MIN,2024-04-14,W,33,129.7,111.5,18.2,4.3,0.0,8.3,3.6,22.7,12.0,0.0,86.4,87.4,14.9,91.56,19.5
10,Anthony Edwards,MIN,H,PHX,2024-04-14,L,35,102.9,131.9,-28.9,21.1,0.8,21.1,4.0,14.7,10.2,26.3,42.9,61.8,19.7,93.5,8.4
11,Mason Plumlee,LAC,H,HOU,2024-04-14,L,24,88.5,126.9,-38.5,26.7,1.33,18.2,12.5,29.0,20.6,13.6,23.1,30.5,29.5,104.44,8.5
12,JT Thor,CHA,A,CLE,2024-04-14,W,41,126.5,111.9,14.6,12.5,0.0,25.0,0.0,20.5,11.1,0.0,86.4,84.2,13.3,97.52,14.0
13,Oshae Brissett,BOS,H,WAS,2024-04-14,W,16,86.1,122.2,-36.1,9.1,0.33,9.1,0.0,11.1,5.7,27.3,33.3,27.3,25.6,110.77,-0.6
14,Mike Muscala,OKC,H,DAL,2024-04-14,W,18,102.6,89.7,12.9,0.0,0.0,0.0,11.1,13.6,12.5,33.3,50.0,50.0,7.3,101.33,2.7
15,Jeff Dowtin Jr.,PHI,H,BKN,2024-04-14,W,8,77.8,100.0,-22.2,25.0,0.0,33.3,0.0,28.6,11.8,0.0,50.0,50.0,9.1,114.19,17.5
16,Jordan Goodwin,MEM,H,DEN,2024-04-14,L,37,98.7,124.4,-25.6,10.0,3.0,15.8,4.5,17.6,10.3,5.3,23.1,27.1,17.8,102.58,4.2
17,Boban Marjanovic,HOU,A,LAC,2024-04-14,W,12,114.8,81.5,33.3,12.5,0.5,8.3,0.0,36.4,22.2,16.7,75.0,69.7,35.5,108.0,30.4
18,Jeremiah Robinson-Earl,NOP,H,LAL,2024-04-14,L,2,83.3,0.0,83.3,0.0,0.0,0.0,25.0,33.3,28.6,0.0,50.0,41.0,28.6,127.74,300.0
19,Aleksej Pokusevski,CHA,A,CLE,2024-04-14,W,19,117.5,104.9,12.6,18.8,1.0,21.4,0.0,21.7,12.2,21.4,50.0,50.8,25.0,100.47,7.6
20,Mikal Bridges,BKN,A,PHI,2024-04-14,L,25,76.0,106.0,-30.0,9.1,0.0,11.1,0.0,6.5,3.3,0.0,50.0,50.0,14.8,96.64,6.1
21,Dalen Terry,CHI,A,NYK,2024-04-14,L,25,114.3,94.0,20.3,5.3,1.0,11.1,11.1,14.3,12.7,11.1,42.9,40.3,13.8,97.16,6.6
22,Torrey Craig,CHI,A,NYK,2024-04-14,L,17,115.2,102.9,12.3,7.7,0.0,25.0,6.3,18.2,13.2,0.0,33.3,33.3,7.9,97.53,2.5
23,Christian Braun,DEN,A,MEM,2024-04-14,W,25,111.5,120.4,-8.8,33.3,5.0,21.7,19.2,19.2,19.2,4.3,50.0,57.1,30.0,101.96,20.2
24,Mike Conley,MIN,H,PHX,2024-04-14,L,27,109.6,131.5,-21.9,15.4,0.67,15.4,5.3,13.6,9.8,23.1,100.0,102.2,19.0,92.73,17.5
25,Sidy Cissoko,SAS,H,DET,2024-04-14,W,32,121.5,97.0,24.6,17.9,5.0,33.3,3.4,7.7,5.9,6.7,37.5,39.4,13.5,99.13,6.5
26,MarJon Beauchamp,MIL,A,ORL,2024-04-14,L,7,100.0,107.1,-7.1,0.0,0.0,0.0,0.0,25.0,11.1,0.0,70.0,70.0,33.3,97.34,17.4
