,Date,Game ID
0,2023-10-24,401584689
1,2023-10-24,401584690
2,2023-10-25,401584691
3,2023-10-25,401584692
4,2023-10-25,401584693
5,2023-10-25,401584694
6,2023-10-25,401584695
7,2023-10-25,401584696
8,2023-10-25,401584697
9,2023-10-25,401584698
10,2023-10-25,401584699
11,2023-10-25,401584700
12,2023-10-25,401584701
13,2023-10-25,401584702
14,2023-10-26,401584703
15,2023-10-26,401584704
16,2023-10-27,401584705
17,2023-10-27,401584706
18,2023-10-27,401584707
19,2023-10-27,401584708
20,2023-10-27,401584709
21,2023-10-27,401584710
22,2023-10-27,401584711
23,2023-10-27,401584712
24,2023-10-27,401584713
25,2023-10-27,401584714
26,2023-10-27,401584715
27,2023-10-28,401584716
28,2023-10-28,401584717
29,2023-10-28,401584718
30,2023-10-28,401584719
31,2023-10-28,401584720
32,2023-10-28,401584721
33,2023-10-28,401584722
34,2023-10-29,401584723
35,2023-10-29,401584724
36,2023-10-29,401584725
37,2023-10-29,401584726
38,2023-10-29,401584727
39,2023-10-29,401584728
40,2023-10-30,401584729
41,2023-10-30,401584730
42,2023-10-30,401584731
43,2023-10-30,401584732
44,2023-10-30,401584733
45,2023-10-30,401584734
46,2023-10-30,401584735
47,2023-10-30,401584736
48,2023-10-30,401584737
49,2023-10-30,401584738
50,2023-10-30,401584739
51,2023-10-31,401584740
52,2023-10-31,401584741
53,2023-10-31,401584742
54,2023-11-1,401584743
55,2023-11-1,401584744
56,2023-11-1,401584745
57,2023-11-1,401584746
58,2023-11-1,401584747
59,2023-11-1,401584748
60,2023-11-1,401584749
61,2023-11-1,401584750
62,2023-11-1,401584751
63,2023-11-1,401584752
64,2023-11-1,401584753
65,2023-11-1,401584754
66,2023-11-1,401584755
67,2023-11-2,401584756
68,2023-11-2,401584757
69,2023-11-2,401584758
70,2023-11-2,401584759
71,2023-11-4,401584760
72,2023-11-4,401584761
73,2023-11-4,401584762
74,2023-11-4,401584763
75,2023-11-4,401584764
76,2023-11-4,401584765
77,2023-11-4,401584766
78,2023-11-4,401584767
79,2023-11-5,401584768
80,2023-11-5,401584769
81,2023-11-5,401584770
82,2023-11-5,401584771
