,Date,Team,Location,Opponent,Result
0,2024-04-14,OKC,H,DAL,W
1,2024-04-14,NOP,H,LAL,L
2,2024-04-14,GSW,H,UTA,W
3,2024-04-14,IND,H,ATL,W
4,2024-04-14,MEM,H,DEN,L
5,2024-04-14,BOS,H,WAS,W
6,2024-04-14,SAS,H,DET,W
7,2024-04-14,CLE,H,CHA,L
8,2024-04-14,MIA,H,TOR,W
9,2024-04-14,ORL,H,MIL,W
10,2024-04-14,NYK,H,CHI,W
11,2024-04-14,SAC,H,POR,W
12,2024-04-14,MIN,H,PHX,L
13,2024-04-14,PHI,H,BKN,W
14,2024-04-14,LAC,H,HOU,L
15,2024-04-12,GSW,H,NOP,L
16,2024-04-12,MIA,H,TOR,W
17,2024-04-12,SAS,H,DEN,W
18,2024-04-12,MIN,H,ATL,W
19,2024-04-12,SAC,H,PHX,L
20,2024-04-12,PHI,H,ORL,W
21,2024-04-12,OKC,H,MIL,W
22,2024-04-12,MEM,H,LAL,L
23,2024-04-12,CLE,H,IND,W
24,2024-04-12,DAL,H,DET,L
25,2024-04-12,WAS,H,CHI,L
26,2024-04-12,NYK,H,BKN,W
27,2024-04-12,LAC,H,UTA,L
28,2024-04-12,POR,H,HOU,L
29,2024-04-12,BOS,H,CHA,W
30,2024-4-14,BOS,H,WAS,W
31,2024-4-14,IND,H,ATL,W
32,2024-4-14,MIA,H,TOR,W
33,2024-4-14,NYK,H,CHI,W
34,2024-4-14,OKC,H,DAL,W
35,2024-4-14,ORL,H,MIL,W
36,2024-4-14,MIN,H,PHX,L
37,2024-4-14,NOP,H,LAL,L
38,2024-4-14,SAC,H,POR,W
39,2024-4-14,PHI,H,BKN,W
40,2024-4-14,GSW,H,UTA,W
41,2024-4-14,LAC,H,HOU,L
42,2024-4-14,SAS,H,DET,W
43,2024-4-14,CLE,H,CHA,L
44,2024-4-14,MEM,H,DEN,L
45,2024-4-12,OKC,H,MIL,W
46,2024-4-12,MIA,H,TOR,W
47,2024-4-12,DAL,H,DET,L
48,2024-4-12,BOS,H,CHA,W
49,2024-4-12,POR,H,HOU,L
50,2024-4-12,MIN,H,ATL,W
51,2024-4-12,PHI,H,ORL,W
52,2024-4-12,WAS,H,CHI,L
53,2024-4-12,CLE,H,IND,W
54,2024-4-12,NYK,H,BKN,W
55,2024-4-12,SAS,H,DEN,W
56,2024-4-12,MEM,H,LAL,L
57,2024-4-12,LAC,H,UTA,L
58,2024-4-12,GSW,H,NOP,L
59,2024-4-12,SAC,H,PHX,L
60,2024-4-11,SAC,H,NOP,L
61,2024-4-11,UTA,H,HOU,W
62,2024-4-11,BOS,H,NYK,L
63,2024-4-11,DET,H,CHI,L
64,2024-4-11,POR,H,GSW,L
65,2024-4-10,OKC,H,SAS,W
66,2024-4-10,CLE,H,MEM,W
67,2024-4-10,LAC,H,PHX,L
68,2024-4-10,DEN,H,MIN,W
69,2024-4-10,ATL,H,CHA,L
70,2024-4-10,BKN,H,TOR,W
71,2024-4-10,MIL,H,ORL,W
72,2024-4-10,MIA,H,DAL,L
73,2024-4-9,PHI,H,DET,W
74,2024-4-9,OKC,H,SAC,W
75,2024-4-9,TOR,H,IND,L
76,2024-4-9,POR,H,NOP,L
77,2024-4-9,CHA,H,DAL,L
78,2024-4-9,CHI,H,NYK,L
79,2024-4-9,HOU,H,ORL,W
80,2024-4-9,LAL,H,GSW,L
81,2024-4-9,ATL,H,MIA,L
82,2024-4-9,PHX,H,LAC,L
83,2024-4-9,MIN,H,WAS,W
84,2024-4-9,MEM,H,SAS,L
85,2024-4-9,UTA,H,DEN,L
86,2024-4-9,MIL,H,BOS,W
87,2024-4-7,BOS,H,POR,W
88,2024-4-7,ORL,H,CHI,W
89,2024-4-7,LAC,H,CLE,W
90,2024-4-7,DAL,H,HOU,W
91,2024-4-7,IND,H,MIA,W
92,2024-4-7,PHX,H,NOP,L
93,2024-4-7,TOR,H,WAS,W
94,2024-4-7,LAL,H,MIN,L
95,2024-4-7,MIL,H,NYK,L
96,2024-4-7,CHA,H,OKC,L
97,2024-4-7,SAS,H,PHI,L
98,2024-4-7,GSW,H,UTA,W
99,2024-4-7,BKN,H,SAC,L
100,2024-4-6,LAL,H,CLE,W
101,2024-4-6,DEN,H,ATL,W
102,2024-4-6,BKN,H,DET,W
103,2024-4-6,MEM,H,PHI,L
104,2024-4-5,PHX,H,MIN,W
105,2024-4-5,IND,H,OKC,W
106,2024-4-5,HOU,H,MIA,L
107,2024-4-5,LAC,H,UTA,W
108,2024-4-5,MEM,H,DET,W
109,2024-4-5,MIL,H,TOR,L
110,2024-4-5,NOP,H,SAS,L
111,2024-4-5,WAS,H,POR,L
112,2024-4-5,CHI,H,NYK,W
113,2024-4-5,CHA,H,ORL,W
114,2024-4-5,DAL,H,GSW,W
115,2024-4-5,BOS,H,SAC,W
116,2024-4-4,LAC,H,DEN,W
117,2024-4-4,NYK,H,SAC,W
118,2024-4-4,DAL,H,ATL,W
119,2024-4-4,MIA,H,PHI,L
120,2024-4-4,HOU,H,GSW,L
121,2024-4-3,WAS,H,LAL,L
122,2024-4-3,PHX,H,CLE,W
123,2024-4-3,MIN,H,TOR,W
124,2024-4-3,BKN,H,IND,W
125,2024-4-3,MIL,H,MEM,L
126,2024-4-3,CHA,H,POR,L
127,2024-4-3,NOP,H,ORL,L
128,2024-4-3,ATL,H,DET,W
129,2024-4-3,BOS,H,OKC,W
130,2024-4-2,UTA,H,CLE,L
131,2024-4-2,MIA,H,NYK,W
132,2024-4-2,WAS,H,MIL,W
133,2024-4-2,MIN,H,HOU,W
134,2024-4-2,SAC,H,LAC,W
135,2024-4-2,PHI,H,OKC,W
136,2024-4-2,TOR,H,LAL,L
137,2024-4-2,DEN,H,SAS,W
138,2024-4-2,GSW,H,DAL,W
139,2024-4-1,CHA,H,BOS,L
140,2024-4-1,CHI,H,ATL,L
141,2024-4-1,DET,H,MEM,L
142,2024-4-1,ORL,H,POR,W
143,2024-4-1,NOP,H,PHX,L
144,2024-4-1,IND,H,BKN,W
145,2024-3-31,WAS,H,MIA,L
146,2024-3-31,NYK,H,OKC,L
147,2024-3-31,TOR,H,PHI,L
148,2024-3-31,SAC,H,UTA,W
149,2024-3-31,HOU,H,DAL,L
150,2024-3-31,DEN,H,CLE,W
151,2024-3-31,BKN,H,LAL,L
152,2024-3-31,CHA,H,LAC,L
153,2024-3-31,MIN,H,CHI,L
154,2024-3-31,SAS,H,GSW,L
155,2024-3-30,ATL,H,MIL,L
156,2024-3-30,ORL,H,MEM,W
157,2024-3-30,NOP,H,BOS,L
158,2024-3-29,IND,H,LAL,W
159,2024-3-29,SAC,H,DAL,L
160,2024-3-29,MIA,H,POR,W
161,2024-3-29,UTA,H,HOU,L
162,2024-3-29,BKN,H,CHI,W
