,Name,Team,Location,Opponent,Date,Result,Mins,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
0,Jayson Tatum,BOS,A,MEM,2022-04-10,W,26,143.9,93.0,50.9,14.3,0.6,13.0,0.0,22.5,15.5,21.7,100.0,101.2,31.3,105.03,27.0
1,Mac McClung,LAL,A,DEN,2022-04-10,W,22,127.7,104.1,23.6,6.3,0.5,12.5,0.0,12.0,7.1,25.0,50.0,55.1,14.3,105.53,1.6
2,Georgios Kalaitzakis,OKC,A,LAC,2022-04-10,L,48,88.9,139.4,-50.5,9.7,1.0,13.0,1.6,11.4,5.6,13.0,50.0,50.7,17.5,99.0,4.3
3,Rui Hachimura,WAS,A,CHA,2022-04-10,L,32,111.6,119.7,-8.1,9.1,0.0,9.1,6.1,7.4,6.7,0.0,50.0,52.8,26.0,100.21,10.3
4,Rajon Rondo,CLE,H,MIL,2022-04-10,W,25,137.0,100.0,37.0,48.1,13.0,68.4,0.0,15.4,8.0,5.3,60.0,60.0,10.0,108.37,12.5
5,Yves Pons,MEM,H,BOS,2022-04-10,L,26,108.9,134.5,-25.6,5.6,0.0,12.5,0.0,7.4,3.3,0.0,42.9,42.9,10.6,103.19,2.1
6,Brandon Goodwin,CLE,H,MIL,2022-04-10,W,8,55.6,172.2,-116.7,20.0,0.5,20.0,0.0,0.0,0.0,40.0,0.0,0.0,22.2,108.68,-12.8
7,Duane Washington Jr.,IND,A,BKN,2022-04-10,L,19,115.9,127.9,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,81.8,21.6,111.69,16.2
8,Garrison Mathews,HOU,H,ATL,2022-04-10,L,32,127.3,128.1,-0.9,0.0,0.0,0.0,0.0,21.4,9.8,0.0,78.6,84.1,11.0,98.53,10.7
9,Caris LeVert,CLE,H,MIL,2022-04-10,W,29,146.8,82.8,64.0,18.8,6.0,40.0,0.0,0.0,0.0,6.7,28.6,38.1,13.6,104.34,3.5
10,Darius Garland,CLE,H,MIL,2022-04-10,W,23,166.7,85.7,81.0,32.0,0.0,53.3,0.0,6.5,4.2,0.0,78.6,78.6,13.5,100.49,14.5
11,Marcus Smart,BOS,A,MEM,2022-04-10,W,26,141.8,107.3,34.5,21.4,3.0,40.0,4.5,5.4,5.1,13.3,28.6,28.6,14.1,102.06,4.1
12,Omer Yurtseven,MIA,A,ORL,2022-04-10,L,35,128.4,120.0,8.4,3.2,0.5,5.6,9.8,18.2,13.5,11.1,21.4,23.5,20.0,100.92,1.4
13,Rodney McGruder,DET,A,PHI,2022-04-10,L,25,89.8,128.0,-38.2,7.7,1.0,10.0,0.0,22.7,10.4,10.0,28.6,31.7,15.0,96.85,1.7
14,Elfrid Payton,PHX,H,SAC,2022-04-10,L,12,88.0,125.0,-37.0,25.0,1.0,33.3,0.0,11.1,4.2,33.3,50.0,50.0,13.8,97.65,5.3
15,Mo Bamba,ORL,H,MIA,2022-04-10,W,28,131.6,121.4,10.2,4.5,0.0,7.7,9.1,24.2,18.2,0.0,86.4,85.2,19.7,97.73,17.1
16,Damion Lee,GSW,A,NOP,2022-04-10,W,24,145.8,132.6,13.2,5.0,0.0,11.1,7.1,15.4,12.5,0.0,64.3,69.8,15.1,95.5,11.3
17,Isaiah Hartenstein,LAC,H,OKC,2022-04-10,W,25,149.0,88.0,61.0,24.0,0.0,42.9,18.8,9.4,12.5,0.0,64.3,72.1,14.3,98.01,17.0
18,Austin Reaves,LAL,A,DEN,2022-04-10,W,42,125.6,112.2,13.3,34.5,3.33,27.0,14.3,20.8,17.8,8.1,50.0,66.9,25.7,103.93,23.1
19,Dylan Windler,CLE,H,MIL,2022-04-10,W,19,76.2,137.2,-61.0,15.4,0.0,40.0,4.3,14.3,8.1,0.0,33.3,33.3,6.3,107.75,0.6
20,Patrick Williams,CHI,A,MIN,2022-04-10,W,41,117.4,125.3,-7.8,16.7,0.8,11.1,0.0,10.0,5.2,13.9,54.8,64.4,31.4,100.98,13.6
21,Xavier Tillman,MEM,H,BOS,2022-04-10,L,35,110.5,137.7,-27.1,6.9,2.0,15.4,6.0,3.2,4.9,7.7,20.0,23.9,12.0,104.07,-0.3
22,Kessler Edwards,BKN,H,IND,2022-04-10,W,39,129.4,118.6,10.8,0.0,0.0,0.0,4.5,7.5,6.7,20.0,57.1,63.5,10.8,104.47,3.7
