,Name,S_Mins,S_GP,S_PPM,S_NETRTG,SIM
0,James Harden,0.8877122997884557,0.8928571428571428,0.8258862616888512,0.7532861655657959,0.8339376775984255
1,Stephen Curry,0.7796554850407977,0.7857142857142858,0.7622013237920492,0.9773348247522415,0.83081786182404
2,Damian Lillard,0.8718887881535207,0.8928571428571428,0.6529741545842737,0.8422618531927972,0.8061711634387766
3,Blake Griffin,0.8458265336959805,0.8928571428571428,0.6948865013076463,0.8140375476804836,0.802727007418506
4,Klay Thompson,0.7663599274705348,0.75,0.7154247551971066,0.9550177950806926,0.8019933563066197
5,LaMarcus Aldridge,0.8804986400725294,0.75,0.6865239681890443,0.8264865797857235,0.7899433906731643
6,Anthony Davis,0.8680561036744705,0.8214285714285714,0.7298073903956332,0.690818744864396,0.77255227078915
7,Monta Ellis,0.7957648673151845,0.9285714285714286,0.6453609688306533,0.7713517661052436,0.76902055167417
8,LeBron James,0.9231787913839995,0.6428571428571428,0.7374622897591462,0.7040735384004831,0.7642503310110719
9,Chris Paul,0.8169718948322755,0.8928571428571428,0.5176976358268693,0.8659164604702034,0.7598178627690971
10,Kyle Lowry,0.8259873073436081,0.8571428571428572,0.6333513112249965,0.7468856951435844,0.7554943387451307
11,Jimmy Butler,1.0,0.7857142857142858,0.5560053174894837,0.6891299896183408,0.754538850954535
12,Kyrie Irving,0.9360290117860379,0.7857142857142858,0.5677635933042018,0.7197486002640596,0.7485284926331371
13,Russell Westbrook,0.694868540344515,0.39285714285714285,1.0,0.7180582344801755,0.736419380897634
14,Paul Millsap,0.792478694469628,0.8571428571428572,0.5007237648637852,0.8278776708035583,0.7317958743166952
15,Wesley Matthews,0.7909096403747353,0.8928571428571428,0.48394083069622795,0.823663968256859,0.7314079475176725
16,Rudy Gay,0.8842429737080688,0.7857142857142858,0.5918161236357335,0.6812541453021792,0.7300950430126554
17,DeMarcus Cousins,0.7555394378966456,0.46428571428571425,0.8099844611088516,0.7820738227535531,0.7300218420800785
18,Marc Gasol,0.8212003626473254,0.8571428571428572,0.5942074964534569,0.6945067991101561,0.7286881512972827
19,Dirk Nowitzki,0.6479129646418855,0.8571428571428572,0.6755135216003391,0.7577799197789795,0.72069768777114
20,John Wall,0.8575811423390751,0.8571428571428572,0.4681015656555285,0.7509894578044951,0.7194356575759874
21,Mike Conley,0.7627996373526744,0.8571428571428572,0.5652519785642,0.7416213412839376,0.7174875445161308
22,Jeff Teague,0.7223798730734361,0.75,0.577194307786737,0.8215265587380007,0.7141230391881583
23,Gordon Hayward,0.8523420973103655,0.8928571428571428,0.5427788942872083,0.6290554771760246,0.71071721238008
24,Chandler Parsons,0.7676397703233604,0.8928571428571428,0.4541376389199965,0.7802915843218844,0.704563965113754
25,Markieff Morris,0.6866116333444672,0.9642857142857142,0.49652753531909855,0.7743351858557221,0.7039375048650113
26,Kevin Love,0.8642828649138712,0.8571428571428572,0.48596019440193594,0.6653987663481287,0.7024488795717002
27,Eric Bledsoe,0.7765558047430452,0.9642857142857142,0.4905477595743951,0.6808263394384803,0.7012809660692074
28,Pau Gasol,0.8273798730734359,0.7857142857142858,0.5228440430863963,0.6911963748568729,0.69783817147584
29,JJ Redick,0.6615291628890902,0.8928571428571428,0.5035187374621829,0.8089648840979188,0.696754986909787
30,Trevor Ariza,0.898881837413116,0.8928571428571428,0.27404386639595457,0.7757985063132888,0.6897163337221519
31,Goran Dragic,0.7778785131459653,0.8928571428571428,0.5053957440089537,0.6630522497326976,0.6890489729884819
32,Kemba Walker,0.8744362265591448,0.9642857142857142,0.5173580037944991,0.5082233833933761,0.6879453786833968
33,Draymond Green,0.7654397098821395,0.7857142857142858,0.296600303682092,0.9397175130350157,0.6867987020463143
