,Name,Team,Location,Opponent,Date,Result,Mins,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
0,Jordan Hamilton,NOP,A,MIN,2016-04-13,L,35,98.7,155.3,-56.6,20.0,5.0,29.4,2.3,31.6,11.1,5.9,25.0,27.6,13.6,104.74,3.2
1,Kevin Martin,SAS,A,DAL,2016-04-13,W,24,83.7,122.4,-38.8,0.0,0.0,0.0,4.0,5.0,4.4,9.1,22.2,33.9,19.6,97.74,-1.9
2,Austin Rivers,LAC,A,PHX,2016-04-13,L,31,88.1,100.0,-11.9,26.3,0.0,22.7,2.6,8.1,5.3,0.0,44.1,43.7,22.7,104.68,11.6
3,C.J. Wilcox,LAC,A,PHX,2016-04-13,L,29,117.5,111.1,6.3,4.8,0.0,7.1,0.0,8.1,4.4,0.0,73.1,73.1,18.6,104.82,11.8
4,Alex Len,PHX,H,LAC,2016-04-13,W,28,96.8,80.3,16.4,5.6,1.0,7.1,0.0,8.1,4.3,7.1,40.0,42.5,18.1,107.02,5.5
5,Karl-Anthony Towns,MIN,H,NOP,2016-04-13,W,32,126.1,92.6,33.4,13.6,1.0,12.5,0.0,37.8,22.6,12.5,76.5,78.3,28.4,102.91,24.0
6,Timofey Mozgov,CLE,H,DET,2016-04-13,L,37,117.4,114.3,3.1,11.1,3.0,18.8,3.1,31.4,17.9,6.3,58.3,58.3,16.7,91.27,14.6
7,Lavoy Allen,IND,A,MIL,2016-04-13,W,26,113.0,78.2,34.8,0.0,0.0,0.0,11.5,10.7,11.1,0.0,58.3,58.3,20.7,102.72,10.2
8,Damian Lillard,POR,H,DEN,2016-04-13,W,24,105.5,103.6,1.9,38.5,2.5,20.0,0.0,13.6,6.3,8.0,55.9,58.7,33.3,111.93,18.1
9,CJ McCollum,POR,H,DEN,2016-04-13,W,27,108.8,96.4,12.4,33.3,5.0,21.7,0.0,8.3,4.6,4.3,50.0,50.0,28.1,100.87,15.9
10,Nikola Vucevic,ORL,A,CHA,2016-04-13,L,20,107.1,114.3,-7.1,9.1,0.0,6.7,0.0,23.5,10.8,0.0,61.5,61.2,31.1,99.07,13.7
11,Hollis Thompson,PHI,A,CHI,2016-04-13,L,31,123.1,112.1,11.0,5.0,1.0,6.3,0.0,8.0,3.9,6.3,73.1,73.3,22.4,100.39,9.5
12,Matt Bonner,SAS,A,DAL,2016-04-13,W,23,104.8,82.9,21.8,6.7,0.0,14.3,0.0,4.5,2.5,0.0,50.0,50.0,13.3,87.88,3.9
13,Deron Williams,DAL,H,SAS,2016-04-13,L,37,100.0,119.4,-19.4,38.9,2.33,29.2,0.0,7.4,3.1,12.5,38.5,45.4,23.0,86.71,5.3
14,Jabari Parker,MIL,H,IND,2016-04-13,L,25,80.4,98.2,-17.9,8.3,0.0,5.0,6.5,19.2,12.3,0.0,41.2,45.3,30.2,106.67,16.0
15,Joe Johnson,MIA,A,BOS,2016-04-13,L,37,97.1,101.5,-4.4,5.0,0.33,4.3,0.0,10.3,4.9,13.0,50.0,50.0,26.5,90.04,10.5
16,Cristiano Felicio,CHI,H,PHI,2016-04-13,W,29,123.7,89.8,33.9,18.2,2.0,26.7,16.0,16.1,16.1,13.3,25.0,33.8,16.2,98.91,6.7
17,Xavier Munford,MEM,A,GSW,2016-04-13,L,26,94.6,130.2,-35.5,21.1,0.0,28.6,0.0,9.5,3.7,0.0,20.0,19.2,15.6,102.19,0.4
18,Al-Farouq Aminu,POR,H,DEN,2016-04-13,W,19,102.4,107.3,-4.9,0.0,0.0,0.0,5.3,8.7,7.1,12.5,66.7,72.7,18.2,105.15,8.3
19,JaMychal Green,MEM,A,GSW,2016-04-13,L,26,100.0,123.6,-23.6,12.5,1.0,15.4,13.3,17.4,15.1,15.4,62.5,64.4,17.7,101.54,9.7
20,Tim Frazier,NOP,A,MIN,2016-04-13,L,36,107.4,131.7,-24.3,51.7,5.0,45.5,2.8,11.1,6.3,9.1,20.0,20.0,20.5,108.72,3.2
21,Emmanuel Mudiay,DEN,A,POR,2016-04-13,L,37,101.3,101.3,0.0,27.3,1.5,17.6,0.0,10.3,4.9,11.8,50.0,52.3,30.1,102.18,13.6
22,Luol Deng,MIA,A,BOS,2016-04-13,L,35,101.5,109.0,-7.5,7.7,2.0,16.7,5.3,16.2,10.7,8.3,33.3,33.3,12.8,91.32,4.9
23,Trevor Ariza,HOU,H,SAC,2016-04-13,W,23,104.2,84.0,20.2,10.5,0.67,14.3,8.0,8.3,8.2,21.4,22.2,22.2,21.4,104.77,-1.2
24,Delon Wright,TOR,A,BKN,2016-04-13,W,37,105.3,95.9,9.4,29.2,7.0,29.2,4.9,6.8,5.9,4.2,50.0,57.1,19.8,96.34,14.2
25,Jared Dudley,WAS,H,ATL,2016-04-13,W,33,117.3,78.4,39.0,12.9,4.0,26.7,6.1,10.8,8.6,6.7,68.8,71.7,12.9,107.17,13.6
26,D'Angelo Russell,LAL,H,UTA,2016-04-13,W,36,98.6,98.6,0.0,20.0,2.5,29.4,0.0,10.8,5.5,11.8,40.0,43.1,14.6,98.0,7.1
27,Mike Miller,DEN,A,POR,2016-04-13,L,18,95.1,117.1,-22.0,20.0,0.0,33.3,0.0,21.1,10.5,0.0,41.7,41.7,13.0,107.64,9.6
28,Duje Dukan,SAC,A,HOU,2016-04-13,L,24,86.5,101.9,-15.4,6.7,0.0,9.1,5.1,6.9,5.9,0.0,30.0,30.0,15.4,103.0,1.3
29,Lucas Nogueira,TOR,A,BKN,2016-04-13,W,36,107.0,104.3,2.7,10.7,1.5,27.3,7.7,17.5,12.7,18.2,50.0,50.0,9.6,94.4,8.6
30,Joe Young,IND,A,MIL,2016-04-13,W,23,93.6,87.2,6.4,46.7,2.33,30.4,0.0,18.2,8.7,13.0,26.9,26.9,32.0,98.16,6.9
31,Jusuf Nurkic,DEN,A,POR,2016-04-13,L,39,91.3,112.3,-21.1,16.7,0.5,14.8,12.5,19.5,15.7,29.6,38.5,37.3,23.7,99.49,6.3
32,Steve Blake,DET,A,CLE,2016-04-13,W,24,112.8,113.0,-0.3,46.2,3.0,40.0,0.0,10.5,4.7,13.3,92.9,92.9,17.3,93.0,17.6
33,Bojan Bogdanovic,BKN,H,TOR,2016-04-13,L,37,104.1,108.0,-3.9,10.0,0.67,8.7,0.0,14.0,7.2,13.0,79.4,79.1,27.3,95.9,15.1
34,Klay Thompson,GSW,H,MEM,2016-04-13,W,28,122.6,109.8,12.7,9.1,0.0,13.3,0.0,5.4,3.2,0.0,61.5,61.5,18.8,104.13,8.7
35,Jodie Meeks,DET,A,CLE,2016-04-13,W,27,114.0,100.0,14.0,25.0,0.0,15.0,0.0,10.0,5.5,0.0,53.3,59.7,29.8,88.65,19.0
36,Trey Lyles,UTA,A,LAL,2016-04-13,L,39,93.5,102.6,-9.1,13.6,1.0,13.6,4.9,26.5,14.7,13.6,53.3,55.1,22.1,93.87,16.9
37,Henry Sims,BKN,H,TOR,2016-04-13,L,23,91.1,91.5,-0.4,8.3,0.0,12.5,7.4,17.9,12.7,0.0,71.4,71.4,14.0,95.07,16.6
38,Nikola Mirotic,CHI,H,PHI,2016-04-13,W,39,118.8,108.9,9.9,18.2,2.0,15.4,4.9,13.2,8.9,7.7,79.4,81.5,23.2,97.85,19.7
39,Courtney Lee,CHA,H,ORL,2016-04-13,W,14,136.7,96.6,40.1,15.4,0.0,18.2,0.0,6.7,3.3,0.0,38.9,38.9,26.5,100.19,8.2
40,Archie Goodwin,PHX,H,LAC,2016-04-13,W,30,110.4,116.4,-6.0,21.7,5.0,22.7,2.7,6.1,4.3,4.5,31.3,30.4,21.3,106.31,4.0
41,Robert Covington,PHI,A,CHI,2016-04-13,L,42,100.0,118.2,-18.2,8.3,1.0,8.3,2.3,12.5,7.2,8.3,58.8,67.2,24.2,99.75,10.6
42,Gary Harris,DEN,A,POR,2016-04-13,L,37,103.9,100.0,3.9,3.7,0.33,5.0,2.3,7.9,4.9,15.0,46.7,50.4,20.7,100.41,5.6
43,Al Jefferson,CHA,H,ORL,2016-04-13,W,23,114.6,108.0,6.6,16.7,0.0,10.5,0.0,16.0,9.5,0.0,73.3,73.7,35.4,100.58,21.8
